# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.87603e+03
    1.00288e-03     3.88646e+03
    1.00577e-03     3.89692e+03
    1.00867e-03     3.90740e+03
    1.01158e-03     3.91791e+03
    1.01450e-03     3.92844e+03
    1.01742e-03     3.93900e+03
    1.02036e-03     3.94959e+03
    1.02330e-03     3.96021e+03
    1.02625e-03     3.97085e+03
    1.02921e-03     3.98152e+03
    1.03217e-03     3.99221e+03
    1.03515e-03     4.00293e+03
    1.03813e-03     4.01368e+03
    1.04113e-03     4.02446e+03
    1.04413e-03     4.03526e+03
    1.04714e-03     4.04610e+03
    1.05016e-03     4.05695e+03
    1.05318e-03     4.06784e+03
    1.05622e-03     4.07875e+03
    1.05926e-03     4.08969e+03
    1.06232e-03     4.10066e+03
    1.06538e-03     4.11166e+03
    1.06845e-03     4.12268e+03
    1.07153e-03     4.13373e+03
    1.07462e-03     4.14481e+03
    1.07772e-03     4.15591e+03
    1.08083e-03     4.16705e+03
    1.08394e-03     4.17821e+03
    1.08707e-03     4.18940e+03
    1.09020e-03     4.20062e+03
    1.09334e-03     4.21186e+03
    1.09650e-03     4.22314e+03
    1.09966e-03     4.23444e+03
    1.10283e-03     4.24577e+03
    1.10601e-03     4.25713e+03
    1.10920e-03     4.26852e+03
    1.11239e-03     4.27993e+03
    1.11560e-03     4.29138e+03
    1.11882e-03     4.30285e+03
    1.12204e-03     4.31435e+03
    1.12528e-03     4.32588e+03
    1.12852e-03     4.33744e+03
    1.13177e-03     4.34903e+03
    1.13504e-03     4.36064e+03
    1.13831e-03     4.37229e+03
    1.14159e-03     4.38396e+03
    1.14488e-03     4.39566e+03
    1.14818e-03     4.40739e+03
    1.15149e-03     4.41915e+03
    1.15481e-03     4.43094e+03
    1.15814e-03     4.44276e+03
    1.16148e-03     4.45461e+03
    1.16483e-03     4.46649e+03
    1.16819e-03     4.47840e+03
    1.17155e-03     4.49033e+03
    1.17493e-03     4.50230e+03
    1.17832e-03     4.51429e+03
    1.18172e-03     4.52632e+03
    1.18512e-03     4.53837e+03
    1.18854e-03     4.55046e+03
    1.19197e-03     4.56257e+03
    1.19540e-03     4.57471e+03
    1.19885e-03     4.58689e+03
    1.20230e-03     4.59909e+03
    1.20577e-03     4.61132e+03
    1.20925e-03     4.62359e+03
    1.21273e-03     4.63588e+03
    1.21623e-03     4.64821e+03
    1.21973e-03     4.66056e+03
    1.22325e-03     4.67294e+03
    1.22678e-03     4.68536e+03
    1.23031e-03     4.69780e+03
    1.23386e-03     4.71028e+03
    1.23742e-03     4.72278e+03
    1.24099e-03     4.73532e+03
    1.24456e-03     4.74789e+03
    1.24815e-03     4.76048e+03
    1.25175e-03     4.77311e+03
    1.25536e-03     4.78577e+03
    1.25898e-03     4.79846e+03
    1.26261e-03     4.81118e+03
    1.26625e-03     4.82393e+03
    1.26990e-03     4.83672e+03
    1.27356e-03     4.84953e+03
    1.27723e-03     4.86237e+03
    1.28091e-03     4.87525e+03
    1.28460e-03     4.88816e+03
    1.28831e-03     4.90109e+03
    1.29202e-03     4.91406e+03
    1.29575e-03     4.92707e+03
    1.29948e-03     4.94010e+03
    1.30323e-03     4.95316e+03
    1.30699e-03     4.96626e+03
    1.31075e-03     4.97938e+03
    1.31453e-03     4.99254e+03
    1.31832e-03     5.00573e+03
    1.32212e-03     5.01896e+03
    1.32593e-03     5.03221e+03
    1.32976e-03     5.04550e+03
    1.33359e-03     5.05881e+03
    1.33743e-03     5.07216e+03
    1.34129e-03     5.08555e+03
    1.34516e-03     5.09896e+03
    1.34904e-03     5.11241e+03
    1.35292e-03     5.12589e+03
    1.35682e-03     5.13940e+03
    1.36074e-03     5.15294e+03
    1.36466e-03     5.16652e+03
    1.36859e-03     5.18012e+03
    1.37254e-03     5.19376e+03
    1.37650e-03     5.20744e+03
    1.38046e-03     5.22114e+03
    1.38444e-03     5.23488e+03
    1.38843e-03     5.24865e+03
    1.39244e-03     5.26246e+03
    1.39645e-03     5.27629e+03
    1.40048e-03     5.29016e+03
    1.40451e-03     5.30407e+03
    1.40856e-03     5.31800e+03
    1.41262e-03     5.33197e+03
    1.41670e-03     5.34597e+03
    1.42078e-03     5.36001e+03
    1.42488e-03     5.37408e+03
    1.42899e-03     5.38818e+03
    1.43310e-03     5.40232e+03
    1.43724e-03     5.41648e+03
    1.44138e-03     5.43069e+03
    1.44553e-03     5.44492e+03
    1.44970e-03     5.45919e+03
    1.45388e-03     5.47350e+03
    1.45807e-03     5.48783e+03
    1.46228e-03     5.50220e+03
    1.46649e-03     5.51661e+03
    1.47072e-03     5.53105e+03
    1.47496e-03     5.54552e+03
    1.47921e-03     5.56002e+03
    1.48348e-03     5.57456e+03
    1.48775e-03     5.58914e+03
    1.49204e-03     5.60375e+03
    1.49634e-03     5.61839e+03
    1.50066e-03     5.63307e+03
    1.50498e-03     5.64778e+03
    1.50932e-03     5.66253e+03
    1.51367e-03     5.67731e+03
    1.51804e-03     5.69212e+03
    1.52241e-03     5.70697e+03
    1.52680e-03     5.72185e+03
    1.53120e-03     5.73677e+03
    1.53562e-03     5.75173e+03
    1.54005e-03     5.76671e+03
    1.54449e-03     5.78174e+03
    1.54894e-03     5.79679e+03
    1.55340e-03     5.81189e+03
    1.55788e-03     5.82701e+03
    1.56237e-03     5.84218e+03
    1.56688e-03     5.85737e+03
    1.57139e-03     5.87261e+03
    1.57592e-03     5.88787e+03
    1.58047e-03     5.90318e+03
    1.58502e-03     5.91851e+03
    1.58959e-03     5.93389e+03
    1.59418e-03     5.94930e+03
    1.59877e-03     5.96474e+03
    1.60338e-03     5.98022e+03
    1.60800e-03     5.99574e+03
    1.61264e-03     6.01129e+03
    1.61729e-03     6.02687e+03
    1.62195e-03     6.04249e+03
    1.62663e-03     6.05815e+03
    1.63132e-03     6.07384e+03
    1.63602e-03     6.08957e+03
    1.64073e-03     6.10534e+03
    1.64546e-03     6.12114e+03
    1.65021e-03     6.13698e+03
    1.65497e-03     6.15285e+03
    1.65974e-03     6.16876e+03
    1.66452e-03     6.18470e+03
    1.66932e-03     6.20068e+03
    1.67413e-03     6.21670e+03
    1.67896e-03     6.23275e+03
    1.68380e-03     6.24884e+03
    1.68865e-03     6.26497e+03
    1.69352e-03     6.28113e+03
    1.69840e-03     6.29733e+03
    1.70330e-03     6.31357e+03
    1.70821e-03     6.32984e+03
    1.71314e-03     6.34615e+03
    1.71807e-03     6.36249e+03
    1.72303e-03     6.37887e+03
    1.72799e-03     6.39529e+03
    1.73298e-03     6.41175e+03
    1.73797e-03     6.42824e+03
    1.74298e-03     6.44477e+03
    1.74801e-03     6.46133e+03
    1.75305e-03     6.47793e+03
    1.75810e-03     6.49457e+03
    1.76317e-03     6.51125e+03
    1.76825e-03     6.52796e+03
    1.77335e-03     6.54471e+03
    1.77846e-03     6.56150e+03
    1.78359e-03     6.57833e+03
    1.78873e-03     6.59519e+03
    1.79389e-03     6.61209e+03
    1.79906e-03     6.62902e+03
    1.80425e-03     6.64600e+03
    1.80945e-03     6.66301e+03
    1.81466e-03     6.68006e+03
    1.81990e-03     6.69715e+03
    1.82514e-03     6.71427e+03
    1.83040e-03     6.73143e+03
    1.83568e-03     6.74863e+03
    1.84097e-03     6.76587e+03
    1.84628e-03     6.78315e+03
    1.85160e-03     6.80046e+03
    1.85694e-03     6.81781e+03
    1.86229e-03     6.83520e+03
    1.86766e-03     6.85262e+03
    1.87305e-03     6.87009e+03
    1.87845e-03     6.88759e+03
    1.88386e-03     6.90513e+03
    1.88929e-03     6.92271e+03
    1.89474e-03     6.94033e+03
    1.90020e-03     6.95798e+03
    1.90568e-03     6.97567e+03
    1.91117e-03     6.99341e+03
    1.91668e-03     7.01118e+03
    1.92221e-03     7.02898e+03
    1.92775e-03     7.04683e+03
    1.93331e-03     7.06471e+03
    1.93888e-03     7.08264e+03
    1.94447e-03     7.10060e+03
    1.95008e-03     7.11860e+03
    1.95570e-03     7.13664e+03
    1.96134e-03     7.15472e+03
    1.96699e-03     7.17283e+03
    1.97266e-03     7.19099e+03
    1.97835e-03     7.20918e+03
    1.98405e-03     7.22741e+03
    1.98977e-03     7.24569e+03
    1.99551e-03     7.26400e+03
    2.00126e-03     7.28234e+03
    2.00703e-03     7.30073e+03
    2.01282e-03     7.31916e+03
    2.01862e-03     7.33763e+03
    2.02444e-03     7.35613e+03
    2.03028e-03     7.37468e+03
    2.03613e-03     7.39326e+03
    2.04200e-03     7.41188e+03
    2.04789e-03     7.43054e+03
    2.05379e-03     7.44924e+03
    2.05971e-03     7.46798e+03
    2.06565e-03     7.48676e+03
    2.07160e-03     7.50558e+03
    2.07757e-03     7.52444e+03
    2.08356e-03     7.54334e+03
    2.08957e-03     7.56228e+03
    2.09560e-03     7.58125e+03
    2.10164e-03     7.60027e+03
    2.10770e-03     7.61933e+03
    2.11377e-03     7.63842e+03
    2.11987e-03     7.65756e+03
    2.12598e-03     7.67673e+03
    2.13211e-03     7.69595e+03
    2.13825e-03     7.71520e+03
    2.14442e-03     7.73449e+03
    2.15060e-03     7.75383e+03
    2.15680e-03     7.77320e+03
    2.16302e-03     7.79261e+03
    2.16925e-03     7.81207e+03
    2.17551e-03     7.83156e+03
    2.18178e-03     7.85109e+03
    2.18807e-03     7.87067e+03
    2.19438e-03     7.89028e+03
    2.20070e-03     7.90993e+03
    2.20705e-03     7.92962e+03
    2.21341e-03     7.94936e+03
    2.21979e-03     7.96913e+03
    2.22619e-03     7.98894e+03
    2.23261e-03     8.00879e+03
    2.23904e-03     8.02869e+03
    2.24550e-03     8.04862e+03
    2.25197e-03     8.06859e+03
    2.25846e-03     8.08860e+03
    2.26497e-03     8.10866e+03
    2.27150e-03     8.12875e+03
    2.27805e-03     8.14889e+03
    2.28462e-03     8.16906e+03
    2.29121e-03     8.18927e+03
    2.29781e-03     8.20953e+03
    2.30444e-03     8.22982e+03
    2.31108e-03     8.25016e+03
    2.31774e-03     8.27053e+03
    2.32442e-03     8.29095e+03
    2.33113e-03     8.31141e+03
    2.33785e-03     8.33190e+03
    2.34459e-03     8.35244e+03
    2.35134e-03     8.37302e+03
    2.35812e-03     8.39364e+03
    2.36492e-03     8.41429e+03
    2.37174e-03     8.43499e+03
    2.37858e-03     8.45573e+03
    2.38543e-03     8.47651e+03
    2.39231e-03     8.49733e+03
    2.39921e-03     8.51819e+03
    2.40612e-03     8.53910e+03
    2.41306e-03     8.56004e+03
    2.42002e-03     8.58102e+03
    2.42699e-03     8.60204e+03
    2.43399e-03     8.62311e+03
    2.44101e-03     8.64421e+03
    2.44805e-03     8.66536e+03
    2.45510e-03     8.68654e+03
    2.46218e-03     8.70777e+03
    2.46928e-03     8.72904e+03
    2.47640e-03     8.75035e+03
    2.48354e-03     8.77169e+03
    2.49070e-03     8.79308e+03
    2.49788e-03     8.81451e+03
    2.50508e-03     8.83598e+03
    2.51230e-03     8.85750e+03
    2.51954e-03     8.87905e+03
    2.52681e-03     8.90064e+03
    2.53409e-03     8.92227e+03
    2.54140e-03     8.94395e+03
    2.54872e-03     8.96566e+03
    2.55607e-03     8.98742e+03
    2.56344e-03     9.00922e+03
    2.57083e-03     9.03106e+03
    2.57824e-03     9.05293e+03
    2.58567e-03     9.07485e+03
    2.59313e-03     9.09681e+03
    2.60060e-03     9.11881e+03
    2.60810e-03     9.14086e+03
    2.61562e-03     9.16294e+03
    2.62316e-03     9.18506e+03
    2.63072e-03     9.20723e+03
    2.63831e-03     9.22943e+03
    2.64591e-03     9.25168e+03
    2.65354e-03     9.27396e+03
    2.66119e-03     9.29629e+03
    2.66886e-03     9.31866e+03
    2.67656e-03     9.34107e+03
    2.68427e-03     9.36352e+03
    2.69201e-03     9.38601e+03
    2.69977e-03     9.40854e+03
    2.70755e-03     9.43111e+03
    2.71536e-03     9.45373e+03
    2.72319e-03     9.47638e+03
    2.73104e-03     9.49908e+03
    2.73891e-03     9.52181e+03
    2.74681e-03     9.54459e+03
    2.75473e-03     9.56741e+03
    2.76267e-03     9.59026e+03
    2.77063e-03     9.61316e+03
    2.77862e-03     9.63610e+03
    2.78663e-03     9.65908e+03
    2.79466e-03     9.68211e+03
    2.80272e-03     9.70517e+03
    2.81080e-03     9.72827e+03
    2.81890e-03     9.75141e+03
    2.82703e-03     9.77460e+03
    2.83518e-03     9.79782e+03
    2.84335e-03     9.82109e+03
    2.85155e-03     9.84440e+03
    2.85977e-03     9.86774e+03
    2.86802e-03     9.89113e+03
    2.87629e-03     9.91456e+03
    2.88458e-03     9.93803e+03
    2.89289e-03     9.96154e+03
    2.90123e-03     9.98509e+03
    2.90960e-03     1.00087e+04
    2.91798e-03     1.00323e+04
    2.92640e-03     1.00560e+04
    2.93483e-03     1.00797e+04
    2.94329e-03     1.01035e+04
    2.95178e-03     1.01272e+04
    2.96029e-03     1.01511e+04
    2.96882e-03     1.01750e+04
    2.97738e-03     1.01989e+04
    2.98597e-03     1.02228e+04
    2.99457e-03     1.02468e+04
    3.00321e-03     1.02709e+04
    3.01187e-03     1.02949e+04
    3.02055e-03     1.03191e+04
    3.02926e-03     1.03432e+04
    3.03799e-03     1.03674e+04
    3.04675e-03     1.03916e+04
    3.05553e-03     1.04159e+04
    3.06434e-03     1.04402e+04
    3.07317e-03     1.04646e+04
    3.08203e-03     1.04890e+04
    3.09092e-03     1.05134e+04
    3.09983e-03     1.05379e+04
    3.10877e-03     1.05624e+04
    3.11773e-03     1.05870e+04
    3.12672e-03     1.06116e+04
    3.13573e-03     1.06362e+04
    3.14477e-03     1.06609e+04
    3.15384e-03     1.06856e+04
    3.16293e-03     1.07104e+04
    3.17205e-03     1.07352e+04
    3.18119e-03     1.07600e+04
    3.19036e-03     1.07849e+04
    3.19956e-03     1.08098e+04
    3.20878e-03     1.08348e+04
    3.21803e-03     1.08597e+04
    3.22731e-03     1.08848e+04
    3.23662e-03     1.09099e+04
    3.24595e-03     1.09350e+04
    3.25530e-03     1.09601e+04
    3.26469e-03     1.09853e+04
    3.27410e-03     1.10105e+04
    3.28354e-03     1.10358e+04
    3.29301e-03     1.10611e+04
    3.30250e-03     1.10865e+04
    3.31202e-03     1.11118e+04
    3.32157e-03     1.11373e+04
    3.33114e-03     1.11627e+04
    3.34075e-03     1.11882e+04
    3.35038e-03     1.12138e+04
    3.36004e-03     1.12394e+04
    3.36972e-03     1.12650e+04
    3.37944e-03     1.12906e+04
    3.38918e-03     1.13163e+04
    3.39895e-03     1.13421e+04
    3.40875e-03     1.13678e+04
    3.41858e-03     1.13936e+04
    3.42843e-03     1.14195e+04
    3.43832e-03     1.14454e+04
    3.44823e-03     1.14713e+04
    3.45817e-03     1.14973e+04
    3.46814e-03     1.15233e+04
    3.47814e-03     1.15493e+04
    3.48816e-03     1.15754e+04
    3.49822e-03     1.16015e+04
    3.50830e-03     1.16277e+04
    3.51842e-03     1.16538e+04
    3.52856e-03     1.16801e+04
    3.53873e-03     1.17063e+04
    3.54894e-03     1.17326e+04
    3.55917e-03     1.17590e+04
    3.56943e-03     1.17854e+04
    3.57972e-03     1.18118e+04
    3.59004e-03     1.18382e+04
    3.60039e-03     1.18647e+04
    3.61077e-03     1.18913e+04
    3.62118e-03     1.19178e+04
    3.63162e-03     1.19444e+04
    3.64209e-03     1.19711e+04
    3.65259e-03     1.19977e+04
    3.66312e-03     1.20244e+04
    3.67368e-03     1.20512e+04
    3.68427e-03     1.20780e+04
    3.69489e-03     1.21048e+04
    3.70554e-03     1.21317e+04
    3.71622e-03     1.21586e+04
    3.72694e-03     1.21855e+04
    3.73768e-03     1.22124e+04
    3.74846e-03     1.22394e+04
    3.75926e-03     1.22665e+04
    3.77010e-03     1.22936e+04
    3.78097e-03     1.23207e+04
    3.79187e-03     1.23478e+04
    3.80280e-03     1.23750e+04
    3.81376e-03     1.24022e+04
    3.82476e-03     1.24295e+04
    3.83579e-03     1.24568e+04
    3.84684e-03     1.24841e+04
    3.85793e-03     1.25114e+04
    3.86906e-03     1.25388e+04
    3.88021e-03     1.25663e+04
    3.89140e-03     1.25937e+04
    3.90261e-03     1.26212e+04
    3.91386e-03     1.26488e+04
    3.92515e-03     1.26763e+04
    3.93646e-03     1.27039e+04
    3.94781e-03     1.27316e+04
    3.95919e-03     1.27592e+04
    3.97061e-03     1.27869e+04
    3.98205e-03     1.28147e+04
    3.99353e-03     1.28425e+04
    4.00505e-03     1.28703e+04
    4.01659e-03     1.28981e+04
    4.02817e-03     1.29260e+04
    4.03979e-03     1.29539e+04
    4.05143e-03     1.29818e+04
    4.06311e-03     1.30098e+04
    4.07482e-03     1.30378e+04
    4.08657e-03     1.30659e+04
    4.09835e-03     1.30939e+04
    4.11017e-03     1.31220e+04
    4.12202e-03     1.31502e+04
    4.13390e-03     1.31784e+04
    4.14582e-03     1.32066e+04
    4.15777e-03     1.32348e+04
    4.16976e-03     1.32631e+04
    4.18178e-03     1.32914e+04
    4.19383e-03     1.33197e+04
    4.20592e-03     1.33481e+04
    4.21805e-03     1.33765e+04
    4.23021e-03     1.34049e+04
    4.24240e-03     1.34334e+04
    4.25463e-03     1.34618e+04
    4.26690e-03     1.34904e+04
    4.27920e-03     1.35189e+04
    4.29154e-03     1.35475e+04
    4.30391e-03     1.35761e+04
    4.31632e-03     1.36048e+04
    4.32876e-03     1.36334e+04
    4.34124e-03     1.36622e+04
    4.35376e-03     1.36909e+04
    4.36631e-03     1.37197e+04
    4.37889e-03     1.37485e+04
    4.39152e-03     1.37773e+04
    4.40418e-03     1.38061e+04
    4.41688e-03     1.38350e+04
    4.42961e-03     1.38639e+04
    4.44238e-03     1.38929e+04
    4.45519e-03     1.39219e+04
    4.46803e-03     1.39509e+04
    4.48091e-03     1.39799e+04
    4.49383e-03     1.40090e+04
    4.50678e-03     1.40380e+04
    4.51978e-03     1.40672e+04
    4.53281e-03     1.40963e+04
    4.54587e-03     1.41255e+04
    4.55898e-03     1.41547e+04
    4.57212e-03     1.41839e+04
    4.58530e-03     1.42132e+04
    4.59852e-03     1.42424e+04
    4.61178e-03     1.42718e+04
    4.62507e-03     1.43011e+04
    4.63841e-03     1.43305e+04
    4.65178e-03     1.43598e+04
    4.66519e-03     1.43893e+04
    4.67864e-03     1.44187e+04
    4.69213e-03     1.44482e+04
    4.70566e-03     1.44777e+04
    4.71922e-03     1.45072e+04
    4.73283e-03     1.45367e+04
    4.74647e-03     1.45663e+04
    4.76015e-03     1.45959e+04
    4.77388e-03     1.46255e+04
    4.78764e-03     1.46552e+04
    4.80144e-03     1.46848e+04
    4.81528e-03     1.47145e+04
    4.82917e-03     1.47443e+04
    4.84309e-03     1.47740e+04
    4.85705e-03     1.48038e+04
    4.87105e-03     1.48336e+04
    4.88509e-03     1.48634e+04
    4.89918e-03     1.48932e+04
    4.91330e-03     1.49231e+04
    4.92747e-03     1.49530e+04
    4.94167e-03     1.49829e+04
    4.95592e-03     1.50128e+04
    4.97021e-03     1.50427e+04
    4.98453e-03     1.50727e+04
    4.99890e-03     1.51027e+04
    5.01332e-03     1.51327e+04
    5.02777e-03     1.51628e+04
    5.04226e-03     1.51928e+04
    5.05680e-03     1.52229e+04
    5.07138e-03     1.52530e+04
    5.08600e-03     1.52831e+04
    5.10066e-03     1.53133e+04
    5.11536e-03     1.53435e+04
    5.13011e-03     1.53736e+04
    5.14490e-03     1.54038e+04
    5.15973e-03     1.54341e+04
    5.17461e-03     1.54643e+04
    5.18953e-03     1.54946e+04
    5.20449e-03     1.55249e+04
    5.21949e-03     1.55552e+04
    5.23454e-03     1.55855e+04
    5.24963e-03     1.56158e+04
    5.26476e-03     1.56462e+04
    5.27994e-03     1.56765e+04
    5.29516e-03     1.57069e+04
    5.31043e-03     1.57373e+04
    5.32574e-03     1.57678e+04
    5.34109e-03     1.57982e+04
    5.35649e-03     1.58287e+04
    5.37193e-03     1.58591e+04
    5.38742e-03     1.58896e+04
    5.40295e-03     1.59201e+04
    5.41852e-03     1.59506e+04
    5.43415e-03     1.59812e+04
    5.44981e-03     1.60117e+04
    5.46552e-03     1.60423e+04
    5.48128e-03     1.60729e+04
