# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.93993e+03
    1.00288e-03     3.95049e+03
    1.00577e-03     3.96107e+03
    1.00867e-03     3.97168e+03
    1.01158e-03     3.98232e+03
    1.01450e-03     3.99298e+03
    1.01742e-03     4.00367e+03
    1.02036e-03     4.01439e+03
    1.02330e-03     4.02514e+03
    1.02625e-03     4.03591e+03
    1.02921e-03     4.04671e+03
    1.03217e-03     4.05753e+03
    1.03515e-03     4.06839e+03
    1.03813e-03     4.07927e+03
    1.04113e-03     4.09018e+03
    1.04413e-03     4.10111e+03
    1.04714e-03     4.11207e+03
    1.05016e-03     4.12306e+03
    1.05318e-03     4.13408e+03
    1.05622e-03     4.14513e+03
    1.05926e-03     4.15620e+03
    1.06232e-03     4.16730e+03
    1.06538e-03     4.17843e+03
    1.06845e-03     4.18959e+03
    1.07153e-03     4.20077e+03
    1.07462e-03     4.21198e+03
    1.07772e-03     4.22322e+03
    1.08083e-03     4.23449e+03
    1.08394e-03     4.24579e+03
    1.08707e-03     4.25711e+03
    1.09020e-03     4.26846e+03
    1.09334e-03     4.27984e+03
    1.09650e-03     4.29125e+03
    1.09966e-03     4.30269e+03
    1.10283e-03     4.31416e+03
    1.10601e-03     4.32565e+03
    1.10920e-03     4.33717e+03
    1.11239e-03     4.34873e+03
    1.11560e-03     4.36031e+03
    1.11882e-03     4.37191e+03
    1.12204e-03     4.38355e+03
    1.12528e-03     4.39522e+03
    1.12852e-03     4.40691e+03
    1.13177e-03     4.41864e+03
    1.13504e-03     4.43039e+03
    1.13831e-03     4.44217e+03
    1.14159e-03     4.45399e+03
    1.14488e-03     4.46583e+03
    1.14818e-03     4.47770e+03
    1.15149e-03     4.48960e+03
    1.15481e-03     4.50152e+03
    1.15814e-03     4.51348e+03
    1.16148e-03     4.52547e+03
    1.16483e-03     4.53749e+03
    1.16819e-03     4.54953e+03
    1.17155e-03     4.56161e+03
    1.17493e-03     4.57371e+03
    1.17832e-03     4.58585e+03
    1.18172e-03     4.59801e+03
    1.18512e-03     4.61021e+03
    1.18854e-03     4.62243e+03
    1.19197e-03     4.63469e+03
    1.19540e-03     4.64697e+03
    1.19885e-03     4.65929e+03
    1.20230e-03     4.67163e+03
    1.20577e-03     4.68401e+03
    1.20925e-03     4.69641e+03
    1.21273e-03     4.70885e+03
    1.21623e-03     4.72132e+03
    1.21973e-03     4.73381e+03
    1.22325e-03     4.74634e+03
    1.22678e-03     4.75890e+03
    1.23031e-03     4.77148e+03
    1.23386e-03     4.78410e+03
    1.23742e-03     4.79675e+03
    1.24099e-03     4.80943e+03
    1.24456e-03     4.82214e+03
    1.24815e-03     4.83488e+03
    1.25175e-03     4.84766e+03
    1.25536e-03     4.86046e+03
    1.25898e-03     4.87329e+03
    1.26261e-03     4.88616e+03
    1.26625e-03     4.89906e+03
    1.26990e-03     4.91198e+03
    1.27356e-03     4.92494e+03
    1.27723e-03     4.93793e+03
    1.28091e-03     4.95096e+03
    1.28460e-03     4.96401e+03
    1.28831e-03     4.97709e+03
    1.29202e-03     4.99021e+03
    1.29575e-03     5.00336e+03
    1.29948e-03     5.01654e+03
    1.30323e-03     5.02975e+03
    1.30699e-03     5.04299e+03
    1.31075e-03     5.05627e+03
    1.31453e-03     5.06957e+03
    1.31832e-03     5.08291e+03
    1.32212e-03     5.09628e+03
    1.32593e-03     5.10968e+03
    1.32976e-03     5.12312e+03
    1.33359e-03     5.13658e+03
    1.33743e-03     5.15008e+03
    1.34129e-03     5.16361e+03
    1.34516e-03     5.17718e+03
    1.34904e-03     5.19077e+03
    1.35292e-03     5.20440e+03
    1.35682e-03     5.21806e+03
    1.36074e-03     5.23176e+03
    1.36466e-03     5.24548e+03
    1.36859e-03     5.25924e+03
    1.37254e-03     5.27303e+03
    1.37650e-03     5.28686e+03
    1.38046e-03     5.30071e+03
    1.38444e-03     5.31460e+03
    1.38843e-03     5.32853e+03
    1.39244e-03     5.34248e+03
    1.39645e-03     5.35647e+03
    1.40048e-03     5.37049e+03
    1.40451e-03     5.38455e+03
    1.40856e-03     5.39864e+03
    1.41262e-03     5.41276e+03
    1.41670e-03     5.42691e+03
    1.42078e-03     5.44110e+03
    1.42488e-03     5.45532e+03
    1.42899e-03     5.46958e+03
    1.43310e-03     5.48387e+03
    1.43724e-03     5.49819e+03
    1.44138e-03     5.51255e+03
    1.44553e-03     5.52694e+03
    1.44970e-03     5.54136e+03
    1.45388e-03     5.55582e+03
    1.45807e-03     5.57031e+03
    1.46228e-03     5.58483e+03
    1.46649e-03     5.59939e+03
    1.47072e-03     5.61399e+03
    1.47496e-03     5.62862e+03
    1.47921e-03     5.64328e+03
    1.48348e-03     5.65797e+03
    1.48775e-03     5.67270e+03
    1.49204e-03     5.68747e+03
    1.49634e-03     5.70227e+03
    1.50066e-03     5.71710e+03
    1.50498e-03     5.73197e+03
    1.50932e-03     5.74687e+03
    1.51367e-03     5.76181e+03
    1.51804e-03     5.77678e+03
    1.52241e-03     5.79179e+03
    1.52680e-03     5.80683e+03
    1.53120e-03     5.82191e+03
    1.53562e-03     5.83702e+03
    1.54005e-03     5.85216e+03
    1.54449e-03     5.86735e+03
    1.54894e-03     5.88256e+03
    1.55340e-03     5.89781e+03
    1.55788e-03     5.91310e+03
    1.56237e-03     5.92842e+03
    1.56688e-03     5.94378e+03
    1.57139e-03     5.95917e+03
    1.57592e-03     5.97460e+03
    1.58047e-03     5.99006e+03
    1.58502e-03     6.00556e+03
    1.58959e-03     6.02109e+03
    1.59418e-03     6.03666e+03
    1.59877e-03     6.05227e+03
    1.60338e-03     6.06791e+03
    1.60800e-03     6.08358e+03
    1.61264e-03     6.09929e+03
    1.61729e-03     6.11504e+03
    1.62195e-03     6.13082e+03
    1.62663e-03     6.14664e+03
    1.63132e-03     6.16250e+03
    1.63602e-03     6.17839e+03
    1.64073e-03     6.19432e+03
    1.64546e-03     6.21028e+03
    1.65021e-03     6.22628e+03
    1.65497e-03     6.24231e+03
    1.65974e-03     6.25839e+03
    1.66452e-03     6.27449e+03
    1.66932e-03     6.29064e+03
    1.67413e-03     6.30682e+03
    1.67896e-03     6.32304e+03
    1.68380e-03     6.33929e+03
    1.68865e-03     6.35558e+03
    1.69352e-03     6.37191e+03
    1.69840e-03     6.38827e+03
    1.70330e-03     6.40467e+03
    1.70821e-03     6.42110e+03
    1.71314e-03     6.43758e+03
    1.71807e-03     6.45409e+03
