# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.91142e+02
    1.00578e-04     4.93828e+02
    1.01158e-04     4.96529e+02
    1.01743e-04     4.99244e+02
    1.02330e-04     5.01974e+02
    1.02921e-04     5.04719e+02
    1.03516e-04     5.07479e+02
    1.04114e-04     5.10254e+02
    1.04715e-04     5.13045e+02
    1.05320e-04     5.15850e+02
    1.05928e-04     5.18671e+02
    1.06540e-04     5.21507e+02
    1.07155e-04     5.24359e+02
    1.07774e-04     5.27227e+02
    1.08396e-04     5.30110e+02
    1.09022e-04     5.33008e+02
    1.09652e-04     5.35923e+02
    1.10285e-04     5.38853e+02
    1.10922e-04     5.41800e+02
    1.11563e-04     5.44763e+02
    1.12207e-04     5.47741e+02
    1.12855e-04     5.50736e+02
    1.13507e-04     5.53748e+02
    1.14163e-04     5.56776e+02
    1.14822e-04     5.59820e+02
    1.15485e-04     5.62881e+02
    1.16152e-04     5.65959e+02
    1.16823e-04     5.69053e+02
    1.17498e-04     5.72165e+02
    1.18176e-04     5.75293e+02
    1.18859e-04     5.78438e+02
    1.19545e-04     5.81601e+02
    1.20236e-04     5.84781e+02
    1.20930e-04     5.87978e+02
    1.21629e-04     5.91193e+02
    1.22331e-04     5.94425e+02
    1.23038e-04     5.97675e+02
    1.23748e-04     6.00943e+02
    1.24463e-04     6.04228e+02
    1.25182e-04     6.07532e+02
    1.25905e-04     6.10853e+02
    1.26632e-04     6.14193e+02
    1.27363e-04     6.17551e+02
    1.28099e-04     6.20927e+02
    1.28839e-04     6.24321e+02
    1.29583e-04     6.27735e+02
    1.30331e-04     6.31166e+02
    1.31084e-04     6.34617e+02
    1.31841e-04     6.38086e+02
    1.32602e-04     6.41574e+02
    1.33368e-04     6.45081e+02
    1.34138e-04     6.48608e+02
    1.34913e-04     6.52153e+02
    1.35692e-04     6.55718e+02
    1.36476e-04     6.59303e+02
    1.37264e-04     6.62907e+02
    1.38057e-04     6.66531e+02
    1.38854e-04     6.70174e+02
    1.39656e-04     6.73837e+02
    1.40463e-04     6.77520e+02
    1.41274e-04     6.81224e+02
    1.42090e-04     6.84947e+02
    1.42911e-04     6.88691e+02
    1.43736e-04     6.92456e+02
    1.44566e-04     6.96240e+02
    1.45401e-04     7.00046e+02
    1.46241e-04     7.03872e+02
    1.47085e-04     7.07719e+02
    1.47935e-04     7.11587e+02
    1.48789e-04     7.15476e+02
    1.49649e-04     7.19387e+02
    1.50513e-04     7.23318e+02
    1.51382e-04     7.27272e+02
    1.52257e-04     7.31246e+02
    1.53136e-04     7.35243e+02
    1.54020e-04     7.39261e+02
    1.54910e-04     7.43301e+02
    1.55805e-04     7.47363e+02
    1.56704e-04     7.51447e+02
    1.57609e-04     7.55553e+02
    1.58520e-04     7.59682e+02
    1.59435e-04     7.63834e+02
    1.60356e-04     7.68008e+02
    1.61282e-04     7.72204e+02
    1.62214e-04     7.76424e+02
    1.63151e-04     7.80667e+02
    1.64093e-04     7.84932e+02
    1.65041e-04     7.89221e+02
    1.65994e-04     7.93534e+02
    1.66952e-04     7.97869e+02
    1.67917e-04     8.02229e+02
    1.68886e-04     8.06612e+02
    1.69862e-04     8.11019e+02
    1.70843e-04     8.15450e+02
    1.71830e-04     8.19905e+02
    1.72822e-04     8.24385e+02
    1.73820e-04     8.28889e+02
    1.74824e-04     8.33417e+02
    1.75834e-04     8.37970e+02
    1.76849e-04     8.42548e+02
    1.77871e-04     8.47151e+02
    1.78898e-04     8.51779e+02
    1.79931e-04     8.56432e+02
    1.80970e-04     8.61110e+02
    1.82016e-04     8.65814e+02
    1.83067e-04     8.70544e+02
    1.84124e-04     8.75299e+02
    1.85187e-04     8.80080e+02
    1.86257e-04     8.84887e+02
    1.87333e-04     8.89720e+02
    1.88415e-04     8.94580e+02
    1.89503e-04     8.99466e+02
    1.90597e-04     9.04379e+02
    1.91698e-04     9.09318e+02
    1.92805e-04     9.14284e+02
    1.93919e-04     9.19277e+02
    1.95039e-04     9.24298e+02
    1.96165e-04     9.29346e+02
    1.97298e-04     9.34421e+02
    1.98438e-04     9.39524e+02
    1.99584e-04     9.44654e+02
    2.00736e-04     9.49813e+02
    2.01896e-04     9.54999e+02
    2.03062e-04     9.60214e+02
    2.04235e-04     9.65457e+02
    2.05414e-04     9.70728e+02
    2.06600e-04     9.76029e+02
    2.07794e-04     9.81358e+02
    2.08994e-04     9.86716e+02
    2.10201e-04     9.92103e+02
    2.11415e-04     9.97519e+02
    2.12636e-04     1.00297e+03
    2.13864e-04     1.00844e+03
    2.15099e-04     1.01395e+03
    2.16341e-04     1.01948e+03
    2.17591e-04     1.02505e+03
    2.18848e-04     1.03064e+03
    2.20112e-04     1.03627e+03
    2.21383e-04     1.04192e+03
    2.22661e-04     1.04761e+03
    2.23947e-04     1.05333e+03
    2.25241e-04     1.05908e+03
    2.26542e-04     1.06486e+03
    2.27850e-04     1.07067e+03
    2.29166e-04     1.07651e+03
    2.30489e-04     1.08239e+03
    2.31821e-04     1.08829e+03
    2.33160e-04     1.09423e+03
    2.34506e-04     1.10020e+03
    2.35861e-04     1.10621e+03
    2.37223e-04     1.11224e+03
    2.38593e-04     1.11831e+03
    2.39971e-04     1.12441e+03
    2.41357e-04     1.13055e+03
    2.42751e-04     1.13672e+03
    2.44153e-04     1.14292e+03
    2.45563e-04     1.14915e+03
    2.46981e-04     1.15542e+03
    2.48407e-04     1.16173e+03
    2.49842e-04     1.16806e+03
    2.51285e-04     1.17443e+03
    2.52736e-04     1.18084e+03
    2.54196e-04     1.18728e+03
    2.55664e-04     1.19376e+03
    2.57141e-04     1.20027e+03
    2.58626e-04     1.20681e+03
    2.60120e-04     1.21340e+03
    2.61622e-04     1.22001e+03
    2.63133e-04     1.22667e+03
    2.64653e-04     1.23336e+03
    2.66181e-04     1.24008e+03
    2.67718e-04     1.24684e+03
    2.69265e-04     1.25364e+03
    2.70820e-04     1.26048e+03
    2.72384e-04     1.26735e+03
    2.73957e-04     1.27426e+03
    2.75539e-04     1.28120e+03
    2.77131e-04     1.28819e+03
    2.78731e-04     1.29521e+03
    2.80341e-04     1.30227e+03
    2.81960e-04     1.30937e+03
    2.83589e-04     1.31650e+03
    2.85226e-04     1.32368e+03
    2.86874e-04     1.33089e+03
    2.88531e-04     1.33815e+03
    2.90197e-04     1.34544e+03
    2.91873e-04     1.35277e+03
    2.93559e-04     1.36014e+03
    2.95254e-04     1.36755e+03
    2.96959e-04     1.37500e+03
    2.98674e-04     1.38249e+03
    3.00399e-04     1.39003e+03
    3.02134e-04     1.39760e+03
    3.03879e-04     1.40521e+03
    3.05634e-04     1.41287e+03
    3.07400e-04     1.42056e+03
    3.09175e-04     1.42830e+03
    3.10961e-04     1.43608e+03
    3.12756e-04     1.44390e+03
    3.14563e-04     1.45176e+03
    3.16380e-04     1.45967e+03
    3.18207e-04     1.46762e+03
    3.20045e-04     1.47561e+03
    3.21893e-04     1.48364e+03
    3.23752e-04     1.49172e+03
    3.25622e-04     1.49984e+03
    3.27503e-04     1.50801e+03
    3.29394e-04     1.51621e+03
    3.31296e-04     1.52447e+03
    3.33210e-04     1.53276e+03
    3.35134e-04     1.54111e+03
    3.37070e-04     1.54949e+03
    3.39017e-04     1.55793e+03
    3.40975e-04     1.56640e+03
    3.42944e-04     1.57493e+03
