# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.62088e+02
    1.00288e-04     4.63350e+02
    1.00577e-04     4.64615e+02
    1.00867e-04     4.65883e+02
    1.01158e-04     4.67155e+02
    1.01450e-04     4.68431e+02
    1.01742e-04     4.69709e+02
    1.02036e-04     4.70992e+02
    1.02330e-04     4.72277e+02
    1.02625e-04     4.73567e+02
    1.02921e-04     4.74860e+02
    1.03217e-04     4.76156e+02
    1.03515e-04     4.77456e+02
    1.03813e-04     4.78759e+02
    1.04113e-04     4.80066e+02
    1.04413e-04     4.81377e+02
    1.04714e-04     4.82691e+02
    1.05016e-04     4.84009e+02
    1.05319e-04     4.85330e+02
    1.05622e-04     4.86655e+02
    1.05927e-04     4.87983e+02
    1.06232e-04     4.89315e+02
    1.06538e-04     4.90651e+02
    1.06845e-04     4.91991e+02
    1.07153e-04     4.93334e+02
    1.07462e-04     4.94680e+02
    1.07772e-04     4.96031e+02
    1.08083e-04     4.97385e+02
    1.08395e-04     4.98743e+02
    1.08707e-04     5.00104e+02
    1.09020e-04     5.01469e+02
    1.09335e-04     5.02838e+02
    1.09650e-04     5.04211e+02
    1.09966e-04     5.05587e+02
    1.10283e-04     5.06967e+02
    1.10601e-04     5.08351e+02
    1.10920e-04     5.09739e+02
    1.11240e-04     5.11130e+02
    1.11560e-04     5.12526e+02
    1.11882e-04     5.13925e+02
    1.12205e-04     5.15328e+02
    1.12528e-04     5.16734e+02
    1.12852e-04     5.18145e+02
    1.13178e-04     5.19559e+02
    1.13504e-04     5.20977e+02
    1.13831e-04     5.22400e+02
    1.14159e-04     5.23826e+02
    1.14489e-04     5.25255e+02
    1.14819e-04     5.26689e+02
    1.15150e-04     5.28127e+02
    1.15482e-04     5.29568e+02
    1.15815e-04     5.31014e+02
    1.16148e-04     5.32463e+02
    1.16483e-04     5.33917e+02
    1.16819e-04     5.35374e+02
    1.17156e-04     5.36835e+02
    1.17494e-04     5.38301e+02
    1.17832e-04     5.39770e+02
    1.18172e-04     5.41243e+02
    1.18513e-04     5.42721e+02
    1.18854e-04     5.44202e+02
    1.19197e-04     5.45687e+02
    1.19541e-04     5.47177e+02
    1.19885e-04     5.48670e+02
    1.20231e-04     5.50168e+02
    1.20578e-04     5.51670e+02
    1.20925e-04     5.53175e+02
    1.21274e-04     5.54685e+02
    1.21624e-04     5.56199e+02
    1.21974e-04     5.57717e+02
    1.22326e-04     5.59240e+02
    1.22679e-04     5.60766e+02
    1.23032e-04     5.62296e+02
    1.23387e-04     5.63831e+02
    1.23743e-04     5.65370e+02
    1.24099e-04     5.66913e+02
    1.24457e-04     5.68460e+02
    1.24816e-04     5.70012e+02
    1.25176e-04     5.71568e+02
    1.25537e-04     5.73128e+02
    1.25899e-04     5.74692e+02
    1.26262e-04     5.76260e+02
    1.26626e-04     5.77833e+02
    1.26991e-04     5.79410e+02
    1.27357e-04     5.80991e+02
    1.27724e-04     5.82577e+02
    1.28092e-04     5.84167e+02
    1.28461e-04     5.85761e+02
    1.28832e-04     5.87360e+02
    1.29203e-04     5.88963e+02
    1.29576e-04     5.90570e+02
    1.29949e-04     5.92182e+02
    1.30324e-04     5.93798e+02
    1.30700e-04     5.95419e+02
    1.31076e-04     5.97044e+02
    1.31454e-04     5.98673e+02
    1.31833e-04     6.00307e+02
    1.32213e-04     6.01945e+02
    1.32595e-04     6.03588e+02
    1.32977e-04     6.05235e+02
    1.33360e-04     6.06887e+02
    1.33745e-04     6.08543e+02
    1.34130e-04     6.10204e+02
    1.34517e-04     6.11869e+02
    1.34905e-04     6.13539e+02
    1.35294e-04     6.15213e+02
    1.35684e-04     6.16892e+02
    1.36075e-04     6.18575e+02
    1.36467e-04     6.20263e+02
    1.36861e-04     6.21956e+02
    1.37255e-04     6.23653e+02
    1.37651e-04     6.25355e+02
    1.38048e-04     6.27062e+02
