# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     6.15534e+02
    1.00288e-04     6.17214e+02
    1.00577e-04     6.18899e+02
    1.00867e-04     6.20589e+02
    1.01158e-04     6.22283e+02
    1.01450e-04     6.23982e+02
    1.01742e-04     6.25685e+02
    1.02036e-04     6.27393e+02
    1.02330e-04     6.29105e+02
    1.02625e-04     6.30823e+02
    1.02921e-04     6.32545e+02
    1.03217e-04     6.34271e+02
    1.03515e-04     6.36003e+02
    1.03813e-04     6.37739e+02
    1.04113e-04     6.39480e+02
    1.04413e-04     6.41225e+02
    1.04714e-04     6.42976e+02
    1.05016e-04     6.44731e+02
    1.05319e-04     6.46491e+02
    1.05622e-04     6.48255e+02
    1.05927e-04     6.50025e+02
    1.06232e-04     6.51799e+02
    1.06538e-04     6.53578e+02
    1.06845e-04     6.55362e+02
    1.07153e-04     6.57151e+02
    1.07462e-04     6.58945e+02
    1.07772e-04     6.60743e+02
    1.08083e-04     6.62547e+02
    1.08395e-04     6.64355e+02
    1.08707e-04     6.66169e+02
    1.09020e-04     6.67987e+02
    1.09335e-04     6.69810e+02
    1.09650e-04     6.71639e+02
    1.09966e-04     6.73472e+02
    1.10283e-04     6.75310e+02
    1.10601e-04     6.77153e+02
    1.10920e-04     6.79002e+02
    1.11240e-04     6.80855e+02
    1.11560e-04     6.82713e+02
    1.11882e-04     6.84577e+02
    1.12205e-04     6.86445e+02
    1.12528e-04     6.88319e+02
    1.12852e-04     6.90197e+02
    1.13178e-04     6.92081e+02
    1.13504e-04     6.93970e+02
    1.13831e-04     6.95864e+02
    1.14159e-04     6.97763e+02
    1.14489e-04     6.99668e+02
    1.14819e-04     7.01577e+02
    1.15150e-04     7.03492e+02
    1.15482e-04     7.05412e+02
    1.15815e-04     7.07338e+02
    1.16148e-04     7.09268e+02
    1.16483e-04     7.11204e+02
    1.16819e-04     7.13145e+02
    1.17156e-04     7.15091e+02
    1.17494e-04     7.17043e+02
    1.17832e-04     7.19000e+02
    1.18172e-04     7.20962e+02
    1.18513e-04     7.22930e+02
    1.18854e-04     7.24903e+02
    1.19197e-04     7.26881e+02
    1.19541e-04     7.28865e+02
    1.19885e-04     7.30854e+02
