# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.58091e+02
    1.00288e-04     3.59069e+02
    1.00577e-04     3.60049e+02
    1.00867e-04     3.61032e+02
    1.01158e-04     3.62018e+02
    1.01450e-04     3.63007e+02
    1.01742e-04     3.63998e+02
    1.02036e-04     3.64991e+02
    1.02330e-04     3.65988e+02
    1.02625e-04     3.66987e+02
    1.02921e-04     3.67989e+02
    1.03217e-04     3.68994e+02
    1.03515e-04     3.70001e+02
    1.03813e-04     3.71011e+02
    1.04113e-04     3.72024e+02
    1.04413e-04     3.73040e+02
    1.04714e-04     3.74058e+02
    1.05016e-04     3.75080e+02
    1.05319e-04     3.76104e+02
    1.05622e-04     3.77130e+02
    1.05927e-04     3.78160e+02
    1.06232e-04     3.79192e+02
    1.06538e-04     3.80228e+02
    1.06845e-04     3.81266e+02
    1.07153e-04     3.82307e+02
    1.07462e-04     3.83350e+02
    1.07772e-04     3.84397e+02
    1.08083e-04     3.85446e+02
    1.08395e-04     3.86499e+02
    1.08707e-04     3.87554e+02
    1.09020e-04     3.88612e+02
    1.09335e-04     3.89673e+02
    1.09650e-04     3.90737e+02
    1.09966e-04     3.91803e+02
    1.10283e-04     3.92873e+02
    1.10601e-04     3.93945e+02
    1.10920e-04     3.95021e+02
    1.11240e-04     3.96099e+02
    1.11560e-04     3.97181e+02
    1.11882e-04     3.98265e+02
    1.12205e-04     3.99352e+02
    1.12528e-04     4.00442e+02
    1.12852e-04     4.01536e+02
    1.13178e-04     4.02632e+02
    1.13504e-04     4.03731e+02
    1.13831e-04     4.04833e+02
    1.14159e-04     4.05938e+02
    1.14489e-04     4.07046e+02
    1.14819e-04     4.08158e+02
    1.15150e-04     4.09272e+02
    1.15482e-04     4.10389e+02
    1.15815e-04     4.11509e+02
    1.16148e-04     4.12633e+02
    1.16483e-04     4.13759e+02
    1.16819e-04     4.14889e+02
    1.17156e-04     4.16021e+02
    1.17494e-04     4.17157e+02
    1.17832e-04     4.18296e+02
    1.18172e-04     4.19437e+02
    1.18513e-04     4.20582e+02
    1.18854e-04     4.21730e+02
    1.19197e-04     4.22882e+02
    1.19541e-04     4.24036e+02
    1.19885e-04     4.25194e+02
    1.20231e-04     4.26354e+02
    1.20578e-04     4.27518e+02
    1.20925e-04     4.28685e+02
    1.21274e-04     4.29855e+02
    1.21624e-04     4.31029e+02
    1.21974e-04     4.32205e+02
