# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     6.58199e+02
    1.00288e-04     6.59995e+02
    1.00577e-04     6.61797e+02
    1.00867e-04     6.63603e+02
    1.01158e-04     6.65415e+02
    1.01450e-04     6.67231e+02
    1.01742e-04     6.69053e+02
    1.02036e-04     6.70879e+02
    1.02330e-04     6.72710e+02
    1.02625e-04     6.74547e+02
    1.02921e-04     6.76388e+02
    1.03217e-04     6.78234e+02
    1.03515e-04     6.80086e+02
    1.03813e-04     6.81942e+02
    1.04113e-04     6.83804e+02
    1.04413e-04     6.85670e+02
    1.04714e-04     6.87542e+02
    1.05016e-04     6.89419e+02
    1.05319e-04     6.91301e+02
    1.05622e-04     6.93188e+02
    1.05927e-04     6.95080e+02
    1.06232e-04     6.96977e+02
    1.06538e-04     6.98879e+02
    1.06845e-04     7.00787e+02
    1.07153e-04     7.02700e+02
    1.07462e-04     7.04618e+02
    1.07772e-04     7.06541e+02
    1.08083e-04     7.08470e+02
    1.08395e-04     7.10404e+02
    1.08707e-04     7.12343e+02
    1.09020e-04     7.14287e+02
    1.09335e-04     7.16237e+02
    1.09650e-04     7.18192e+02
    1.09966e-04     7.20152e+02
    1.10283e-04     7.22118e+02
    1.10601e-04     7.24089e+02
    1.10920e-04     7.26065e+02
    1.11240e-04     7.28047e+02
    1.11560e-04     7.30034e+02
    1.11882e-04     7.32026e+02
    1.12205e-04     7.34024e+02
    1.12528e-04     7.36028e+02
    1.12852e-04     7.38037e+02
    1.13178e-04     7.40051e+02
    1.13504e-04     7.42071e+02
    1.13831e-04     7.44096e+02
    1.14159e-04     7.46127e+02
    1.14489e-04     7.48164e+02
    1.14819e-04     7.50206e+02
    1.15150e-04     7.52253e+02
    1.15482e-04     7.54306e+02
    1.15815e-04     7.56365e+02
    1.16148e-04     7.58429e+02
    1.16483e-04     7.60499e+02
    1.16819e-04     7.62575e+02
    1.17156e-04     7.64656e+02
    1.17494e-04     7.66743e+02
    1.17832e-04     7.68836e+02
    1.18172e-04     7.70934e+02
    1.18513e-04     7.73038e+02
    1.18854e-04     7.75148e+02
    1.19197e-04     7.77263e+02
    1.19541e-04     7.79384e+02
    1.19885e-04     7.81511e+02
    1.20231e-04     7.83644e+02
    1.20578e-04     7.85783e+02
    1.20925e-04     7.87927e+02
    1.21274e-04     7.90078e+02
    1.21624e-04     7.92234e+02
    1.21974e-04     7.94396e+02
    1.22326e-04     7.96564e+02
    1.22679e-04     7.98738e+02
    1.23032e-04     8.00917e+02
    1.23387e-04     8.03103e+02
    1.23743e-04     8.05295e+02
    1.24099e-04     8.07492e+02
    1.24457e-04     8.09696e+02
    1.24816e-04     8.11906e+02
    1.25176e-04     8.14121e+02
    1.25537e-04     8.16343e+02
    1.25899e-04     8.18570e+02
    1.26262e-04     8.20804e+02
    1.26626e-04     8.23044e+02
    1.26991e-04     8.25290e+02
    1.27357e-04     8.27542e+02
    1.27724e-04     8.29800e+02
    1.28092e-04     8.32065e+02
    1.28461e-04     8.34335e+02
    1.28832e-04     8.36612e+02
    1.29203e-04     8.38895e+02
    1.29576e-04     8.41184e+02
    1.29949e-04     8.43479e+02
    1.30324e-04     8.45781e+02
    1.30700e-04     8.48089e+02
    1.31076e-04     8.50403e+02
    1.31454e-04     8.52723e+02
    1.31833e-04     8.55050e+02
    1.32213e-04     8.57383e+02
    1.32595e-04     8.59723e+02
    1.32977e-04     8.62069e+02
    1.33360e-04     8.64421e+02
    1.33745e-04     8.66780e+02
    1.34130e-04     8.69145e+02
    1.34517e-04     8.71516e+02
    1.34905e-04     8.73894e+02
    1.35294e-04     8.76278e+02
    1.35684e-04     8.78669e+02
    1.36075e-04     8.81067e+02
    1.36467e-04     8.83471e+02
    1.36861e-04     8.85881e+02
    1.37255e-04     8.88298e+02
    1.37651e-04     8.90722e+02
    1.38048e-04     8.93152e+02
    1.38446e-04     8.95589e+02
    1.38845e-04     8.98032e+02
    1.39245e-04     9.00483e+02
    1.39647e-04     9.02939e+02
    1.40049e-04     9.05403e+02
    1.40453e-04     9.07873e+02
    1.40858e-04     9.10350e+02
    1.41264e-04     9.12834e+02
    1.41671e-04     9.15324e+02
    1.42080e-04     9.17821e+02
    1.42489e-04     9.20325e+02
    1.42900e-04     9.22836e+02
    1.43312e-04     9.25354e+02
    1.43725e-04     9.27878e+02
    1.44140e-04     9.30409e+02
    1.44555e-04     9.32948e+02
    1.44972e-04     9.35493e+02
    1.45390e-04     9.38045e+02
    1.45809e-04     9.40604e+02
    1.46229e-04     9.43170e+02
    1.46651e-04     9.45743e+02
    1.47074e-04     9.48323e+02
    1.47498e-04     9.50910e+02
    1.47923e-04     9.53504e+02
    1.48349e-04     9.56105e+02
    1.48777e-04     9.58713e+02
    1.49206e-04     9.61328e+02
    1.49636e-04     9.63951e+02
    1.50068e-04     9.66580e+02
    1.50500e-04     9.69217e+02
    1.50934e-04     9.71861e+02
    1.51369e-04     9.74512e+02
    1.51806e-04     9.77170e+02
    1.52243e-04     9.79835e+02
    1.52682e-04     9.82508e+02
    1.53122e-04     9.85188e+02
    1.53564e-04     9.87875e+02
    1.54007e-04     9.90570e+02
    1.54451e-04     9.93272e+02
    1.54896e-04     9.95981e+02
    1.55342e-04     9.98698e+02
    1.55790e-04     1.00142e+03
    1.56239e-04     1.00415e+03
    1.56690e-04     1.00689e+03
    1.57141e-04     1.00964e+03
    1.57595e-04     1.01239e+03
    1.58049e-04     1.01515e+03
    1.58505e-04     1.01792e+03
    1.58961e-04     1.02070e+03
    1.59420e-04     1.02348e+03
    1.59879e-04     1.02627e+03
    1.60340e-04     1.02907e+03
    1.60803e-04     1.03188e+03
    1.61266e-04     1.03469e+03
    1.61731e-04     1.03752e+03
    1.62197e-04     1.04034e+03
    1.62665e-04     1.04318e+03
    1.63134e-04     1.04603e+03
    1.63604e-04     1.04888e+03
    1.64076e-04     1.05174e+03
    1.64549e-04     1.05461e+03
    1.65023e-04     1.05748e+03
    1.65499e-04     1.06037e+03
    1.65976e-04     1.06326e+03
    1.66455e-04     1.06616e+03
    1.66935e-04     1.06907e+03
    1.67416e-04     1.07198e+03
    1.67899e-04     1.07491e+03
    1.68383e-04     1.07784e+03
    1.68868e-04     1.08078e+03
    1.69355e-04     1.08372e+03
    1.69843e-04     1.08668e+03
    1.70333e-04     1.08964e+03
    1.70824e-04     1.09261e+03
    1.71316e-04     1.09559e+03
    1.71810e-04     1.09858e+03
    1.72306e-04     1.10157e+03
    1.72802e-04     1.10458e+03
    1.73300e-04     1.10759e+03
    1.73800e-04     1.11061e+03
    1.74301e-04     1.11364e+03
    1.74804e-04     1.11667e+03
    1.75308e-04     1.11972e+03
    1.75813e-04     1.12277e+03
    1.76320e-04     1.12583e+03
    1.76828e-04     1.12890e+03
    1.77338e-04     1.13198e+03
    1.77849e-04     1.13507e+03
    1.78362e-04     1.13816e+03
    1.78876e-04     1.14127e+03
    1.79392e-04     1.14438e+03
    1.79909e-04     1.14750e+03
    1.80428e-04     1.15062e+03
    1.80948e-04     1.15376e+03
    1.81470e-04     1.15691e+03
    1.81993e-04     1.16006e+03
    1.82517e-04     1.16322e+03
    1.83044e-04     1.16639e+03
    1.83571e-04     1.16957e+03
    1.84101e-04     1.17276e+03
    1.84631e-04     1.17596e+03
    1.85164e-04     1.17917e+03
    1.85697e-04     1.18238e+03
    1.86233e-04     1.18560e+03
    1.86770e-04     1.18883e+03
    1.87308e-04     1.19208e+03
    1.87848e-04     1.19532e+03
    1.88390e-04     1.19858e+03
    1.88933e-04     1.20185e+03
    1.89478e-04     1.20513e+03
    1.90024e-04     1.20841e+03
    1.90572e-04     1.21170e+03
    1.91121e-04     1.21501e+03
    1.91672e-04     1.21832e+03
    1.92225e-04     1.22164e+03
    1.92779e-04     1.22497e+03
    1.93335e-04     1.22831e+03
    1.93892e-04     1.23166e+03
    1.94451e-04     1.23501e+03
    1.95012e-04     1.23838e+03
    1.95574e-04     1.24175e+03
    1.96138e-04     1.24514e+03
    1.96703e-04     1.24853e+03
    1.97270e-04     1.25193e+03
    1.97839e-04     1.25535e+03
    1.98409e-04     1.25877e+03
    1.98981e-04     1.26220e+03
    1.99555e-04     1.26564e+03
    2.00130e-04     1.26909e+03
    2.00707e-04     1.27254e+03
    2.01286e-04     1.27601e+03
    2.01866e-04     1.27949e+03
    2.02448e-04     1.28298e+03
