# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.78676e+02
    1.00288e-04     3.79710e+02
    1.00577e-04     3.80746e+02
    1.00867e-04     3.81786e+02
    1.01158e-04     3.82828e+02
    1.01450e-04     3.83874e+02
    1.01742e-04     3.84922e+02
    1.02036e-04     3.85973e+02
    1.02330e-04     3.87026e+02
    1.02625e-04     3.88083e+02
    1.02921e-04     3.89142e+02
    1.03217e-04     3.90205e+02
    1.03515e-04     3.91270e+02
    1.03813e-04     3.92338e+02
    1.04113e-04     3.93410e+02
    1.04413e-04     3.94484e+02
    1.04714e-04     3.95561e+02
    1.05016e-04     3.96641e+02
    1.05319e-04     3.97723e+02
    1.05622e-04     3.98809e+02
    1.05927e-04     3.99898e+02
    1.06232e-04     4.00990e+02
    1.06538e-04     4.02085e+02
    1.06845e-04     4.03182e+02
    1.07153e-04     4.04283e+02
    1.07462e-04     4.05387e+02
    1.07772e-04     4.06494e+02
    1.08083e-04     4.07603e+02
    1.08395e-04     4.08716e+02
    1.08707e-04     4.09832e+02
    1.09020e-04     4.10951e+02
    1.09335e-04     4.12073e+02
    1.09650e-04     4.13198e+02
    1.09966e-04     4.14326e+02
    1.10283e-04     4.15457e+02
    1.10601e-04     4.16591e+02
    1.10920e-04     4.17728e+02
    1.11240e-04     4.18869e+02
    1.11560e-04     4.20012e+02
    1.11882e-04     4.21159e+02
    1.12205e-04     4.22308e+02
    1.12528e-04     4.23461e+02
    1.12852e-04     4.24617e+02
    1.13178e-04     4.25777e+02
    1.13504e-04     4.26939e+02
    1.13831e-04     4.28104e+02
    1.14159e-04     4.29273e+02
    1.14489e-04     4.30445e+02
    1.14819e-04     4.31620e+02
    1.15150e-04     4.32798e+02
    1.15482e-04     4.33980e+02
    1.15815e-04     4.35164e+02
    1.16148e-04     4.36352e+02
    1.16483e-04     4.37544e+02
    1.16819e-04     4.38738e+02
    1.17156e-04     4.39936e+02
    1.17494e-04     4.41137e+02
    1.17832e-04     4.42341e+02
    1.18172e-04     4.43548e+02
    1.18513e-04     4.44759e+02
    1.18854e-04     4.45973e+02
    1.19197e-04     4.47191e+02
    1.19541e-04     4.48411e+02
    1.19885e-04     4.49635e+02
    1.20231e-04     4.50863e+02
    1.20578e-04     4.52093e+02
    1.20925e-04     4.53328e+02
    1.21274e-04     4.54565e+02
    1.21624e-04     4.55806e+02
    1.21974e-04     4.57050e+02
    1.22326e-04     4.58298e+02
    1.22679e-04     4.59549e+02
    1.23032e-04     4.60803e+02
    1.23387e-04     4.62061e+02
    1.23743e-04     4.63322e+02
    1.24099e-04     4.64587e+02
    1.24457e-04     4.65855e+02
    1.24816e-04     4.67127e+02
    1.25176e-04     4.68402e+02
    1.25537e-04     4.69680e+02
    1.25899e-04     4.70962e+02
    1.26262e-04     4.72248e+02
    1.26626e-04     4.73537e+02
    1.26991e-04     4.74829e+02
    1.27357e-04     4.76125e+02
    1.27724e-04     4.77425e+02
    1.28092e-04     4.78728e+02
    1.28461e-04     4.80035e+02
    1.28832e-04     4.81345e+02
    1.29203e-04     4.82659e+02
    1.29576e-04     4.83976e+02
    1.29949e-04     4.85297e+02
    1.30324e-04     4.86622e+02
    1.30700e-04     4.87950e+02
    1.31076e-04     4.89282e+02
    1.31454e-04     4.90617e+02
    1.31833e-04     4.91956e+02
    1.32213e-04     4.93299e+02
    1.32595e-04     4.94646e+02
    1.32977e-04     4.95996e+02
    1.33360e-04     4.97349e+02
    1.33745e-04     4.98707e+02
    1.34130e-04     5.00068e+02
    1.34517e-04     5.01433e+02
    1.34905e-04     5.02801e+02
    1.35294e-04     5.04174e+02
    1.35684e-04     5.05550e+02
    1.36075e-04     5.06929e+02
    1.36467e-04     5.08313e+02
    1.36861e-04     5.09700e+02
    1.37255e-04     5.11091e+02
    1.37651e-04     5.12486e+02
    1.38048e-04     5.13885e+02
    1.38446e-04     5.15287e+02
    1.38845e-04     5.16694e+02
    1.39245e-04     5.18104e+02
    1.39647e-04     5.19518e+02
    1.40049e-04     5.20936e+02
    1.40453e-04     5.22357e+02
    1.40858e-04     5.23783e+02
    1.41264e-04     5.25212e+02
    1.41671e-04     5.26646e+02
    1.42080e-04     5.28083e+02
    1.42489e-04     5.29524e+02
    1.42900e-04     5.30969e+02
    1.43312e-04     5.32418e+02
    1.43725e-04     5.33871e+02
    1.44140e-04     5.35328e+02
    1.44555e-04     5.36789e+02
    1.44972e-04     5.38254e+02
    1.45390e-04     5.39723e+02
    1.45809e-04     5.41196e+02
    1.46229e-04     5.42673e+02
    1.46651e-04     5.44154e+02
    1.47074e-04     5.45639e+02
    1.47498e-04     5.47128e+02
    1.47923e-04     5.48621e+02
    1.48349e-04     5.50118e+02
    1.48777e-04     5.51619e+02
    1.49206e-04     5.53124e+02
    1.49636e-04     5.54634e+02
    1.50068e-04     5.56147e+02
    1.50500e-04     5.57665e+02
    1.50934e-04     5.59186e+02
    1.51369e-04     5.60712e+02
    1.51806e-04     5.62242e+02
    1.52243e-04     5.63777e+02
    1.52682e-04     5.65315e+02
    1.53122e-04     5.66858e+02
    1.53564e-04     5.68404e+02
    1.54007e-04     5.69955e+02
    1.54451e-04     5.71511e+02
    1.54896e-04     5.73070e+02
    1.55342e-04     5.74634e+02
    1.55790e-04     5.76202e+02
    1.56239e-04     5.77774e+02
    1.56690e-04     5.79350e+02
    1.57141e-04     5.80931e+02
    1.57595e-04     5.82516e+02
    1.58049e-04     5.84106e+02
    1.58505e-04     5.85699e+02
    1.58961e-04     5.87297e+02
    1.59420e-04     5.88900e+02
    1.59879e-04     5.90507e+02
    1.60340e-04     5.92118e+02
    1.60803e-04     5.93733e+02
    1.61266e-04     5.95353e+02
    1.61731e-04     5.96978e+02
    1.62197e-04     5.98606e+02
    1.62665e-04     6.00240e+02
    1.63134e-04     6.01877e+02
    1.63604e-04     6.03519e+02
    1.64076e-04     6.05166e+02
    1.64549e-04     6.06817e+02
    1.65023e-04     6.08473e+02
    1.65499e-04     6.10133e+02
    1.65976e-04     6.11797e+02
    1.66455e-04     6.13466e+02
    1.66935e-04     6.15140e+02
    1.67416e-04     6.16818e+02
    1.67899e-04     6.18501e+02
    1.68383e-04     6.20188e+02
    1.68868e-04     6.21880e+02
    1.69355e-04     6.23577e+02
    1.69843e-04     6.25278e+02
    1.70333e-04     6.26984e+02
    1.70824e-04     6.28694e+02
    1.71316e-04     6.30409e+02
    1.71810e-04     6.32129e+02
    1.72306e-04     6.33854e+02
    1.72802e-04     6.35583e+02
    1.73300e-04     6.37317e+02
    1.73800e-04     6.39055e+02
    1.74301e-04     6.40798e+02
    1.74804e-04     6.42546e+02
    1.75308e-04     6.44299e+02
    1.75813e-04     6.46057e+02
    1.76320e-04     6.47819e+02
    1.76828e-04     6.49586e+02
    1.77338e-04     6.51358e+02
    1.77849e-04     6.53135e+02
    1.78362e-04     6.54917e+02
    1.78876e-04     6.56703e+02
    1.79392e-04     6.58494e+02
    1.79909e-04     6.60290e+02
    1.80428e-04     6.62092e+02
    1.80948e-04     6.63897e+02
    1.81470e-04     6.65708e+02
    1.81993e-04     6.67524e+02
    1.82517e-04     6.69345e+02
    1.83044e-04     6.71171e+02
    1.83571e-04     6.73001e+02
    1.84101e-04     6.74837e+02
    1.84631e-04     6.76677e+02
    1.85164e-04     6.78523e+02
    1.85697e-04     6.80374e+02
    1.86233e-04     6.82229e+02
    1.86770e-04     6.84090e+02
    1.87308e-04     6.85956e+02
    1.87848e-04     6.87827e+02
    1.88390e-04     6.89703e+02
    1.88933e-04     6.91584e+02
    1.89478e-04     6.93470e+02
    1.90024e-04     6.95361e+02
    1.90572e-04     6.97257e+02
    1.91121e-04     6.99159e+02
    1.91672e-04     7.01066e+02
    1.92225e-04     7.02978e+02
    1.92779e-04     7.04895e+02
    1.93335e-04     7.06817e+02
    1.93892e-04     7.08745e+02
    1.94451e-04     7.10678e+02
    1.95012e-04     7.12616e+02
    1.95574e-04     7.14559e+02
    1.96138e-04     7.16508e+02
    1.96703e-04     7.18461e+02
    1.97270e-04     7.20421e+02
    1.97839e-04     7.22385e+02
    1.98409e-04     7.24355e+02
    1.98981e-04     7.26330e+02
    1.99555e-04     7.28311e+02
    2.00130e-04     7.30297e+02
    2.00707e-04     7.32288e+02
    2.01286e-04     7.34285e+02
    2.01866e-04     7.36287e+02
    2.02448e-04     7.38295e+02
    2.03032e-04     7.40308e+02
    2.03617e-04     7.42326e+02
    2.04204e-04     7.44350e+02
    2.04793e-04     7.46380e+02
    2.05383e-04     7.48415e+02
    2.05975e-04     7.50456e+02
    2.06569e-04     7.52502e+02
    2.07165e-04     7.54554e+02
    2.07762e-04     7.56611e+02
    2.08361e-04     7.58674e+02
    2.08962e-04     7.60742e+02
    2.09564e-04     7.62816e+02
    2.10168e-04     7.64896e+02
    2.10774e-04     7.66981e+02
    2.11382e-04     7.69072e+02
    2.11991e-04     7.71169e+02
    2.12602e-04     7.73271e+02
    2.13215e-04     7.75379e+02
    2.13830e-04     7.77493e+02
    2.14447e-04     7.79613e+02
    2.15065e-04     7.81738e+02
    2.15685e-04     7.83869e+02
    2.16307e-04     7.86006e+02
    2.16930e-04     7.88149e+02
    2.17556e-04     7.90297e+02
    2.18183e-04     7.92452e+02
    2.18812e-04     7.94612e+02
    2.19443e-04     7.96778e+02
    2.20075e-04     7.98950e+02
    2.20710e-04     8.01128e+02
    2.21346e-04     8.03311e+02
    2.21984e-04     8.05501e+02
    2.22624e-04     8.07697e+02
    2.23266e-04     8.09898e+02
    2.23910e-04     8.12106e+02
    2.24555e-04     8.14319e+02
    2.25203e-04     8.16539e+02
    2.25852e-04     8.18764e+02
    2.26503e-04     8.20996e+02
    2.27156e-04     8.23234e+02
    2.27811e-04     8.25477e+02
    2.28468e-04     8.27727e+02
    2.29126e-04     8.29983e+02
    2.29787e-04     8.32245e+02
    2.30449e-04     8.34513e+02
