# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     5.22276e+02
    1.00288e-04     5.23702e+02
    1.00577e-04     5.25132e+02
    1.00867e-04     5.26566e+02
    1.01158e-04     5.28003e+02
    1.01450e-04     5.29445e+02
    1.01742e-04     5.30890e+02
    1.02036e-04     5.32339e+02
    1.02330e-04     5.33793e+02
    1.02625e-04     5.35250e+02
    1.02921e-04     5.36711e+02
    1.03217e-04     5.38176e+02
    1.03515e-04     5.39645e+02
    1.03813e-04     5.41119e+02
    1.04113e-04     5.42596e+02
    1.04413e-04     5.44077e+02
    1.04714e-04     5.45562e+02
    1.05016e-04     5.47052e+02
    1.05319e-04     5.48545e+02
    1.05622e-04     5.50043e+02
    1.05927e-04     5.51544e+02
    1.06232e-04     5.53050e+02
    1.06538e-04     5.54560e+02
    1.06845e-04     5.56074e+02
    1.07153e-04     5.57592e+02
    1.07462e-04     5.59114e+02
    1.07772e-04     5.60640e+02
    1.08083e-04     5.62170e+02
    1.08395e-04     5.63705e+02
    1.08707e-04     5.65244e+02
    1.09020e-04     5.66787e+02
    1.09335e-04     5.68334e+02
    1.09650e-04     5.69886e+02
    1.09966e-04     5.71441e+02
    1.10283e-04     5.73001e+02
    1.10601e-04     5.74565e+02
    1.10920e-04     5.76134e+02
    1.11240e-04     5.77706e+02
    1.11560e-04     5.79283e+02
    1.11882e-04     5.80865e+02
    1.12205e-04     5.82450e+02
    1.12528e-04     5.84040e+02
    1.12852e-04     5.85634e+02
    1.13178e-04     5.87233e+02
    1.13504e-04     5.88836e+02
    1.13831e-04     5.90443e+02
    1.14159e-04     5.92055e+02
    1.14489e-04     5.93671e+02
    1.14819e-04     5.95292e+02
    1.15150e-04     5.96916e+02
    1.15482e-04     5.98546e+02
    1.15815e-04     6.00180e+02
    1.16148e-04     6.01818e+02
    1.16483e-04     6.03461e+02
    1.16819e-04     6.05108e+02
    1.17156e-04     6.06759e+02
    1.17494e-04     6.08416e+02
    1.17832e-04     6.10076e+02
    1.18172e-04     6.11742e+02
    1.18513e-04     6.13411e+02
    1.18854e-04     6.15086e+02
    1.19197e-04     6.16764e+02
    1.19541e-04     6.18448e+02
    1.19885e-04     6.20136e+02
    1.20231e-04     6.21829e+02
    1.20578e-04     6.23526e+02
    1.20925e-04     6.25228e+02
    1.21274e-04     6.26934e+02
    1.21624e-04     6.28645e+02
    1.21974e-04     6.30361e+02
    1.22326e-04     6.32082e+02
    1.22679e-04     6.33807e+02
    1.23032e-04     6.35537e+02
    1.23387e-04     6.37271e+02
    1.23743e-04     6.39011e+02
    1.24099e-04     6.40755e+02
    1.24457e-04     6.42504e+02
    1.24816e-04     6.44257e+02
    1.25176e-04     6.46016e+02
    1.25537e-04     6.47779e+02
    1.25899e-04     6.49547e+02
    1.26262e-04     6.51319e+02
    1.26626e-04     6.53097e+02
    1.26991e-04     6.54880e+02
    1.27357e-04     6.56667e+02
    1.27724e-04     6.58459e+02
    1.28092e-04     6.60256e+02
    1.28461e-04     6.62058e+02
    1.28832e-04     6.63865e+02
    1.29203e-04     6.65677e+02
    1.29576e-04     6.67493e+02
    1.29949e-04     6.69315e+02
    1.30324e-04     6.71142e+02
    1.30700e-04     6.72973e+02
    1.31076e-04     6.74810e+02
    1.31454e-04     6.76652e+02
    1.31833e-04     6.78498e+02
    1.32213e-04     6.80350e+02
    1.32595e-04     6.82207e+02
    1.32977e-04     6.84068e+02
    1.33360e-04     6.85935e+02
    1.33745e-04     6.87807e+02
    1.34130e-04     6.89684e+02
    1.34517e-04     6.91566e+02
    1.34905e-04     6.93454e+02
    1.35294e-04     6.95346e+02
    1.35684e-04     6.97243e+02
    1.36075e-04     6.99146e+02
    1.36467e-04     7.01054e+02
    1.36861e-04     7.02967e+02
    1.37255e-04     7.04886e+02
    1.37651e-04     7.06809e+02
    1.38048e-04     7.08738e+02
    1.38446e-04     7.10672e+02
    1.38845e-04     7.12611e+02
    1.39245e-04     7.14556e+02
    1.39647e-04     7.16506e+02
    1.40049e-04     7.18461e+02
    1.40453e-04     7.20421e+02
    1.40858e-04     7.22387e+02
    1.41264e-04     7.24358e+02
    1.41671e-04     7.26335e+02
    1.42080e-04     7.28317e+02
    1.42489e-04     7.30304e+02
    1.42900e-04     7.32297e+02
    1.43312e-04     7.34295e+02
    1.43725e-04     7.36299e+02
    1.44140e-04     7.38308e+02
    1.44555e-04     7.40322e+02
    1.44972e-04     7.42342e+02
    1.45390e-04     7.44368e+02
    1.45809e-04     7.46399e+02
    1.46229e-04     7.48436e+02
    1.46651e-04     7.50478e+02
    1.47074e-04     7.52525e+02
    1.47498e-04     7.54579e+02
    1.47923e-04     7.56637e+02
    1.48349e-04     7.58702e+02
    1.48777e-04     7.60772e+02
    1.49206e-04     7.62848e+02
    1.49636e-04     7.64929e+02
    1.50068e-04     7.67016e+02
    1.50500e-04     7.69109e+02
    1.50934e-04     7.71207e+02
    1.51369e-04     7.73311e+02
    1.51806e-04     7.75421e+02
    1.52243e-04     7.77537e+02
    1.52682e-04     7.79658e+02
    1.53122e-04     7.81785e+02
    1.53564e-04     7.83918e+02
    1.54007e-04     7.86057e+02
    1.54451e-04     7.88201e+02
    1.54896e-04     7.90352e+02
    1.55342e-04     7.92508e+02
    1.55790e-04     7.94670e+02
    1.56239e-04     7.96838e+02
    1.56690e-04     7.99012e+02
    1.57141e-04     8.01191e+02
    1.57595e-04     8.03377e+02
    1.58049e-04     8.05569e+02
    1.58505e-04     8.07766e+02
    1.58961e-04     8.09970e+02
    1.59420e-04     8.12180e+02
    1.59879e-04     8.14395e+02
    1.60340e-04     8.16617e+02
    1.60803e-04     8.18844e+02
    1.61266e-04     8.21078e+02
    1.61731e-04     8.23318e+02
    1.62197e-04     8.25564e+02
    1.62665e-04     8.27816e+02
    1.63134e-04     8.30074e+02
    1.63604e-04     8.32338e+02
    1.64076e-04     8.34609e+02
    1.64549e-04     8.36886e+02
    1.65023e-04     8.39168e+02
    1.65499e-04     8.41457e+02
    1.65976e-04     8.43753e+02
    1.66455e-04     8.46054e+02
    1.66935e-04     8.48362e+02
    1.67416e-04     8.50676e+02
    1.67899e-04     8.52996e+02
    1.68383e-04     8.55323e+02
    1.68868e-04     8.57656e+02
    1.69355e-04     8.59995e+02
    1.69843e-04     8.62341e+02
    1.70333e-04     8.64693e+02
    1.70824e-04     8.67051e+02
    1.71316e-04     8.69416e+02
    1.71810e-04     8.71788e+02
    1.72306e-04     8.74165e+02
    1.72802e-04     8.76549e+02
    1.73300e-04     8.78940e+02
    1.73800e-04     8.81337e+02
    1.74301e-04     8.83741e+02
    1.74804e-04     8.86151e+02
    1.75308e-04     8.88568e+02
    1.75813e-04     8.90991e+02
    1.76320e-04     8.93421e+02
    1.76828e-04     8.95858e+02
    1.77338e-04     8.98301e+02
    1.77849e-04     9.00751e+02
    1.78362e-04     9.03207e+02
    1.78876e-04     9.05671e+02
    1.79392e-04     9.08141e+02
    1.79909e-04     9.10617e+02
    1.80428e-04     9.13100e+02
    1.80948e-04     9.15590e+02
    1.81470e-04     9.18087e+02
    1.81993e-04     9.20591e+02
    1.82517e-04     9.23101e+02
    1.83044e-04     9.25618e+02
    1.83571e-04     9.28143e+02
    1.84101e-04     9.30674e+02
    1.84631e-04     9.33211e+02
    1.85164e-04     9.35756e+02
    1.85697e-04     9.38308e+02
    1.86233e-04     9.40866e+02
    1.86770e-04     9.43432e+02
    1.87308e-04     9.46004e+02
    1.87848e-04     9.48584e+02
    1.88390e-04     9.51170e+02
    1.88933e-04     9.53764e+02
    1.89478e-04     9.56364e+02
    1.90024e-04     9.58972e+02
    1.90572e-04     9.61586e+02
    1.91121e-04     9.64208e+02
    1.91672e-04     9.66837e+02
    1.92225e-04     9.69473e+02
    1.92779e-04     9.72116e+02
    1.93335e-04     9.74767e+02
    1.93892e-04     9.77424e+02
    1.94451e-04     9.80089e+02
    1.95012e-04     9.82761e+02
    1.95574e-04     9.85441e+02
    1.96138e-04     9.88127e+02
    1.96703e-04     9.90821e+02
    1.97270e-04     9.93522e+02
    1.97839e-04     9.96231e+02
    1.98409e-04     9.98947e+02
    1.98981e-04     1.00167e+03
    1.99555e-04     1.00440e+03
    2.00130e-04     1.00714e+03
    2.00707e-04     1.00988e+03
    2.01286e-04     1.01264e+03
    2.01866e-04     1.01540e+03
    2.02448e-04     1.01817e+03
    2.03032e-04     1.02094e+03
    2.03617e-04     1.02372e+03
    2.04204e-04     1.02651e+03
    2.04793e-04     1.02931e+03
    2.05383e-04     1.03212e+03
    2.05975e-04     1.03493e+03
    2.06569e-04     1.03775e+03
    2.07165e-04     1.04058e+03
    2.07762e-04     1.04342e+03
    2.08361e-04     1.04626e+03
    2.08962e-04     1.04911e+03
    2.09564e-04     1.05197e+03
    2.10168e-04     1.05484e+03
    2.10774e-04     1.05771e+03
    2.11382e-04     1.06060e+03
    2.11991e-04     1.06349e+03
    2.12602e-04     1.06639e+03
    2.13215e-04     1.06929e+03
    2.13830e-04     1.07221e+03
    2.14447e-04     1.07513e+03
    2.15065e-04     1.07806e+03
    2.15685e-04     1.08100e+03
    2.16307e-04     1.08394e+03
    2.16930e-04     1.08690e+03
    2.17556e-04     1.08986e+03
    2.18183e-04     1.09283e+03
    2.18812e-04     1.09581e+03
    2.19443e-04     1.09879e+03
    2.20075e-04     1.10179e+03
    2.20710e-04     1.10479e+03
    2.21346e-04     1.10780e+03
    2.21984e-04     1.11082e+03
    2.22624e-04     1.11385e+03
    2.23266e-04     1.11688e+03
    2.23910e-04     1.11992e+03
    2.24555e-04     1.12297e+03
    2.25203e-04     1.12603e+03
    2.25852e-04     1.12910e+03
    2.26503e-04     1.13218e+03
    2.27156e-04     1.13526e+03
    2.27811e-04     1.13836e+03
    2.28468e-04     1.14146e+03
    2.29126e-04     1.14457e+03
    2.29787e-04     1.14769e+03
    2.30449e-04     1.15081e+03
    2.31114e-04     1.15395e+03
    2.31780e-04     1.15709e+03
    2.32448e-04     1.16024e+03
    2.33118e-04     1.16340e+03
    2.33790e-04     1.16657e+03
    2.34465e-04     1.16975e+03
    2.35140e-04     1.17294e+03
    2.35818e-04     1.17613e+03
    2.36498e-04     1.17934e+03
    2.37180e-04     1.18255e+03
    2.37864e-04     1.18577e+03
    2.38550e-04     1.18900e+03
    2.39237e-04     1.19224e+03
    2.39927e-04     1.19549e+03
    2.40619e-04     1.19874e+03
    2.41312e-04     1.20201e+03
    2.42008e-04     1.20528e+03
    2.42706e-04     1.20857e+03
    2.43406e-04     1.21186e+03
    2.44107e-04     1.21516e+03
    2.44811e-04     1.21847e+03
    2.45517e-04     1.22179e+03
    2.46225e-04     1.22511e+03
    2.46935e-04     1.22845e+03
    2.47646e-04     1.23179e+03
    2.48360e-04     1.23515e+03
    2.49076e-04     1.23851e+03
    2.49794e-04     1.24189e+03
    2.50515e-04     1.24527e+03
    2.51237e-04     1.24866e+03
    2.51961e-04     1.25206e+03
    2.52688e-04     1.25547e+03
    2.53416e-04     1.25889e+03
    2.54147e-04     1.26231e+03
    2.54879e-04     1.26575e+03
    2.55614e-04     1.26920e+03
    2.56351e-04     1.27265e+03
    2.57090e-04     1.27612e+03
    2.57831e-04     1.27959e+03
    2.58575e-04     1.28308e+03
    2.59320e-04     1.28657e+03
    2.60068e-04     1.29007e+03
    2.60818e-04     1.29358e+03
    2.61569e-04     1.29711e+03
    2.62324e-04     1.30064e+03
    2.63080e-04     1.30418e+03
    2.63838e-04     1.30773e+03
    2.64599e-04     1.31129e+03
    2.65362e-04     1.31486e+03
    2.66127e-04     1.31844e+03
    2.66894e-04     1.32203e+03
    2.67663e-04     1.32562e+03
    2.68435e-04     1.32923e+03
    2.69209e-04     1.33285e+03
    2.69985e-04     1.33648e+03
    2.70764e-04     1.34012e+03
    2.71544e-04     1.34376e+03
    2.72327e-04     1.34742e+03
    2.73112e-04     1.35109e+03
    2.73899e-04     1.35477e+03
    2.74689e-04     1.35845e+03
    2.75481e-04     1.36215e+03
    2.76275e-04     1.36586e+03
    2.77072e-04     1.36957e+03
    2.77871e-04     1.37330e+03
    2.78672e-04     1.37704e+03
    2.79475e-04     1.38078e+03
    2.80281e-04     1.38454e+03
    2.81089e-04     1.38831e+03
    2.81899e-04     1.39209e+03
    2.82712e-04     1.39588e+03
    2.83527e-04     1.39967e+03
    2.84344e-04     1.40348e+03
    2.85164e-04     1.40730e+03
    2.85986e-04     1.41113e+03
    2.86811e-04     1.41497e+03
    2.87638e-04     1.41882e+03
    2.88467e-04     1.42268e+03
    2.89298e-04     1.42655e+03
    2.90132e-04     1.43043e+03
    2.90969e-04     1.43432e+03
    2.91808e-04     1.43822e+03
    2.92649e-04     1.44213e+03
    2.93493e-04     1.44606e+03
    2.94339e-04     1.44999e+03
    2.95187e-04     1.45393e+03
    2.96039e-04     1.45789e+03
    2.96892e-04     1.46185e+03
    2.97748e-04     1.46583e+03
    2.98606e-04     1.46982e+03
    2.99467e-04     1.47382e+03
    3.00331e-04     1.47782e+03
    3.01196e-04     1.48184e+03
    3.02065e-04     1.48587e+03
    3.02936e-04     1.48991e+03
    3.03809e-04     1.49397e+03
    3.04685e-04     1.49803e+03
    3.05563e-04     1.50210e+03
    3.06444e-04     1.50619e+03
    3.07328e-04     1.51028e+03
    3.08214e-04     1.51439e+03
    3.09102e-04     1.51851e+03
    3.09993e-04     1.52263e+03
    3.10887e-04     1.52677e+03
    3.11783e-04     1.53093e+03
    3.12682e-04     1.53509e+03
    3.13584e-04     1.53926e+03
    3.14488e-04     1.54345e+03
    3.15394e-04     1.54764e+03
    3.16304e-04     1.55185e+03
    3.17216e-04     1.55607e+03
    3.18130e-04     1.56030e+03
    3.19047e-04     1.56454e+03
    3.19967e-04     1.56879e+03
    3.20889e-04     1.57306e+03
    3.21815e-04     1.57733e+03
    3.22742e-04     1.58162e+03
    3.23673e-04     1.58592e+03
    3.24606e-04     1.59023e+03
    3.25542e-04     1.59455e+03
    3.26480e-04     1.59888e+03
    3.27422e-04     1.60323e+03
    3.28366e-04     1.60758e+03
    3.29312e-04     1.61195e+03
    3.30262e-04     1.61633e+03
    3.31214e-04     1.62072e+03
    3.32169e-04     1.62513e+03
    3.33126e-04     1.62954e+03
    3.34087e-04     1.63397e+03
    3.35050e-04     1.63841e+03
    3.36016e-04     1.64286e+03
    3.36984e-04     1.64733e+03
    3.37956e-04     1.65180e+03
    3.38930e-04     1.65629e+03
    3.39907e-04     1.66079e+03
    3.40887e-04     1.66530e+03
    3.41870e-04     1.66982e+03
    3.42856e-04     1.67436e+03
    3.43844e-04     1.67891e+03
    3.44836e-04     1.68347e+03
    3.45830e-04     1.68804e+03
    3.46827e-04     1.69262e+03
    3.47827e-04     1.69722e+03
    3.48829e-04     1.70183e+03
    3.49835e-04     1.70645e+03
    3.50844e-04     1.71109e+03
    3.51855e-04     1.71573e+03
    3.52869e-04     1.72039e+03
    3.53887e-04     1.72506e+03
    3.54907e-04     1.72975e+03
    3.55930e-04     1.73444e+03
    3.56956e-04     1.73915e+03
    3.57985e-04     1.74388e+03
    3.59018e-04     1.74861e+03
    3.60053e-04     1.75336e+03
    3.61091e-04     1.75812e+03
    3.62132e-04     1.76289e+03
    3.63176e-04     1.76768e+03
    3.64223e-04     1.77247e+03
    3.65273e-04     1.77729e+03
    3.66326e-04     1.78211e+03
    3.67382e-04     1.78695e+03
    3.68441e-04     1.79180e+03
    3.69503e-04     1.79666e+03
    3.70569e-04     1.80154e+03
    3.71637e-04     1.80643e+03
    3.72708e-04     1.81133e+03
    3.73783e-04     1.81624e+03
    3.74860e-04     1.82117e+03
    3.75941e-04     1.82611e+03
    3.77025e-04     1.83107e+03
    3.78112e-04     1.83604e+03
    3.79202e-04     1.84102e+03
    3.80295e-04     1.84601e+03
    3.81392e-04     1.85102e+03
    3.82491e-04     1.85604e+03
    3.83594e-04     1.86108e+03
    3.84700e-04     1.86613e+03
    3.85809e-04     1.87119e+03
    3.86921e-04     1.87626e+03
    3.88037e-04     1.88135e+03
    3.89155e-04     1.88646e+03
    3.90277e-04     1.89157e+03
    3.91402e-04     1.89670e+03
    3.92531e-04     1.90185e+03
    3.93662e-04     1.90700e+03
    3.94797e-04     1.91217e+03
    3.95936e-04     1.91736e+03
    3.97077e-04     1.92256e+03
    3.98222e-04     1.92777e+03
    3.99370e-04     1.93300e+03
    4.00521e-04     1.93824e+03
    4.01676e-04     1.94349e+03
    4.02834e-04     1.94876e+03
    4.03995e-04     1.95405e+03
    4.05160e-04     1.95934e+03
    4.06328e-04     1.96465e+03
    4.07500e-04     1.96998e+03
    4.08674e-04     1.97532e+03
    4.09853e-04     1.98067e+03
    4.11034e-04     1.98604e+03
    4.12219e-04     1.99142e+03
    4.13408e-04     1.99682e+03
    4.14599e-04     2.00223e+03
    4.15795e-04     2.00766e+03
    4.16993e-04     2.01310e+03
    4.18196e-04     2.01855e+03
    4.19401e-04     2.02402e+03
    4.20610e-04     2.02951e+03
    4.21823e-04     2.03500e+03
    4.23039e-04     2.04052e+03
    4.24259e-04     2.04604e+03
    4.25482e-04     2.05159e+03
    4.26708e-04     2.05714e+03
    4.27939e-04     2.06272e+03
    4.29172e-04     2.06830e+03
    4.30410e-04     2.07391e+03
    4.31651e-04     2.07952e+03
    4.32895e-04     2.08515e+03
    4.34143e-04     2.09080e+03
    4.35395e-04     2.09646e+03
    4.36650e-04     2.10214e+03
    4.37909e-04     2.10783e+03
    4.39171e-04     2.11354e+03
    4.40437e-04     2.11926e+03
    4.41707e-04     2.12500e+03
    4.42981e-04     2.13075e+03
    4.44258e-04     2.13652e+03
    4.45538e-04     2.14230e+03
    4.46823e-04     2.14810e+03
