# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     7.04342e+02
    1.00288e-04     7.06265e+02
    1.00577e-04     7.08193e+02
    1.00867e-04     7.10126e+02
    1.01158e-04     7.12065e+02
    1.01450e-04     7.14009e+02
    1.01742e-04     7.15958e+02
    1.02036e-04     7.17912e+02
    1.02330e-04     7.19872e+02
    1.02625e-04     7.21837e+02
    1.02921e-04     7.23807e+02
    1.03217e-04     7.25783e+02
    1.03515e-04     7.27764e+02
    1.03813e-04     7.29751e+02
    1.04113e-04     7.31743e+02
    1.04413e-04     7.33740e+02
    1.04714e-04     7.35743e+02
    1.05016e-04     7.37751e+02
    1.05319e-04     7.39765e+02
    1.05622e-04     7.41784e+02
    1.05927e-04     7.43809e+02
    1.06232e-04     7.45840e+02
    1.06538e-04     7.47875e+02
    1.06845e-04     7.49917e+02
    1.07153e-04     7.51964e+02
    1.07462e-04     7.54016e+02
    1.07772e-04     7.56074e+02
    1.08083e-04     7.58138e+02
    1.08395e-04     7.60208e+02
    1.08707e-04     7.62283e+02
    1.09020e-04     7.64363e+02
    1.09335e-04     7.66450e+02
    1.09650e-04     7.68542e+02
    1.09966e-04     7.70639e+02
    1.10283e-04     7.72743e+02
    1.10601e-04     7.74852e+02
    1.10920e-04     7.76967e+02
    1.11240e-04     7.79087e+02
    1.11560e-04     7.81214e+02
    1.11882e-04     7.83346e+02
    1.12205e-04     7.85484e+02
    1.12528e-04     7.87628e+02
    1.12852e-04     7.89778e+02
    1.13178e-04     7.91934e+02
    1.13504e-04     7.94095e+02
    1.13831e-04     7.96262e+02
    1.14159e-04     7.98436e+02
    1.14489e-04     8.00615e+02
    1.14819e-04     8.02800e+02
    1.15150e-04     8.04991e+02
    1.15482e-04     8.07188e+02
    1.15815e-04     8.09391e+02
    1.16148e-04     8.11600e+02
    1.16483e-04     8.13815e+02
    1.16819e-04     8.16036e+02
    1.17156e-04     8.18263e+02
    1.17494e-04     8.20497e+02
    1.17832e-04     8.22736e+02
    1.18172e-04     8.24981e+02
    1.18513e-04     8.27233e+02
    1.18854e-04     8.29490e+02
    1.19197e-04     8.31754e+02
    1.19541e-04     8.34024e+02
    1.19885e-04     8.36300e+02
    1.20231e-04     8.38583e+02
    1.20578e-04     8.40871e+02
    1.20925e-04     8.43166e+02
    1.21274e-04     8.45467e+02
    1.21624e-04     8.47775e+02
    1.21974e-04     8.50088e+02
    1.22326e-04     8.52408e+02
    1.22679e-04     8.54734e+02
    1.23032e-04     8.57067e+02
    1.23387e-04     8.59406e+02
    1.23743e-04     8.61751e+02
    1.24099e-04     8.64103e+02
    1.24457e-04     8.66461e+02
    1.24816e-04     8.68825e+02
    1.25176e-04     8.71196e+02
    1.25537e-04     8.73574e+02
    1.25899e-04     8.75958e+02
    1.26262e-04     8.78348e+02
    1.26626e-04     8.80745e+02
    1.26991e-04     8.83148e+02
    1.27357e-04     8.85558e+02
    1.27724e-04     8.87975e+02
    1.28092e-04     8.90398e+02
    1.28461e-04     8.92828e+02
    1.28832e-04     8.95264e+02
    1.29203e-04     8.97707e+02
    1.29576e-04     9.00156e+02
    1.29949e-04     9.02613e+02
    1.30324e-04     9.05076e+02
    1.30700e-04     9.07545e+02
    1.31076e-04     9.10022e+02
    1.31454e-04     9.12505e+02
    1.31833e-04     9.14995e+02
    1.32213e-04     9.17491e+02
    1.32595e-04     9.19995e+02
    1.32977e-04     9.22505e+02
    1.33360e-04     9.25022e+02
    1.33745e-04     9.27546e+02
    1.34130e-04     9.30077e+02
    1.34517e-04     9.32615e+02
    1.34905e-04     9.35160e+02
    1.35294e-04     9.37711e+02
    1.35684e-04     9.40270e+02
    1.36075e-04     9.42835e+02
    1.36467e-04     9.45408e+02
    1.36861e-04     9.47987e+02
    1.37255e-04     9.50574e+02
