# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.00627e+02
    1.00288e-04     4.01720e+02
    1.00577e-04     4.02817e+02
    1.00867e-04     4.03917e+02
    1.01158e-04     4.05020e+02
    1.01450e-04     4.06125e+02
    1.01742e-04     4.07234e+02
    1.02036e-04     4.08346e+02
    1.02330e-04     4.09461e+02
    1.02625e-04     4.10579e+02
    1.02921e-04     4.11700e+02
    1.03217e-04     4.12824e+02
    1.03515e-04     4.13951e+02
    1.03813e-04     4.15081e+02
    1.04113e-04     4.16214e+02
    1.04413e-04     4.17351e+02
    1.04714e-04     4.18490e+02
    1.05016e-04     4.19633e+02
    1.05319e-04     4.20778e+02
    1.05622e-04     4.21927e+02
    1.05927e-04     4.23079e+02
    1.06232e-04     4.24234e+02
    1.06538e-04     4.25392e+02
    1.06845e-04     4.26554e+02
    1.07153e-04     4.27718e+02
    1.07462e-04     4.28886e+02
    1.07772e-04     4.30057e+02
    1.08083e-04     4.31231e+02
    1.08395e-04     4.32408e+02
    1.08707e-04     4.33589e+02
    1.09020e-04     4.34772e+02
    1.09335e-04     4.35959e+02
    1.09650e-04     4.37149e+02
    1.09966e-04     4.38343e+02
    1.10283e-04     4.39539e+02
    1.10601e-04     4.40739e+02
    1.10920e-04     4.41943e+02
    1.11240e-04     4.43149e+02
    1.11560e-04     4.44359e+02
    1.11882e-04     4.45572e+02
    1.12205e-04     4.46788e+02
    1.12528e-04     4.48008e+02
    1.12852e-04     4.49231e+02
    1.13178e-04     4.50457e+02
    1.13504e-04     4.51687e+02
    1.13831e-04     4.52920e+02
    1.14159e-04     4.54157e+02
    1.14489e-04     4.55396e+02
    1.14819e-04     4.56640e+02
    1.15150e-04     4.57886e+02
    1.15482e-04     4.59136e+02
    1.15815e-04     4.60390e+02
    1.16148e-04     4.61646e+02
    1.16483e-04     4.62907e+02
    1.16819e-04     4.64170e+02
    1.17156e-04     4.65437e+02
    1.17494e-04     4.66708e+02
    1.17832e-04     4.67982e+02
    1.18172e-04     4.69259e+02
    1.18513e-04     4.70540e+02
    1.18854e-04     4.71825e+02
    1.19197e-04     4.73113e+02
    1.19541e-04     4.74404e+02
    1.19885e-04     4.75699e+02
    1.20231e-04     4.76998e+02
    1.20578e-04     4.78300e+02
    1.20925e-04     4.79606e+02
    1.21274e-04     4.80915e+02
    1.21624e-04     4.82227e+02
    1.21974e-04     4.83544e+02
    1.22326e-04     4.84864e+02
    1.22679e-04     4.86187e+02
    1.23032e-04     4.87514e+02
    1.23387e-04     4.88845e+02
    1.23743e-04     4.90179e+02
    1.24099e-04     4.91517e+02
    1.24457e-04     4.92859e+02
    1.24816e-04     4.94204e+02
    1.25176e-04     4.95553e+02
    1.25537e-04     4.96906e+02
    1.25899e-04     4.98262e+02
    1.26262e-04     4.99622e+02
    1.26626e-04     5.00986e+02
    1.26991e-04     5.02354e+02
    1.27357e-04     5.03725e+02
    1.27724e-04     5.05100e+02
    1.28092e-04     5.06478e+02
    1.28461e-04     5.07861e+02
    1.28832e-04     5.09247e+02
    1.29203e-04     5.10637e+02
    1.29576e-04     5.12031e+02
    1.29949e-04     5.13428e+02
    1.30324e-04     5.14830e+02
    1.30700e-04     5.16235e+02
    1.31076e-04     5.17644e+02
    1.31454e-04     5.19057e+02
    1.31833e-04     5.20474e+02
    1.32213e-04     5.21894e+02
    1.32595e-04     5.23319e+02
    1.32977e-04     5.24747e+02
    1.33360e-04     5.26179e+02
    1.33745e-04     5.27615e+02
    1.34130e-04     5.29055e+02
    1.34517e-04     5.30499e+02
    1.34905e-04     5.31947e+02
    1.35294e-04     5.33399e+02
    1.35684e-04     5.34855e+02
    1.36075e-04     5.36315e+02
    1.36467e-04     5.37778e+02
    1.36861e-04     5.39246e+02
    1.37255e-04     5.40718e+02
    1.37651e-04     5.42193e+02
    1.38048e-04     5.43673e+02
    1.38446e-04     5.45157e+02
    1.38845e-04     5.46645e+02
    1.39245e-04     5.48137e+02
    1.39647e-04     5.49633e+02
    1.40049e-04     5.51133e+02
    1.40453e-04     5.52637e+02
    1.40858e-04     5.54145e+02
    1.41264e-04     5.55657e+02
    1.41671e-04     5.57174e+02
    1.42080e-04     5.58694e+02
    1.42489e-04     5.60219e+02
    1.42900e-04     5.61748e+02
    1.43312e-04     5.63281e+02
    1.43725e-04     5.64818e+02
    1.44140e-04     5.66360e+02
    1.44555e-04     5.67905e+02
    1.44972e-04     5.69455e+02
    1.45390e-04     5.71009e+02
    1.45809e-04     5.72567e+02
    1.46229e-04     5.74130e+02
    1.46651e-04     5.75697e+02
    1.47074e-04     5.77268e+02
    1.47498e-04     5.78843e+02
    1.47923e-04     5.80422e+02
    1.48349e-04     5.82006e+02
    1.48777e-04     5.83595e+02
    1.49206e-04     5.85187e+02
    1.49636e-04     5.86784e+02
    1.50068e-04     5.88385e+02
    1.50500e-04     5.89991e+02
    1.50934e-04     5.91601e+02
    1.51369e-04     5.93215e+02
    1.51806e-04     5.94834e+02
    1.52243e-04     5.96457e+02
    1.52682e-04     5.98085e+02
    1.53122e-04     5.99717e+02
    1.53564e-04     6.01353e+02
    1.54007e-04     6.02994e+02
    1.54451e-04     6.04639e+02
    1.54896e-04     6.06289e+02
    1.55342e-04     6.07943e+02
    1.55790e-04     6.09602e+02
    1.56239e-04     6.11266e+02
    1.56690e-04     6.12933e+02
    1.57141e-04     6.14606e+02
    1.57595e-04     6.16283e+02
    1.58049e-04     6.17964e+02
    1.58505e-04     6.19651e+02
    1.58961e-04     6.21341e+02
    1.59420e-04     6.23037e+02
    1.59879e-04     6.24736e+02
    1.60340e-04     6.26441e+02
    1.60803e-04     6.28150e+02
    1.61266e-04     6.29864e+02
    1.61731e-04     6.31583e+02
    1.62197e-04     6.33306e+02
    1.62665e-04     6.35034e+02
    1.63134e-04     6.36766e+02
    1.63604e-04     6.38504e+02
    1.64076e-04     6.40246e+02
    1.64549e-04     6.41992e+02
    1.65023e-04     6.43744e+02
    1.65499e-04     6.45500e+02
    1.65976e-04     6.47261e+02
    1.66455e-04     6.49027e+02
    1.66935e-04     6.50798e+02
    1.67416e-04     6.52573e+02
    1.67899e-04     6.54354e+02
    1.68383e-04     6.56139e+02
    1.68868e-04     6.57929e+02
    1.69355e-04     6.59724e+02
    1.69843e-04     6.61524e+02
    1.70333e-04     6.63328e+02
    1.70824e-04     6.65138e+02
    1.71316e-04     6.66952e+02
    1.71810e-04     6.68772e+02
    1.72306e-04     6.70596e+02
    1.72802e-04     6.72426e+02
    1.73300e-04     6.74260e+02
    1.73800e-04     6.76099e+02
    1.74301e-04     6.77944e+02
    1.74804e-04     6.79793e+02
    1.75308e-04     6.81647e+02
    1.75813e-04     6.83507e+02
    1.76320e-04     6.85371e+02
    1.76828e-04     6.87241e+02
    1.77338e-04     6.89115e+02
    1.77849e-04     6.90995e+02
    1.78362e-04     6.92880e+02
    1.78876e-04     6.94770e+02
    1.79392e-04     6.96665e+02
    1.79909e-04     6.98566e+02
    1.80428e-04     7.00471e+02
    1.80948e-04     7.02382e+02
    1.81470e-04     7.04297e+02
    1.81993e-04     7.06218e+02
    1.82517e-04     7.08145e+02
    1.83044e-04     7.10076e+02
    1.83571e-04     7.12013e+02
    1.84101e-04     7.13955e+02
    1.84631e-04     7.15902e+02
    1.85164e-04     7.17855e+02
    1.85697e-04     7.19813e+02
    1.86233e-04     7.21776e+02
    1.86770e-04     7.23745e+02
    1.87308e-04     7.25719e+02
    1.87848e-04     7.27698e+02
    1.88390e-04     7.29683e+02
    1.88933e-04     7.31673e+02
    1.89478e-04     7.33668e+02
    1.90024e-04     7.35669e+02
    1.90572e-04     7.37675e+02
    1.91121e-04     7.39687e+02
    1.91672e-04     7.41704e+02
    1.92225e-04     7.43727e+02
    1.92779e-04     7.45755e+02
    1.93335e-04     7.47789e+02
    1.93892e-04     7.49829e+02
    1.94451e-04     7.51873e+02
    1.95012e-04     7.53924e+02
    1.95574e-04     7.55980e+02
    1.96138e-04     7.58041e+02
    1.96703e-04     7.60108e+02
    1.97270e-04     7.62181e+02
    1.97839e-04     7.64260e+02
    1.98409e-04     7.66344e+02
    1.98981e-04     7.68433e+02
    1.99555e-04     7.70529e+02
    2.00130e-04     7.72630e+02
    2.00707e-04     7.74737e+02
    2.01286e-04     7.76849e+02
    2.01866e-04     7.78967e+02
    2.02448e-04     7.81091e+02
    2.03032e-04     7.83221e+02
    2.03617e-04     7.85357e+02
    2.04204e-04     7.87498e+02
    2.04793e-04     7.89645e+02
    2.05383e-04     7.91798e+02
    2.05975e-04     7.93957e+02
    2.06569e-04     7.96122e+02
    2.07165e-04     7.98293e+02
    2.07762e-04     8.00469e+02
    2.08361e-04     8.02652e+02
