# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     5.35424e+02
    1.00288e-04     5.36915e+02
    1.00577e-04     5.38410e+02
    1.00867e-04     5.39909e+02
    1.01158e-04     5.41413e+02
    1.01450e-04     5.42920e+02
    1.01742e-04     5.44432e+02
    1.02036e-04     5.45948e+02
    1.02330e-04     5.47469e+02
    1.02625e-04     5.48993e+02
    1.02921e-04     5.50522e+02
    1.03217e-04     5.52055e+02
    1.03515e-04     5.53592e+02
    1.03813e-04     5.55133e+02
    1.04113e-04     5.56679e+02
    1.04413e-04     5.58229e+02
    1.04714e-04     5.59784e+02
    1.05016e-04     5.61342e+02
    1.05319e-04     5.62905e+02
    1.05622e-04     5.64473e+02
    1.05927e-04     5.66045e+02
    1.06232e-04     5.67621e+02
    1.06538e-04     5.69201e+02
    1.06845e-04     5.70786e+02
    1.07153e-04     5.72375e+02
    1.07462e-04     5.73969e+02
    1.07772e-04     5.75567e+02
    1.08083e-04     5.77170e+02
    1.08395e-04     5.78777e+02
    1.08707e-04     5.80389e+02
    1.09020e-04     5.82005e+02
    1.09335e-04     5.83625e+02
    1.09650e-04     5.85250e+02
    1.09966e-04     5.86880e+02
    1.10283e-04     5.88514e+02
    1.10601e-04     5.90152e+02
    1.10920e-04     5.91795e+02
    1.11240e-04     5.93443e+02
    1.11560e-04     5.95095e+02
    1.11882e-04     5.96752e+02
    1.12205e-04     5.98414e+02
    1.12528e-04     6.00080e+02
    1.12852e-04     6.01751e+02
    1.13178e-04     6.03426e+02
    1.13504e-04     6.05106e+02
    1.13831e-04     6.06791e+02
    1.14159e-04     6.08480e+02
    1.14489e-04     6.10175e+02
    1.14819e-04     6.11873e+02
    1.15150e-04     6.13577e+02
    1.15482e-04     6.15285e+02
    1.15815e-04     6.16998e+02
    1.16148e-04     6.18716e+02
    1.16483e-04     6.20439e+02
    1.16819e-04     6.22166e+02
    1.17156e-04     6.23898e+02
    1.17494e-04     6.25635e+02
    1.17832e-04     6.27377e+02
    1.18172e-04     6.29123e+02
    1.18513e-04     6.30875e+02
    1.18854e-04     6.32631e+02
    1.19197e-04     6.34393e+02
    1.19541e-04     6.36159e+02
    1.19885e-04     6.37930e+02
    1.20231e-04     6.39706e+02
    1.20578e-04     6.41487e+02
    1.20925e-04     6.43272e+02
    1.21274e-04     6.45063e+02
    1.21624e-04     6.46859e+02
    1.21974e-04     6.48660e+02
    1.22326e-04     6.50466e+02
    1.22679e-04     6.52276e+02
    1.23032e-04     6.54092e+02
    1.23387e-04     6.55913e+02
    1.23743e-04     6.57739e+02
    1.24099e-04     6.59570e+02
    1.24457e-04     6.61406e+02
    1.24816e-04     6.63247e+02
    1.25176e-04     6.65094e+02
    1.25537e-04     6.66945e+02
    1.25899e-04     6.68802e+02
    1.26262e-04     6.70664e+02
    1.26626e-04     6.72530e+02
    1.26991e-04     6.74403e+02
    1.27357e-04     6.76280e+02
    1.27724e-04     6.78162e+02
    1.28092e-04     6.80050e+02
    1.28461e-04     6.81943e+02
    1.28832e-04     6.83842e+02
    1.29203e-04     6.85745e+02
    1.29576e-04     6.87654e+02
    1.29949e-04     6.89568e+02
    1.30324e-04     6.91487e+02
    1.30700e-04     6.93412e+02
    1.31076e-04     6.95342e+02
    1.31454e-04     6.97278e+02
    1.31833e-04     6.99219e+02
    1.32213e-04     7.01165e+02
    1.32595e-04     7.03117e+02
    1.32977e-04     7.05074e+02
    1.33360e-04     7.07036e+02
    1.33745e-04     7.09004e+02
    1.34130e-04     7.10978e+02
    1.34517e-04     7.12957e+02
    1.34905e-04     7.14941e+02
    1.35294e-04     7.16931e+02
    1.35684e-04     7.18926e+02
    1.36075e-04     7.20927e+02
    1.36467e-04     7.22934e+02
    1.36861e-04     7.24946e+02
    1.37255e-04     7.26964e+02
    1.37651e-04     7.28987e+02
    1.38048e-04     7.31016e+02
    1.38446e-04     7.33051e+02
    1.38845e-04     7.35091e+02
    1.39245e-04     7.37137e+02
    1.39647e-04     7.39188e+02
    1.40049e-04     7.41246e+02
    1.40453e-04     7.43309e+02
    1.40858e-04     7.45377e+02
    1.41264e-04     7.47452e+02
    1.41671e-04     7.49532e+02
    1.42080e-04     7.51618e+02
    1.42489e-04     7.53710e+02
    1.42900e-04     7.55807e+02
    1.43312e-04     7.57911e+02
    1.43725e-04     7.60020e+02
    1.44140e-04     7.62135e+02
    1.44555e-04     7.64256e+02
    1.44972e-04     7.66383e+02
    1.45390e-04     7.68516e+02
    1.45809e-04     7.70654e+02
    1.46229e-04     7.72799e+02
    1.46651e-04     7.74950e+02
    1.47074e-04     7.77106e+02
    1.47498e-04     7.79269e+02
    1.47923e-04     7.81437e+02
    1.48349e-04     7.83612e+02
    1.48777e-04     7.85792e+02
    1.49206e-04     7.87979e+02
    1.49636e-04     7.90172e+02
    1.50068e-04     7.92370e+02
    1.50500e-04     7.94575e+02
    1.50934e-04     7.96786e+02
    1.51369e-04     7.99004e+02
    1.51806e-04     8.01227e+02
    1.52243e-04     8.03456e+02
    1.52682e-04     8.05692e+02
    1.53122e-04     8.07934e+02
    1.53564e-04     8.10182e+02
    1.54007e-04     8.12436e+02
    1.54451e-04     8.14697e+02
    1.54896e-04     8.16964e+02
    1.55342e-04     8.19237e+02
    1.55790e-04     8.21516e+02
    1.56239e-04     8.23802e+02
    1.56690e-04     8.26094e+02
    1.57141e-04     8.28393e+02
    1.57595e-04     8.30698e+02
    1.58049e-04     8.33009e+02
    1.58505e-04     8.35326e+02
    1.58961e-04     8.37651e+02
    1.59420e-04     8.39981e+02
    1.59879e-04     8.42318e+02
    1.60340e-04     8.44662e+02
    1.60803e-04     8.47012e+02
    1.61266e-04     8.49368e+02
    1.61731e-04     8.51731e+02
    1.62197e-04     8.54101e+02
    1.62665e-04     8.56477e+02
    1.63134e-04     8.58860e+02
    1.63604e-04     8.61249e+02
    1.64076e-04     8.63645e+02
    1.64549e-04     8.66048e+02
    1.65023e-04     8.68457e+02
    1.65499e-04     8.70873e+02
    1.65976e-04     8.73296e+02
    1.66455e-04     8.75725e+02
    1.66935e-04     8.78161e+02
    1.67416e-04     8.80604e+02
    1.67899e-04     8.83054e+02
    1.68383e-04     8.85510e+02
    1.68868e-04     8.87973e+02
    1.69355e-04     8.90443e+02
    1.69843e-04     8.92920e+02
    1.70333e-04     8.95404e+02
    1.70824e-04     8.97895e+02
    1.71316e-04     9.00393e+02
    1.71810e-04     9.02897e+02
    1.72306e-04     9.05409e+02
    1.72802e-04     9.07927e+02
    1.73300e-04     9.10452e+02
    1.73800e-04     9.12985e+02
    1.74301e-04     9.15524e+02
    1.74804e-04     9.18071e+02
    1.75308e-04     9.20624e+02
    1.75813e-04     9.23185e+02
    1.76320e-04     9.25752e+02
    1.76828e-04     9.28327e+02
    1.77338e-04     9.30909e+02
    1.77849e-04     9.33498e+02
    1.78362e-04     9.36095e+02
    1.78876e-04     9.38698e+02
    1.79392e-04     9.41309e+02
    1.79909e-04     9.43927e+02
    1.80428e-04     9.46552e+02
    1.80948e-04     9.49184e+02
    1.81470e-04     9.51824e+02
    1.81993e-04     9.54471e+02
    1.82517e-04     9.57125e+02
    1.83044e-04     9.59787e+02
    1.83571e-04     9.62456e+02
    1.84101e-04     9.65133e+02
    1.84631e-04     9.67817e+02
    1.85164e-04     9.70508e+02
    1.85697e-04     9.73207e+02
    1.86233e-04     9.75913e+02
    1.86770e-04     9.78627e+02
    1.87308e-04     9.81348e+02
    1.87848e-04     9.84077e+02
    1.88390e-04     9.86813e+02
    1.88933e-04     9.89557e+02
    1.89478e-04     9.92309e+02
    1.90024e-04     9.95068e+02
    1.90572e-04     9.97835e+02
    1.91121e-04     1.00061e+03
    1.91672e-04     1.00339e+03
    1.92225e-04     1.00618e+03
    1.92779e-04     1.00898e+03
    1.93335e-04     1.01178e+03
    1.93892e-04     1.01460e+03
    1.94451e-04     1.01742e+03
    1.95012e-04     1.02025e+03
    1.95574e-04     1.02308e+03
    1.96138e-04     1.02593e+03
    1.96703e-04     1.02878e+03
    1.97270e-04     1.03164e+03
    1.97839e-04     1.03451e+03
    1.98409e-04     1.03738e+03
    1.98981e-04     1.04027e+03
    1.99555e-04     1.04316e+03
    2.00130e-04     1.04606e+03
    2.00707e-04     1.04897e+03
    2.01286e-04     1.05188e+03
    2.01866e-04     1.05481e+03
    2.02448e-04     1.05774e+03
    2.03032e-04     1.06068e+03
    2.03617e-04     1.06363e+03
    2.04204e-04     1.06659e+03
    2.04793e-04     1.06955e+03
    2.05383e-04     1.07252e+03
    2.05975e-04     1.07550e+03
    2.06569e-04     1.07849e+03
    2.07165e-04     1.08149e+03
    2.07762e-04     1.08450e+03
    2.08361e-04     1.08751e+03
    2.08962e-04     1.09053e+03
    2.09564e-04     1.09357e+03
    2.10168e-04     1.09661e+03
    2.10774e-04     1.09965e+03
    2.11382e-04     1.10271e+03
    2.11991e-04     1.10577e+03
    2.12602e-04     1.10885e+03
    2.13215e-04     1.11193e+03
    2.13830e-04     1.11502e+03
    2.14447e-04     1.11812e+03
    2.15065e-04     1.12122e+03
    2.15685e-04     1.12434e+03
    2.16307e-04     1.12747e+03
    2.16930e-04     1.13060e+03
    2.17556e-04     1.13374e+03
    2.18183e-04     1.13689e+03
    2.18812e-04     1.14005e+03
    2.19443e-04     1.14322e+03
    2.20075e-04     1.14639e+03
    2.20710e-04     1.14958e+03
    2.21346e-04     1.15277e+03
    2.21984e-04     1.15598e+03
    2.22624e-04     1.15919e+03
    2.23266e-04     1.16241e+03
    2.23910e-04     1.16564e+03
    2.24555e-04     1.16888e+03
    2.25203e-04     1.17213e+03
    2.25852e-04     1.17538e+03
    2.26503e-04     1.17865e+03
    2.27156e-04     1.18192e+03
    2.27811e-04     1.18521e+03
    2.28468e-04     1.18850e+03
    2.29126e-04     1.19180e+03
    2.29787e-04     1.19511e+03
    2.30449e-04     1.19843e+03
    2.31114e-04     1.20176e+03
    2.31780e-04     1.20510e+03
    2.32448e-04     1.20845e+03
    2.33118e-04     1.21180e+03
    2.33790e-04     1.21517e+03
    2.34465e-04     1.21854e+03
    2.35140e-04     1.22193e+03
    2.35818e-04     1.22532e+03
    2.36498e-04     1.22873e+03
    2.37180e-04     1.23214e+03
    2.37864e-04     1.23556e+03
    2.38550e-04     1.23899e+03
    2.39237e-04     1.24243e+03
    2.39927e-04     1.24588e+03
    2.40619e-04     1.24934e+03
    2.41312e-04     1.25281e+03
    2.42008e-04     1.25629e+03
    2.42706e-04     1.25978e+03
    2.43406e-04     1.26328e+03
    2.44107e-04     1.26679e+03
    2.44811e-04     1.27031e+03
    2.45517e-04     1.27383e+03
    2.46225e-04     1.27737e+03
    2.46935e-04     1.28092e+03
    2.47646e-04     1.28447e+03
    2.48360e-04     1.28804e+03
    2.49076e-04     1.29162e+03
    2.49794e-04     1.29520e+03
    2.50515e-04     1.29880e+03
    2.51237e-04     1.30241e+03
    2.51961e-04     1.30602e+03
    2.52688e-04     1.30965e+03
    2.53416e-04     1.31328e+03
    2.54147e-04     1.31693e+03
    2.54879e-04     1.32059e+03
    2.55614e-04     1.32425e+03
    2.56351e-04     1.32793e+03
    2.57090e-04     1.33161e+03
    2.57831e-04     1.33531e+03
    2.58575e-04     1.33902e+03
    2.59320e-04     1.34273e+03
    2.60068e-04     1.34646e+03
    2.60818e-04     1.35020e+03
    2.61569e-04     1.35395e+03
    2.62324e-04     1.35771e+03
    2.63080e-04     1.36147e+03
    2.63838e-04     1.36525e+03
    2.64599e-04     1.36904e+03
    2.65362e-04     1.37284e+03
    2.66127e-04     1.37665e+03
    2.66894e-04     1.38047e+03
    2.67663e-04     1.38430e+03
    2.68435e-04     1.38814e+03
    2.69209e-04     1.39200e+03
    2.69985e-04     1.39586e+03
    2.70764e-04     1.39973e+03
    2.71544e-04     1.40362e+03
    2.72327e-04     1.40751e+03
    2.73112e-04     1.41142e+03
    2.73899e-04     1.41533e+03
    2.74689e-04     1.41926e+03
    2.75481e-04     1.42320e+03
    2.76275e-04     1.42715e+03
    2.77072e-04     1.43111e+03
    2.77871e-04     1.43508e+03
    2.78672e-04     1.43906e+03
    2.79475e-04     1.44305e+03
    2.80281e-04     1.44705e+03
    2.81089e-04     1.45107e+03
    2.81899e-04     1.45509e+03
    2.82712e-04     1.45913e+03
    2.83527e-04     1.46318e+03
    2.84344e-04     1.46724e+03
    2.85164e-04     1.47131e+03
    2.85986e-04     1.47539e+03
    2.86811e-04     1.47948e+03
    2.87638e-04     1.48358e+03
    2.88467e-04     1.48770e+03
    2.89298e-04     1.49182e+03
    2.90132e-04     1.49596e+03
    2.90969e-04     1.50011e+03
    2.91808e-04     1.50427e+03
    2.92649e-04     1.50844e+03
    2.93493e-04     1.51262e+03
    2.94339e-04     1.51682e+03
    2.95187e-04     1.52102e+03
    2.96039e-04     1.52524e+03
    2.96892e-04     1.52947e+03
    2.97748e-04     1.53371e+03
    2.98606e-04     1.53796e+03
    2.99467e-04     1.54223e+03
    3.00331e-04     1.54650e+03
    3.01196e-04     1.55079e+03
    3.02065e-04     1.55509e+03
    3.02936e-04     1.55940e+03
    3.03809e-04     1.56372e+03
    3.04685e-04     1.56806e+03
    3.05563e-04     1.57241e+03
    3.06444e-04     1.57676e+03
    3.07328e-04     1.58113e+03
    3.08214e-04     1.58552e+03
    3.09102e-04     1.58991e+03
    3.09993e-04     1.59432e+03
    3.10887e-04     1.59874e+03
    3.11783e-04     1.60317e+03
    3.12682e-04     1.60761e+03
    3.13584e-04     1.61207e+03
    3.14488e-04     1.61653e+03
    3.15394e-04     1.62101e+03
    3.16304e-04     1.62550e+03
    3.17216e-04     1.63001e+03
    3.18130e-04     1.63453e+03
    3.19047e-04     1.63905e+03
    3.19967e-04     1.64360e+03
    3.20889e-04     1.64815e+03
    3.21815e-04     1.65272e+03
    3.22742e-04     1.65729e+03
    3.23673e-04     1.66189e+03
    3.24606e-04     1.66649e+03
    3.25542e-04     1.67111e+03
    3.26480e-04     1.67573e+03
    3.27422e-04     1.68038e+03
    3.28366e-04     1.68503e+03
    3.29312e-04     1.68970e+03
    3.30262e-04     1.69438e+03
    3.31214e-04     1.69907e+03
    3.32169e-04     1.70378e+03
    3.33126e-04     1.70850e+03
    3.34087e-04     1.71323e+03
    3.35050e-04     1.71797e+03
    3.36016e-04     1.72273e+03
    3.36984e-04     1.72750e+03
    3.37956e-04     1.73228e+03
    3.38930e-04     1.73708e+03
    3.39907e-04     1.74189e+03
    3.40887e-04     1.74671e+03
    3.41870e-04     1.75155e+03
    3.42856e-04     1.75640e+03
    3.43844e-04     1.76126e+03
    3.44836e-04     1.76614e+03
    3.45830e-04     1.77102e+03
    3.46827e-04     1.77593e+03
    3.47827e-04     1.78084e+03
    3.48829e-04     1.78577e+03
    3.49835e-04     1.79071e+03
    3.50844e-04     1.79567e+03
    3.51855e-04     1.80064e+03
    3.52869e-04     1.80562e+03
    3.53887e-04     1.81062e+03
    3.54907e-04     1.81563e+03
    3.55930e-04     1.82066e+03
    3.56956e-04     1.82569e+03
    3.57985e-04     1.83075e+03
    3.59018e-04     1.83581e+03
    3.60053e-04     1.84089e+03
    3.61091e-04     1.84598e+03
    3.62132e-04     1.85109e+03
    3.63176e-04     1.85621e+03
    3.64223e-04     1.86135e+03
    3.65273e-04     1.86650e+03
    3.66326e-04     1.87166e+03
    3.67382e-04     1.87684e+03
    3.68441e-04     1.88203e+03
    3.69503e-04     1.88723e+03
    3.70569e-04     1.89245e+03
    3.71637e-04     1.89769e+03
    3.72708e-04     1.90294e+03
    3.73783e-04     1.90820e+03
    3.74860e-04     1.91347e+03
    3.75941e-04     1.91877e+03
    3.77025e-04     1.92407e+03
    3.78112e-04     1.92939e+03
    3.79202e-04     1.93473e+03
    3.80295e-04     1.94007e+03
    3.81392e-04     1.94544e+03
    3.82491e-04     1.95082e+03
    3.83594e-04     1.95621e+03
    3.84700e-04     1.96162e+03
    3.85809e-04     1.96704e+03
    3.86921e-04     1.97248e+03
    3.88037e-04     1.97793e+03
    3.89155e-04     1.98339e+03
    3.90277e-04     1.98888e+03
    3.91402e-04     1.99437e+03
    3.92531e-04     1.99988e+03
    3.93662e-04     2.00541e+03
    3.94797e-04     2.01095e+03
    3.95936e-04     2.01651e+03
    3.97077e-04     2.02208e+03
    3.98222e-04     2.02767e+03
    3.99370e-04     2.03327e+03
    4.00521e-04     2.03888e+03
    4.01676e-04     2.04452e+03
    4.02834e-04     2.05016e+03
    4.03995e-04     2.05583e+03
    4.05160e-04     2.06151e+03
    4.06328e-04     2.06720e+03
    4.07500e-04     2.07291e+03
    4.08674e-04     2.07863e+03
    4.09853e-04     2.08437e+03
    4.11034e-04     2.09013e+03
    4.12219e-04     2.09590e+03
    4.13408e-04     2.10169e+03
    4.14599e-04     2.10749e+03
    4.15795e-04     2.11331e+03
    4.16993e-04     2.11915e+03
    4.18196e-04     2.12500e+03
    4.19401e-04     2.13086e+03
    4.20610e-04     2.13674e+03
    4.21823e-04     2.14264e+03
    4.23039e-04     2.14856e+03
    4.24259e-04     2.15449e+03
    4.25482e-04     2.16043e+03
    4.26708e-04     2.16639e+03
    4.27939e-04     2.17237e+03
    4.29172e-04     2.17837e+03
    4.30410e-04     2.18438e+03
    4.31651e-04     2.19040e+03
    4.32895e-04     2.19645e+03
    4.34143e-04     2.20251e+03
    4.35395e-04     2.20858e+03
    4.36650e-04     2.21468e+03
    4.37909e-04     2.22078e+03
    4.39171e-04     2.22691e+03
    4.40437e-04     2.23305e+03
    4.41707e-04     2.23921e+03
    4.42981e-04     2.24539e+03
    4.44258e-04     2.25158e+03
    4.45538e-04     2.25779e+03
    4.46823e-04     2.26401e+03
    4.48111e-04     2.27026e+03
    4.49403e-04     2.27651e+03
    4.50699e-04     2.28279e+03
    4.51998e-04     2.28908e+03
    4.53301e-04     2.29539e+03
    4.54608e-04     2.30172e+03
    4.55919e-04     2.30807e+03
    4.57233e-04     2.31443e+03
    4.58551e-04     2.32081e+03
    4.59873e-04     2.32720e+03
    4.61199e-04     2.33361e+03
    4.62529e-04     2.34004e+03
    4.63862e-04     2.34649e+03
    4.65199e-04     2.35296e+03
    4.66541e-04     2.35944e+03
    4.67886e-04     2.36594e+03
    4.69234e-04     2.37246e+03
    4.70587e-04     2.37899e+03
    4.71944e-04     2.38554e+03
    4.73305e-04     2.39211e+03
    4.74669e-04     2.39870e+03
    4.76038e-04     2.40531e+03
    4.77410e-04     2.41193e+03
    4.78786e-04     2.41857e+03
    4.80167e-04     2.42523e+03
    4.81551e-04     2.43191e+03
    4.82939e-04     2.43861e+03
    4.84332e-04     2.44532e+03
    4.85728e-04     2.45205e+03
    4.87128e-04     2.45880e+03
    4.88533e-04     2.46557e+03
    4.89941e-04     2.47235e+03
    4.91353e-04     2.47916e+03
    4.92770e-04     2.48598e+03
    4.94191e-04     2.49282e+03
    4.95615e-04     2.49968e+03
    4.97044e-04     2.50656e+03
    4.98477e-04     2.51345e+03
    4.99914e-04     2.52037e+03
    5.01356e-04     2.52730e+03
    5.02801e-04     2.53425e+03
    5.04251e-04     2.54122e+03
    5.05704e-04     2.54821e+03
    5.07162e-04     2.55522e+03
    5.08624e-04     2.56224e+03
    5.10091e-04     2.56929e+03
    5.11561e-04     2.57635e+03
    5.13036e-04     2.58344e+03
    5.14515e-04     2.59054e+03
    5.15999e-04     2.59766e+03
    5.17486e-04     2.60480e+03
    5.18978e-04     2.61196e+03
    5.20474e-04     2.61914e+03
    5.21975e-04     2.62634e+03
    5.23480e-04     2.63355e+03
    5.24989e-04     2.64079e+03
    5.26502e-04     2.64805e+03
    5.28020e-04     2.65532e+03
    5.29542e-04     2.66262e+03
    5.31069e-04     2.66993e+03
    5.32600e-04     2.67726e+03
    5.34136e-04     2.68462e+03
    5.35676e-04     2.69199e+03
    5.37220e-04     2.69938e+03
    5.38769e-04     2.70680e+03
    5.40322e-04     2.71423e+03
    5.41880e-04     2.72168e+03
    5.43442e-04     2.72915e+03
    5.45009e-04     2.73664e+03
    5.46580e-04     2.74416e+03
    5.48156e-04     2.75169e+03
    5.49736e-04     2.75924e+03
    5.51321e-04     2.76681e+03
    5.52910e-04     2.77441e+03
    5.54504e-04     2.78202e+03
    5.56103e-04     2.78965e+03
    5.57706e-04     2.79730e+03
    5.59314e-04     2.80498e+03
    5.60927e-04     2.81267e+03
    5.62544e-04     2.82039e+03
    5.64166e-04     2.82812e+03
    5.65792e-04     2.83588e+03
    5.67423e-04     2.84366e+03
    5.69059e-04     2.85145e+03
    5.70700e-04     2.85927e+03
    5.72345e-04     2.86711e+03
    5.73995e-04     2.87497e+03
    5.75650e-04     2.88285e+03
    5.77309e-04     2.89075e+03
    5.78974e-04     2.89867e+03
    5.80643e-04     2.90662e+03
    5.82317e-04     2.91458e+03
    5.83996e-04     2.92257e+03
    5.85679e-04     2.93058e+03
    5.87368e-04     2.93860e+03
    5.89061e-04     2.94665e+03
    5.90759e-04     2.95472e+03
    5.92463e-04     2.96282e+03
    5.94171e-04     2.97093e+03
    5.95884e-04     2.97907e+03
    5.97602e-04     2.98722e+03
    5.99324e-04     2.99540e+03
    6.01052e-04     3.00360e+03
    6.02785e-04     3.01182e+03
    6.04523e-04     3.02007e+03
    6.06266e-04     3.02833e+03
    6.08014e-04     3.03662e+03
    6.09767e-04     3.04493e+03
    6.11524e-04     3.05326e+03
    6.13287e-04     3.06162e+03
    6.15056e-04     3.06999e+03
    6.16829e-04     3.07839e+03
    6.18607e-04     3.08681e+03
    6.20390e-04     3.09525e+03
    6.22179e-04     3.10372e+03
    6.23973e-04     3.11220e+03
    6.25772e-04     3.12071e+03
    6.27576e-04     3.12925e+03
    6.29385e-04     3.13780e+03
    6.31200e-04     3.14638e+03
    6.33019e-04     3.15498e+03
    6.34844e-04     3.16360e+03
    6.36675e-04     3.17224e+03
    6.38510e-04     3.18091e+03
    6.40351e-04     3.18960e+03
    6.42197e-04     3.19832e+03
    6.44048e-04     3.20705e+03
    6.45905e-04     3.21581e+03
    6.47767e-04     3.22460e+03
    6.49635e-04     3.23340e+03
    6.51508e-04     3.24223e+03
    6.53386e-04     3.25108e+03
    6.55270e-04     3.25996e+03
    6.57159e-04     3.26886e+03
    6.59053e-04     3.27778e+03
    6.60953e-04     3.28673e+03
    6.62859e-04     3.29570e+03
    6.64770e-04     3.30469e+03
    6.66686e-04     3.31371e+03
    6.68609e-04     3.32275e+03
    6.70536e-04     3.33181e+03
    6.72469e-04     3.34090e+03
    6.74408e-04     3.35001e+03
    6.76352e-04     3.35915e+03
    6.78302e-04     3.36830e+03
    6.80258e-04     3.37749e+03
    6.82219e-04     3.38670e+03
    6.84186e-04     3.39593e+03
    6.86158e-04     3.40518e+03
    6.88136e-04     3.41446e+03
    6.90120e-04     3.42377e+03
    6.92110e-04     3.43310e+03
    6.94105e-04     3.44245e+03
    6.96106e-04     3.45183e+03
    6.98113e-04     3.46123e+03
    7.00126e-04     3.47066e+03
    7.02144e-04     3.48011e+03
    7.04169e-04     3.48959e+03
    7.06199e-04     3.49909e+03
    7.08235e-04     3.50861e+03
    7.10276e-04     3.51816e+03
    7.12324e-04     3.52774e+03
    7.14378e-04     3.53734e+03
    7.16437e-04     3.54696e+03
    7.18503e-04     3.55662e+03
    7.20574e-04     3.56629e+03
    7.22652e-04     3.57599e+03
    7.24735e-04     3.58572e+03
    7.26824e-04     3.59547e+03
    7.28920e-04     3.60525e+03
    7.31021e-04     3.61505e+03
    7.33129e-04     3.62488e+03
    7.35242e-04     3.63473e+03
    7.37362e-04     3.64461e+03
    7.39488e-04     3.65452e+03
    7.41620e-04     3.66445e+03
    7.43758e-04     3.67440e+03
    7.45902e-04     3.68439e+03
    7.48052e-04     3.69439e+03
    7.50209e-04     3.70443e+03
    7.52372e-04     3.71449e+03
    7.54541e-04     3.72458e+03
    7.56716e-04     3.73469e+03
    7.58898e-04     3.74483e+03
    7.61086e-04     3.75499e+03
    7.63280e-04     3.76518e+03
    7.65481e-04     3.77540e+03
    7.67687e-04     3.78565e+03
    7.69901e-04     3.79592e+03
    7.72120e-04     3.80621e+03
    7.74346e-04     3.81654e+03
    7.76579e-04     3.82689e+03
    7.78818e-04     3.83727e+03
    7.81063e-04     3.84767e+03
    7.83315e-04     3.85810e+03
    7.85573e-04     3.86856e+03
    7.87838e-04     3.87905e+03
    7.90109e-04     3.88956e+03
    7.92387e-04     3.90010e+03
    7.94671e-04     3.91066e+03
    7.96962e-04     3.92126e+03
    7.99260e-04     3.93188e+03
    8.01564e-04     3.94253e+03
    8.03875e-04     3.95320e+03
    8.06193e-04     3.96391e+03
    8.08517e-04     3.97464e+03
    8.10848e-04     3.98540e+03
    8.13185e-04     3.99618e+03
    8.15530e-04     4.00700e+03
    8.17881e-04     4.01784e+03
    8.20239e-04     4.02871e+03
    8.22604e-04     4.03961e+03
    8.24975e-04     4.05053e+03
    8.27354e-04     4.06149e+03
    8.29739e-04     4.07247e+03
    8.32131e-04     4.08348e+03
    8.34530e-04     4.09452e+03
    8.36936e-04     4.10558e+03
    8.39349e-04     4.11668e+03
    8.41769e-04     4.12780e+03
    8.44195e-04     4.13895e+03
    8.46629e-04     4.15013e+03
    8.49070e-04     4.16134e+03
    8.51518e-04     4.17258e+03
    8.53973e-04     4.18385e+03
    8.56435e-04     4.19514e+03
    8.58904e-04     4.20646e+03
    8.61380e-04     4.21782e+03
    8.63863e-04     4.22920e+03
    8.66354e-04     4.24061e+03
    8.68852e-04     4.25205e+03
    8.71356e-04     4.26352e+03
    8.73869e-04     4.27502e+03
    8.76388e-04     4.28655e+03
    8.78915e-04     4.29810e+03
    8.81448e-04     4.30969e+03
    8.83990e-04     4.32131e+03
    8.86538e-04     4.33295e+03
    8.89094e-04     4.34463e+03
    8.91657e-04     4.35633e+03
    8.94228e-04     4.36806e+03
    8.96806e-04     4.37983e+03
    8.99391e-04     4.39162e+03
    9.01984e-04     4.40345e+03
    9.04585e-04     4.41530e+03
    9.07193e-04     4.42719e+03
    9.09808e-04     4.43910e+03
    9.12431e-04     4.45104e+03
    9.15062e-04     4.46302e+03
    9.17700e-04     4.47502e+03
    9.20345e-04     4.48706e+03
    9.22999e-04     4.49912e+03
    9.25660e-04     4.51122e+03
    9.28328e-04     4.52335e+03
    9.31005e-04     4.53551e+03
    9.33689e-04     4.54769e+03
    9.36381e-04     4.55991e+03
    9.39080e-04     4.57216e+03
    9.41787e-04     4.58444e+03
    9.44503e-04     4.59675e+03
    9.47226e-04     4.60910e+03
    9.49956e-04     4.62147e+03
    9.52695e-04     4.63387e+03
    9.55442e-04     4.64631e+03
    9.58196e-04     4.65878e+03
    9.60959e-04     4.67128e+03
    9.63729e-04     4.68381e+03
    9.66508e-04     4.69637e+03
    9.69294e-04     4.70896e+03
    9.72088e-04     4.72159e+03
    9.74891e-04     4.73424e+03
    9.77702e-04     4.74693e+03
    9.80520e-04     4.75965e+03
    9.83347e-04     4.77240e+03
    9.86182e-04     4.78519e+03
    9.89025e-04     4.79800e+03
    9.91876e-04     4.81085e+03
    9.94736e-04     4.82373e+03
    9.97604e-04     4.83664e+03
