# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.11186e+02
    1.00288e-04     3.12053e+02
    1.00577e-04     3.12922e+02
    1.00867e-04     3.13793e+02
    1.01158e-04     3.14667e+02
    1.01450e-04     3.15544e+02
    1.01742e-04     3.16422e+02
    1.02036e-04     3.17304e+02
    1.02330e-04     3.18187e+02
    1.02625e-04     3.19074e+02
    1.02921e-04     3.19962e+02
    1.03217e-04     3.20853e+02
    1.03515e-04     3.21747e+02
    1.03813e-04     3.22643e+02
    1.04113e-04     3.23541e+02
    1.04413e-04     3.24443e+02
    1.04714e-04     3.25346e+02
    1.05016e-04     3.26252e+02
    1.05319e-04     3.27161e+02
    1.05622e-04     3.28072e+02
    1.05927e-04     3.28986e+02
    1.06232e-04     3.29902e+02
    1.06538e-04     3.30821e+02
    1.06845e-04     3.31742e+02
    1.07153e-04     3.32666e+02
    1.07462e-04     3.33592e+02
    1.07772e-04     3.34521e+02
    1.08083e-04     3.35453e+02
    1.08395e-04     3.36387e+02
    1.08707e-04     3.37324e+02
    1.09020e-04     3.38263e+02
    1.09335e-04     3.39205e+02
    1.09650e-04     3.40150e+02
    1.09966e-04     3.41097e+02
    1.10283e-04     3.42047e+02
    1.10601e-04     3.43000e+02
    1.10920e-04     3.43955e+02
    1.11240e-04     3.44913e+02
    1.11560e-04     3.45873e+02
    1.11882e-04     3.46836e+02
    1.12205e-04     3.47802e+02
    1.12528e-04     3.48771e+02
    1.12852e-04     3.49742e+02
    1.13178e-04     3.50716e+02
    1.13504e-04     3.51693e+02
    1.13831e-04     3.52672e+02
    1.14159e-04     3.53654e+02
    1.14489e-04     3.54639e+02
    1.14819e-04     3.55627e+02
    1.15150e-04     3.56617e+02
    1.15482e-04     3.57610e+02
    1.15815e-04     3.58606e+02
    1.16148e-04     3.59604e+02
    1.16483e-04     3.60606e+02
    1.16819e-04     3.61610e+02
    1.17156e-04     3.62617e+02
    1.17494e-04     3.63627e+02
    1.17832e-04     3.64639e+02
    1.18172e-04     3.65655e+02
    1.18513e-04     3.66673e+02
    1.18854e-04     3.67694e+02
    1.19197e-04     3.68718e+02
    1.19541e-04     3.69745e+02
    1.19885e-04     3.70774e+02
