# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     6.12856e+02
    1.00288e-04     6.14563e+02
    1.00577e-04     6.16274e+02
    1.00867e-04     6.17990e+02
    1.01158e-04     6.19711e+02
    1.01450e-04     6.21437e+02
    1.01742e-04     6.23167e+02
    1.02036e-04     6.24903e+02
    1.02330e-04     6.26643e+02
    1.02625e-04     6.28388e+02
    1.02921e-04     6.30138e+02
    1.03217e-04     6.31892e+02
    1.03515e-04     6.33652e+02
    1.03813e-04     6.35416e+02
    1.04113e-04     6.37185e+02
    1.04413e-04     6.38960e+02
    1.04714e-04     6.40739e+02
    1.05016e-04     6.42523e+02
    1.05319e-04     6.44312e+02
    1.05622e-04     6.46106e+02
    1.05927e-04     6.47905e+02
    1.06232e-04     6.49709e+02
    1.06538e-04     6.51518e+02
    1.06845e-04     6.53333e+02
    1.07153e-04     6.55152e+02
    1.07462e-04     6.56976e+02
    1.07772e-04     6.58805e+02
    1.08083e-04     6.60640e+02
    1.08395e-04     6.62479e+02
    1.08707e-04     6.64324e+02
    1.09020e-04     6.66173e+02
    1.09335e-04     6.68028e+02
    1.09650e-04     6.69888e+02
    1.09966e-04     6.71753e+02
    1.10283e-04     6.73624e+02
    1.10601e-04     6.75499e+02
    1.10920e-04     6.77380e+02
    1.11240e-04     6.79266e+02
    1.11560e-04     6.81157e+02
    1.11882e-04     6.83054e+02
    1.12205e-04     6.84956e+02
    1.12528e-04     6.86863e+02
    1.12852e-04     6.88775e+02
    1.13178e-04     6.90693e+02
    1.13504e-04     6.92616e+02
    1.13831e-04     6.94544e+02
    1.14159e-04     6.96478e+02
    1.14489e-04     6.98417e+02
    1.14819e-04     7.00362e+02
    1.15150e-04     7.02312e+02
    1.15482e-04     7.04267e+02
    1.15815e-04     7.06228e+02
    1.16148e-04     7.08194e+02
    1.16483e-04     7.10166e+02
    1.16819e-04     7.12143e+02
    1.17156e-04     7.14125e+02
    1.17494e-04     7.16114e+02
    1.17832e-04     7.18107e+02
    1.18172e-04     7.20107e+02
    1.18513e-04     7.22111e+02
    1.18854e-04     7.24122e+02
    1.19197e-04     7.26138e+02
    1.19541e-04     7.28159e+02
    1.19885e-04     7.30186e+02
    1.20231e-04     7.32219e+02
    1.20578e-04     7.34258e+02
    1.20925e-04     7.36302e+02
    1.21274e-04     7.38352e+02
    1.21624e-04     7.40407e+02
    1.21974e-04     7.42468e+02
    1.22326e-04     7.44535e+02
    1.22679e-04     7.46608e+02
    1.23032e-04     7.48686e+02
    1.23387e-04     7.50771e+02
    1.23743e-04     7.52861e+02
    1.24099e-04     7.54956e+02
    1.24457e-04     7.57058e+02
    1.24816e-04     7.59165e+02
    1.25176e-04     7.61279e+02
    1.25537e-04     7.63398e+02
    1.25899e-04     7.65523e+02
    1.26262e-04     7.67654e+02
    1.26626e-04     7.69791e+02
    1.26991e-04     7.71934e+02
    1.27357e-04     7.74083e+02
    1.27724e-04     7.76238e+02
    1.28092e-04     7.78398e+02
    1.28461e-04     7.80565e+02
    1.28832e-04     7.82738e+02
    1.29203e-04     7.84917e+02
    1.29576e-04     7.87102e+02
    1.29949e-04     7.89293e+02
    1.30324e-04     7.91490e+02
    1.30700e-04     7.93693e+02
    1.31076e-04     7.95902e+02
    1.31454e-04     7.98117e+02
    1.31833e-04     8.00339e+02
    1.32213e-04     8.02567e+02
    1.32595e-04     8.04801e+02
    1.32977e-04     8.07041e+02
    1.33360e-04     8.09287e+02
    1.33745e-04     8.11540e+02
    1.34130e-04     8.13798e+02
    1.34517e-04     8.16064e+02
    1.34905e-04     8.18335e+02
    1.35294e-04     8.20613e+02
    1.35684e-04     8.22897e+02
    1.36075e-04     8.25187e+02
    1.36467e-04     8.27484e+02
    1.36861e-04     8.29787e+02
    1.37255e-04     8.32097e+02
    1.37651e-04     8.34412e+02
    1.38048e-04     8.36735e+02
    1.38446e-04     8.39064e+02
