# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.48232e+02
    1.00288e-04     3.49202e+02
    1.00577e-04     3.50174e+02
    1.00867e-04     3.51150e+02
    1.01158e-04     3.52128e+02
    1.01450e-04     3.53108e+02
    1.01742e-04     3.54092e+02
    1.02036e-04     3.55078e+02
    1.02330e-04     3.56067e+02
    1.02625e-04     3.57058e+02
    1.02921e-04     3.58053e+02
    1.03217e-04     3.59050e+02
    1.03515e-04     3.60050e+02
    1.03813e-04     3.61053e+02
    1.04113e-04     3.62058e+02
    1.04413e-04     3.63067e+02
    1.04714e-04     3.64078e+02
    1.05016e-04     3.65092e+02
    1.05319e-04     3.66108e+02
    1.05622e-04     3.67128e+02
    1.05927e-04     3.68150e+02
    1.06232e-04     3.69176e+02
    1.06538e-04     3.70204e+02
    1.06845e-04     3.71235e+02
    1.07153e-04     3.72269e+02
    1.07462e-04     3.73305e+02
    1.07772e-04     3.74345e+02
    1.08083e-04     3.75388e+02
    1.08395e-04     3.76433e+02
    1.08707e-04     3.77481e+02
    1.09020e-04     3.78533e+02
    1.09335e-04     3.79587e+02
    1.09650e-04     3.80644e+02
    1.09966e-04     3.81704e+02
    1.10283e-04     3.82767e+02
    1.10601e-04     3.83833e+02
    1.10920e-04     3.84902e+02
    1.11240e-04     3.85974e+02
    1.11560e-04     3.87048e+02
    1.11882e-04     3.88126e+02
    1.12205e-04     3.89207e+02
    1.12528e-04     3.90291e+02
    1.12852e-04     3.91378e+02
    1.13178e-04     3.92468e+02
    1.13504e-04     3.93561e+02
    1.13831e-04     3.94657e+02
    1.14159e-04     3.95756e+02
    1.14489e-04     3.96858e+02
    1.14819e-04     3.97963e+02
    1.15150e-04     3.99071e+02
    1.15482e-04     4.00182e+02
    1.15815e-04     4.01297e+02
    1.16148e-04     4.02414e+02
    1.16483e-04     4.03535e+02
    1.16819e-04     4.04659e+02
    1.17156e-04     4.05786e+02
    1.17494e-04     4.06916e+02
    1.17832e-04     4.08049e+02
    1.18172e-04     4.09185e+02
    1.18513e-04     4.10324e+02
    1.18854e-04     4.11467e+02
    1.19197e-04     4.12613e+02
    1.19541e-04     4.13762e+02
    1.19885e-04     4.14914e+02
    1.20231e-04     4.16069e+02
    1.20578e-04     4.17228e+02
    1.20925e-04     4.18390e+02
    1.21274e-04     4.19555e+02
    1.21624e-04     4.20723e+02
    1.21974e-04     4.21894e+02
    1.22326e-04     4.23069e+02
    1.22679e-04     4.24247e+02
    1.23032e-04     4.25429e+02
    1.23387e-04     4.26613e+02
    1.23743e-04     4.27801e+02
    1.24099e-04     4.28992e+02
    1.24457e-04     4.30187e+02
    1.24816e-04     4.31385e+02
    1.25176e-04     4.32586e+02
    1.25537e-04     4.33790e+02
    1.25899e-04     4.34998e+02
    1.26262e-04     4.36209e+02
    1.26626e-04     4.37424e+02
    1.26991e-04     4.38642e+02
    1.27357e-04     4.39863e+02
    1.27724e-04     4.41088e+02
    1.28092e-04     4.42316e+02
    1.28461e-04     4.43548e+02
    1.28832e-04     4.44783e+02
    1.29203e-04     4.46021e+02
    1.29576e-04     4.47263e+02
    1.29949e-04     4.48508e+02
    1.30324e-04     4.49757e+02
    1.30700e-04     4.51009e+02
    1.31076e-04     4.52265e+02
    1.31454e-04     4.53524e+02
    1.31833e-04     4.54787e+02
    1.32213e-04     4.56053e+02
    1.32595e-04     4.57323e+02
    1.32977e-04     4.58596e+02
    1.33360e-04     4.59873e+02
    1.33745e-04     4.61153e+02
    1.34130e-04     4.62437e+02
    1.34517e-04     4.63725e+02
    1.34905e-04     4.65016e+02
    1.35294e-04     4.66311e+02
    1.35684e-04     4.67609e+02
    1.36075e-04     4.68911e+02
    1.36467e-04     4.70216e+02
    1.36861e-04     4.71525e+02
    1.37255e-04     4.72838e+02
    1.37651e-04     4.74155e+02
    1.38048e-04     4.75475e+02
    1.38446e-04     4.76798e+02
    1.38845e-04     4.78126e+02
    1.39245e-04     4.79457e+02
    1.39647e-04     4.80792e+02
    1.40049e-04     4.82130e+02
    1.40453e-04     4.83472e+02
    1.40858e-04     4.84818e+02
    1.41264e-04     4.86168e+02
    1.41671e-04     4.87522e+02
    1.42080e-04     4.88879e+02
    1.42489e-04     4.90240e+02
    1.42900e-04     4.91605e+02
    1.43312e-04     4.92973e+02
    1.43725e-04     4.94346e+02
    1.44140e-04     4.95722e+02
    1.44555e-04     4.97102e+02
    1.44972e-04     4.98486e+02
    1.45390e-04     4.99873e+02
    1.45809e-04     5.01265e+02
    1.46229e-04     5.02660e+02
