# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.81318e+03
    1.00288e-03     3.82348e+03
    1.00577e-03     3.83380e+03
    1.00867e-03     3.84416e+03
    1.01158e-03     3.85454e+03
    1.01450e-03     3.86494e+03
    1.01742e-03     3.87538e+03
    1.02036e-03     3.88584e+03
    1.02330e-03     3.89632e+03
    1.02625e-03     3.90684e+03
    1.02921e-03     3.91738e+03
    1.03217e-03     3.92794e+03
    1.03515e-03     3.93853e+03
    1.03813e-03     3.94915e+03
    1.04113e-03     3.95980e+03
    1.04413e-03     3.97047e+03
    1.04714e-03     3.98118e+03
    1.05016e-03     3.99190e+03
    1.05318e-03     4.00266e+03
    1.05622e-03     4.01344e+03
    1.05926e-03     4.02425e+03
    1.06232e-03     4.03509e+03
    1.06538e-03     4.04595e+03
    1.06845e-03     4.05684e+03
    1.07153e-03     4.06776e+03
    1.07462e-03     4.07871e+03
    1.07772e-03     4.08968e+03
    1.08083e-03     4.10068e+03
    1.08394e-03     4.11171e+03
    1.08707e-03     4.12277e+03
    1.09020e-03     4.13385e+03
    1.09334e-03     4.14496e+03
    1.09650e-03     4.15610e+03
    1.09966e-03     4.16727e+03
    1.10283e-03     4.17847e+03
    1.10601e-03     4.18969e+03
    1.10920e-03     4.20095e+03
    1.11239e-03     4.21223e+03
    1.11560e-03     4.22354e+03
    1.11882e-03     4.23487e+03
    1.12204e-03     4.24624e+03
    1.12528e-03     4.25764e+03
    1.12852e-03     4.26906e+03
    1.13177e-03     4.28051e+03
    1.13504e-03     4.29199e+03
    1.13831e-03     4.30350e+03
    1.14159e-03     4.31503e+03
    1.14488e-03     4.32660e+03
    1.14818e-03     4.33820e+03
    1.15149e-03     4.34982e+03
    1.15481e-03     4.36147e+03
    1.15814e-03     4.37315e+03
    1.16148e-03     4.38486e+03
    1.16483e-03     4.39660e+03
    1.16819e-03     4.40837e+03
    1.17155e-03     4.42017e+03
    1.17493e-03     4.43200e+03
    1.17832e-03     4.44385e+03
    1.18172e-03     4.45574e+03
    1.18512e-03     4.46766e+03
    1.18854e-03     4.47960e+03
    1.19197e-03     4.49157e+03
    1.19540e-03     4.50358e+03
    1.19885e-03     4.51561e+03
    1.20230e-03     4.52768e+03
    1.20577e-03     4.53977e+03
    1.20925e-03     4.55189e+03
    1.21273e-03     4.56404e+03
    1.21623e-03     4.57623e+03
    1.21973e-03     4.58844e+03
    1.22325e-03     4.60068e+03
    1.22678e-03     4.61296e+03
    1.23031e-03     4.62526e+03
    1.23386e-03     4.63759e+03
    1.23742e-03     4.64996e+03
    1.24099e-03     4.66235e+03
    1.24456e-03     4.67477e+03
    1.24815e-03     4.68723e+03
    1.25175e-03     4.69971e+03
    1.25536e-03     4.71223e+03
    1.25898e-03     4.72478e+03
    1.26261e-03     4.73735e+03
    1.26625e-03     4.74996e+03
    1.26990e-03     4.76260e+03
    1.27356e-03     4.77527e+03
    1.27723e-03     4.78797e+03
    1.28091e-03     4.80070e+03
    1.28460e-03     4.81346e+03
    1.28831e-03     4.82626e+03
    1.29202e-03     4.83908e+03
    1.29575e-03     4.85194e+03
    1.29948e-03     4.86482e+03
    1.30323e-03     4.87774e+03
    1.30699e-03     4.89069e+03
    1.31075e-03     4.90367e+03
    1.31453e-03     4.91668e+03
    1.31832e-03     4.92973e+03
    1.32212e-03     4.94280e+03
    1.32593e-03     4.95591e+03
    1.32976e-03     4.96905e+03
    1.33359e-03     4.98222e+03
    1.33743e-03     4.99542e+03
    1.34129e-03     5.00866e+03
    1.34516e-03     5.02192e+03
    1.34904e-03     5.03522e+03
    1.35292e-03     5.04855e+03
    1.35682e-03     5.06192e+03
    1.36074e-03     5.07531e+03
    1.36466e-03     5.08874e+03
    1.36859e-03     5.10220e+03
    1.37254e-03     5.11569e+03
    1.37650e-03     5.12921e+03
    1.38046e-03     5.14277e+03
    1.38444e-03     5.15636e+03
    1.38843e-03     5.16998e+03
    1.39244e-03     5.18363e+03
    1.39645e-03     5.19732e+03
    1.40048e-03     5.21104e+03
    1.40451e-03     5.22479e+03
    1.40856e-03     5.23857e+03
    1.41262e-03     5.25239e+03
    1.41670e-03     5.26624e+03
    1.42078e-03     5.28013e+03
    1.42488e-03     5.29404e+03
    1.42899e-03     5.30799e+03
    1.43310e-03     5.32198e+03
    1.43724e-03     5.33599e+03
    1.44138e-03     5.35004e+03
    1.44553e-03     5.36413e+03
    1.44970e-03     5.37824e+03
    1.45388e-03     5.39239e+03
    1.45807e-03     5.40658e+03
    1.46228e-03     5.42079e+03
    1.46649e-03     5.43504e+03
    1.47072e-03     5.44933e+03
    1.47496e-03     5.46365e+03
    1.47921e-03     5.47800e+03
    1.48348e-03     5.49239e+03
    1.48775e-03     5.50681e+03
    1.49204e-03     5.52126e+03
    1.49634e-03     5.53575e+03
    1.50066e-03     5.55027e+03
    1.50498e-03     5.56483e+03
    1.50932e-03     5.57942e+03
    1.51367e-03     5.59404e+03
    1.51804e-03     5.60870e+03
    1.52241e-03     5.62339e+03
    1.52680e-03     5.63812e+03
    1.53120e-03     5.65288e+03
    1.53562e-03     5.66768e+03
    1.54005e-03     5.68251e+03
    1.54449e-03     5.69738e+03
    1.54894e-03     5.71228e+03
    1.55340e-03     5.72721e+03
    1.55788e-03     5.74218e+03
    1.56237e-03     5.75718e+03
    1.56688e-03     5.77222e+03
    1.57139e-03     5.78730e+03
    1.57592e-03     5.80241e+03
    1.58047e-03     5.81755e+03
    1.58502e-03     5.83273e+03
    1.58959e-03     5.84795e+03
    1.59418e-03     5.86320e+03
    1.59877e-03     5.87848e+03
    1.60338e-03     5.89380e+03
    1.60800e-03     5.90916e+03
    1.61264e-03     5.92455e+03
    1.61729e-03     5.93997e+03
    1.62195e-03     5.95544e+03
    1.62663e-03     5.97093e+03
    1.63132e-03     5.98647e+03
    1.63602e-03     6.00203e+03
    1.64073e-03     6.01764e+03
    1.64546e-03     6.03328e+03
    1.65021e-03     6.04895e+03
    1.65497e-03     6.06467e+03
    1.65974e-03     6.08041e+03
    1.66452e-03     6.09620e+03
    1.66932e-03     6.11201e+03
    1.67413e-03     6.12787e+03
    1.67896e-03     6.14376e+03
    1.68380e-03     6.15969e+03
    1.68865e-03     6.17565e+03
    1.69352e-03     6.19165e+03
    1.69840e-03     6.20769e+03
    1.70330e-03     6.22376e+03
    1.70821e-03     6.23987e+03
    1.71314e-03     6.25601e+03
    1.71807e-03     6.27219e+03
    1.72303e-03     6.28841e+03
    1.72799e-03     6.30467e+03
    1.73298e-03     6.32096e+03
    1.73797e-03     6.33728e+03
    1.74298e-03     6.35365e+03
    1.74801e-03     6.37005e+03
    1.75305e-03     6.38649e+03
    1.75810e-03     6.40296e+03
    1.76317e-03     6.41947e+03
    1.76825e-03     6.43602e+03
    1.77335e-03     6.45261e+03
    1.77846e-03     6.46923e+03
    1.78359e-03     6.48589e+03
    1.78873e-03     6.50259e+03
    1.79389e-03     6.51932e+03
    1.79906e-03     6.53609e+03
    1.80425e-03     6.55290e+03
    1.80945e-03     6.56974e+03
    1.81466e-03     6.58663e+03
    1.81990e-03     6.60355e+03
    1.82514e-03     6.62050e+03
    1.83040e-03     6.63750e+03
    1.83568e-03     6.65453e+03
    1.84097e-03     6.67160e+03
    1.84628e-03     6.68871e+03
    1.85160e-03     6.70585e+03
    1.85694e-03     6.72304e+03
    1.86229e-03     6.74026e+03
    1.86766e-03     6.75751e+03
    1.87305e-03     6.77481e+03
