# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.71283e+02
    1.00578e-04     3.73396e+02
    1.01158e-04     3.75520e+02
    1.01743e-04     3.77656e+02
    1.02330e-04     3.79804e+02
    1.02921e-04     3.81965e+02
    1.03516e-04     3.84138e+02
    1.04114e-04     3.86323e+02
    1.04715e-04     3.88520e+02
    1.05320e-04     3.90731e+02
    1.05928e-04     3.92953e+02
    1.06540e-04     3.95188e+02
    1.07155e-04     3.97436e+02
    1.07774e-04     3.99697e+02
    1.08396e-04     4.01971e+02
    1.09022e-04     4.04257e+02
    1.09652e-04     4.06557e+02
    1.10285e-04     4.08869e+02
    1.10922e-04     4.11195e+02
    1.11563e-04     4.13534e+02
    1.12207e-04     4.15886e+02
    1.12855e-04     4.18252e+02
    1.13507e-04     4.20631e+02
    1.14163e-04     4.23023e+02
    1.14822e-04     4.25430e+02
    1.15485e-04     4.27849e+02
    1.16152e-04     4.30283e+02
    1.16823e-04     4.32730e+02
    1.17498e-04     4.35191e+02
    1.18176e-04     4.37667e+02
    1.18859e-04     4.40156e+02
    1.19545e-04     4.42659e+02
    1.20236e-04     4.45177e+02
    1.20930e-04     4.47709e+02
    1.21629e-04     4.50255e+02
    1.22331e-04     4.52816e+02
    1.23038e-04     4.55392e+02
    1.23748e-04     4.57982e+02
    1.24463e-04     4.60586e+02
    1.25182e-04     4.63206e+02
    1.25905e-04     4.65840e+02
    1.26632e-04     4.68489e+02
    1.27363e-04     4.71154e+02
    1.28099e-04     4.73833e+02
    1.28839e-04     4.76528e+02
    1.29583e-04     4.79238e+02
    1.30331e-04     4.81963e+02
    1.31084e-04     4.84704e+02
    1.31841e-04     4.87461e+02
    1.32602e-04     4.90233e+02
    1.33368e-04     4.93020e+02
    1.34138e-04     4.95824e+02
    1.34913e-04     4.98644e+02
    1.35692e-04     5.01479e+02
    1.36476e-04     5.04331e+02
    1.37264e-04     5.07199e+02
    1.38057e-04     5.10083e+02
    1.38854e-04     5.12983e+02
    1.39656e-04     5.15900e+02
    1.40463e-04     5.18834e+02
    1.41274e-04     5.21784e+02
    1.42090e-04     5.24751e+02
    1.42911e-04     5.27734e+02
    1.43736e-04     5.30735e+02
    1.44566e-04     5.33753e+02
    1.45401e-04     5.36787e+02
    1.46241e-04     5.39840e+02
    1.47085e-04     5.42909e+02
    1.47935e-04     5.45996e+02
    1.48789e-04     5.49100e+02
    1.49649e-04     5.52222e+02
    1.50513e-04     5.55361e+02
    1.51382e-04     5.58519e+02
    1.52257e-04     5.61694e+02
    1.53136e-04     5.64887e+02
    1.54020e-04     5.68099e+02
    1.54910e-04     5.71329e+02
    1.55805e-04     5.74576e+02
    1.56704e-04     5.77843e+02
    1.57609e-04     5.81128e+02
    1.58520e-04     5.84431e+02
    1.59435e-04     5.87754e+02
    1.60356e-04     5.91095e+02
    1.61282e-04     5.94455e+02
    1.62214e-04     5.97834e+02
    1.63151e-04     6.01232e+02
    1.64093e-04     6.04650e+02
    1.65041e-04     6.08087e+02
    1.65994e-04     6.11543e+02
    1.66952e-04     6.15019e+02
    1.67917e-04     6.18515e+02
    1.68886e-04     6.22030e+02
    1.69862e-04     6.25566e+02
    1.70843e-04     6.29121e+02
    1.71830e-04     6.32697e+02
    1.72822e-04     6.36293e+02
    1.73820e-04     6.39909e+02
    1.74824e-04     6.43546e+02
    1.75834e-04     6.47203e+02
    1.76849e-04     6.50882e+02
    1.77871e-04     6.54581e+02
    1.78898e-04     6.58300e+02
    1.79931e-04     6.62041e+02
    1.80970e-04     6.65804e+02
    1.82016e-04     6.69587e+02
    1.83067e-04     6.73392e+02
    1.84124e-04     6.77219e+02
    1.85187e-04     6.81067e+02
    1.86257e-04     6.84937e+02
    1.87333e-04     6.88829e+02
    1.88415e-04     6.92743e+02
    1.89503e-04     6.96679e+02
    1.90597e-04     7.00637e+02
    1.91698e-04     7.04618e+02
    1.92805e-04     7.08621e+02
    1.93919e-04     7.12647e+02
    1.95039e-04     7.16696e+02
    1.96165e-04     7.20768e+02
    1.97298e-04     7.24862e+02
    1.98438e-04     7.28980e+02
    1.99584e-04     7.33121e+02
    2.00736e-04     7.37286e+02
    2.01896e-04     7.41474e+02
    2.03062e-04     7.45686e+02
    2.04235e-04     7.49922e+02
    2.05414e-04     7.54182e+02
    2.06600e-04     7.58466e+02
    2.07794e-04     7.62774e+02
    2.08994e-04     7.67106e+02
    2.10201e-04     7.71463e+02
    2.11415e-04     7.75845e+02
    2.12636e-04     7.80251e+02
    2.13864e-04     7.84682e+02
    2.15099e-04     7.89139e+02
    2.16341e-04     7.93620e+02
    2.17591e-04     7.98127e+02
    2.18848e-04     8.02659e+02
    2.20112e-04     8.07217e+02
    2.21383e-04     8.11801e+02
    2.22661e-04     8.16411e+02
    2.23947e-04     8.21047e+02
    2.25241e-04     8.25709e+02
    2.26542e-04     8.30397e+02
    2.27850e-04     8.35112e+02
    2.29166e-04     8.39853e+02
    2.30489e-04     8.44621e+02
    2.31821e-04     8.49416e+02
    2.33160e-04     8.54239e+02
    2.34506e-04     8.59088e+02
    2.35861e-04     8.63965e+02
    2.37223e-04     8.68869e+02
    2.38593e-04     8.73801e+02
    2.39971e-04     8.78761e+02
    2.41357e-04     8.83749e+02
    2.42751e-04     8.88765e+02
    2.44153e-04     8.93809e+02
    2.45563e-04     8.98882e+02
    2.46981e-04     9.03984e+02
    2.48407e-04     9.09114e+02
    2.49842e-04     9.14273e+02
    2.51285e-04     9.19462e+02
    2.52736e-04     9.24679e+02
    2.54196e-04     9.29926e+02
    2.55664e-04     9.35203e+02
    2.57141e-04     9.40509e+02
    2.58626e-04     9.45846e+02
    2.60120e-04     9.51212e+02
    2.61622e-04     9.56609e+02
    2.63133e-04     9.62036e+02
    2.64653e-04     9.67494e+02
    2.66181e-04     9.72982e+02
    2.67718e-04     9.78502e+02
    2.69265e-04     9.84052e+02
    2.70820e-04     9.89634e+02
    2.72384e-04     9.95247e+02
    2.73957e-04     1.00089e+03
    2.75539e-04     1.00657e+03
    2.77131e-04     1.01228e+03
    2.78731e-04     1.01802e+03
    2.80341e-04     1.02379e+03
    2.81960e-04     1.02960e+03
    2.83589e-04     1.03543e+03
    2.85226e-04     1.04131e+03
    2.86874e-04     1.04721e+03
    2.88531e-04     1.05315e+03
    2.90197e-04     1.05912e+03
    2.91873e-04     1.06512e+03
    2.93559e-04     1.07116e+03
    2.95254e-04     1.07723e+03
    2.96959e-04     1.08334e+03
    2.98674e-04     1.08948e+03
    3.00399e-04     1.09566e+03
    3.02134e-04     1.10187e+03
    3.03879e-04     1.10811e+03
    3.05634e-04     1.11439e+03
    3.07400e-04     1.12071e+03
    3.09175e-04     1.12706e+03
    3.10961e-04     1.13344e+03
    3.12756e-04     1.13986e+03
    3.14563e-04     1.14632e+03
    3.16380e-04     1.15282e+03
    3.18207e-04     1.15935e+03
    3.20045e-04     1.16592e+03
    3.21893e-04     1.17252e+03
    3.23752e-04     1.17916e+03
    3.25622e-04     1.18584e+03
    3.27503e-04     1.19256e+03
    3.29394e-04     1.19931e+03
    3.31296e-04     1.20610e+03
    3.33210e-04     1.21293e+03
    3.35134e-04     1.21980e+03
    3.37070e-04     1.22671e+03
    3.39017e-04     1.23365e+03
    3.40975e-04     1.24064e+03
    3.42944e-04     1.24766e+03
    3.44925e-04     1.25473e+03
    3.46917e-04     1.26183e+03
    3.48920e-04     1.26897e+03
    3.50935e-04     1.27615e+03
    3.52962e-04     1.28338e+03
    3.55001e-04     1.29064e+03
    3.57051e-04     1.29794e+03
    3.59113e-04     1.30529e+03
    3.61187e-04     1.31267e+03
    3.63273e-04     1.32010e+03
    3.65371e-04     1.32757e+03
    3.67482e-04     1.33508e+03
    3.69604e-04     1.34263e+03
    3.71739e-04     1.35022e+03
    3.73886e-04     1.35786e+03
    3.76045e-04     1.36554e+03
    3.78217e-04     1.37326e+03
    3.80401e-04     1.38103e+03
    3.82598e-04     1.38884e+03
    3.84808e-04     1.39669e+03
    3.87030e-04     1.40459e+03
    3.89266e-04     1.41253e+03
    3.91514e-04     1.42051e+03
    3.93775e-04     1.42854e+03
    3.96049e-04     1.43661e+03
