# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.49228e+02
    1.00288e-04     3.50220e+02
    1.00577e-04     3.51214e+02
    1.00867e-04     3.52212e+02
    1.01158e-04     3.53212e+02
    1.01450e-04     3.54215e+02
    1.01742e-04     3.55221e+02
    1.02036e-04     3.56229e+02
    1.02330e-04     3.57241e+02
    1.02625e-04     3.58256e+02
    1.02921e-04     3.59273e+02
    1.03217e-04     3.60293e+02
    1.03515e-04     3.61316e+02
    1.03813e-04     3.62342e+02
    1.04113e-04     3.63371e+02
    1.04413e-04     3.64403e+02
    1.04714e-04     3.65438e+02
    1.05016e-04     3.66475e+02
    1.05319e-04     3.67516e+02
    1.05622e-04     3.68560e+02
    1.05927e-04     3.69606e+02
    1.06232e-04     3.70656e+02
    1.06538e-04     3.71708e+02
    1.06845e-04     3.72764e+02
    1.07153e-04     3.73822e+02
    1.07462e-04     3.74884e+02
    1.07772e-04     3.75948e+02
    1.08083e-04     3.77016e+02
    1.08395e-04     3.78086e+02
    1.08707e-04     3.79160e+02
    1.09020e-04     3.80237e+02
    1.09335e-04     3.81316e+02
    1.09650e-04     3.82399e+02
    1.09966e-04     3.83485e+02
    1.10283e-04     3.84574e+02
    1.10601e-04     3.85666e+02
    1.10920e-04     3.86761e+02
    1.11240e-04     3.87859e+02
    1.11560e-04     3.88960e+02
    1.11882e-04     3.90065e+02
    1.12205e-04     3.91172e+02
    1.12528e-04     3.92283e+02
    1.12852e-04     3.93397e+02
    1.13178e-04     3.94514e+02
    1.13504e-04     3.95634e+02
    1.13831e-04     3.96757e+02
    1.14159e-04     3.97884e+02
    1.14489e-04     3.99013e+02
    1.14819e-04     4.00146e+02
    1.15150e-04     4.01283e+02
    1.15482e-04     4.02422e+02
    1.15815e-04     4.03565e+02
    1.16148e-04     4.04710e+02
    1.16483e-04     4.05859e+02
    1.16819e-04     4.07012e+02
    1.17156e-04     4.08167e+02
    1.17494e-04     4.09326e+02
    1.17832e-04     4.10488e+02
    1.18172e-04     4.11654e+02
    1.18513e-04     4.12823e+02
    1.18854e-04     4.13995e+02
    1.19197e-04     4.15170e+02
    1.19541e-04     4.16349e+02
    1.19885e-04     4.17531e+02
    1.20231e-04     4.18716e+02
    1.20578e-04     4.19905e+02
    1.20925e-04     4.21097e+02
    1.21274e-04     4.22293e+02
    1.21624e-04     4.23492e+02
