# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.65670e+02
    1.00288e-04     4.66992e+02
    1.00577e-04     4.68318e+02
    1.00867e-04     4.69648e+02
    1.01158e-04     4.70981e+02
    1.01450e-04     4.72319e+02
    1.01742e-04     4.73660e+02
    1.02036e-04     4.75005e+02
    1.02330e-04     4.76353e+02
    1.02625e-04     4.77706e+02
    1.02921e-04     4.79062e+02
    1.03217e-04     4.80423e+02
    1.03515e-04     4.81787e+02
    1.03813e-04     4.83155e+02
    1.04113e-04     4.84527e+02
    1.04413e-04     4.85902e+02
    1.04714e-04     4.87282e+02
    1.05016e-04     4.88666e+02
    1.05319e-04     4.90053e+02
    1.05622e-04     4.91444e+02
    1.05927e-04     4.92840e+02
    1.06232e-04     4.94239e+02
    1.06538e-04     4.95642e+02
    1.06845e-04     4.97050e+02
    1.07153e-04     4.98461e+02
    1.07462e-04     4.99876e+02
    1.07772e-04     5.01296e+02
    1.08083e-04     5.02719e+02
    1.08395e-04     5.04146e+02
    1.08707e-04     5.05578e+02
    1.09020e-04     5.07013e+02
    1.09335e-04     5.08453e+02
    1.09650e-04     5.09896e+02
    1.09966e-04     5.11344e+02
    1.10283e-04     5.12796e+02
    1.10601e-04     5.14252e+02
    1.10920e-04     5.15712e+02
    1.11240e-04     5.17176e+02
    1.11560e-04     5.18644e+02
    1.11882e-04     5.20117e+02
    1.12205e-04     5.21593e+02
    1.12528e-04     5.23074e+02
    1.12852e-04     5.24559e+02
    1.13178e-04     5.26048e+02
    1.13504e-04     5.27542e+02
    1.13831e-04     5.29040e+02
    1.14159e-04     5.30542e+02
    1.14489e-04     5.32048e+02
    1.14819e-04     5.33558e+02
    1.15150e-04     5.35073e+02
    1.15482e-04     5.36592e+02
    1.15815e-04     5.38115e+02
    1.16148e-04     5.39643e+02
    1.16483e-04     5.41175e+02
    1.16819e-04     5.42712e+02
    1.17156e-04     5.44252e+02
    1.17494e-04     5.45797e+02
    1.17832e-04     5.47347e+02
    1.18172e-04     5.48901e+02
    1.18513e-04     5.50459e+02
    1.18854e-04     5.52022e+02
    1.19197e-04     5.53589e+02
    1.19541e-04     5.55160e+02
    1.19885e-04     5.56736e+02
    1.20231e-04     5.58317e+02
    1.20578e-04     5.59902e+02
    1.20925e-04     5.61491e+02
    1.21274e-04     5.63085e+02
    1.21624e-04     5.64683e+02
    1.21974e-04     5.66286e+02
    1.22326e-04     5.67894e+02
    1.22679e-04     5.69506e+02
    1.23032e-04     5.71123e+02
    1.23387e-04     5.72744e+02
    1.23743e-04     5.74370e+02
    1.24099e-04     5.76000e+02
    1.24457e-04     5.77635e+02
    1.24816e-04     5.79275e+02
    1.25176e-04     5.80919e+02
    1.25537e-04     5.82568e+02
    1.25899e-04     5.84222e+02
    1.26262e-04     5.85880e+02
    1.26626e-04     5.87543e+02
    1.26991e-04     5.89211e+02
    1.27357e-04     5.90884e+02
    1.27724e-04     5.92561e+02
    1.28092e-04     5.94243e+02
    1.28461e-04     5.95930e+02
    1.28832e-04     5.97621e+02
    1.29203e-04     5.99317e+02
    1.29576e-04     6.01019e+02
    1.29949e-04     6.02725e+02
    1.30324e-04     6.04435e+02
    1.30700e-04     6.06151e+02
    1.31076e-04     6.07871e+02
    1.31454e-04     6.09597e+02
    1.31833e-04     6.11327e+02
    1.32213e-04     6.13062e+02
    1.32595e-04     6.14802e+02
    1.32977e-04     6.16547e+02
    1.33360e-04     6.18297e+02
    1.33745e-04     6.20052e+02
    1.34130e-04     6.21812e+02
    1.34517e-04     6.23577e+02
    1.34905e-04     6.25347e+02
    1.35294e-04     6.27121e+02
    1.35684e-04     6.28901e+02
    1.36075e-04     6.30686e+02
    1.36467e-04     6.32476e+02
    1.36861e-04     6.34271e+02
    1.37255e-04     6.36071e+02
    1.37651e-04     6.37877e+02
    1.38048e-04     6.39687e+02
    1.38446e-04     6.41503e+02
    1.38845e-04     6.43323e+02
    1.39245e-04     6.45149e+02
    1.39647e-04     6.46980e+02
    1.40049e-04     6.48816e+02
    1.40453e-04     6.50657e+02
    1.40858e-04     6.52504e+02
    1.41264e-04     6.54356e+02
    1.41671e-04     6.56213e+02
    1.42080e-04     6.58075e+02
    1.42489e-04     6.59942e+02
    1.42900e-04     6.61815e+02
    1.43312e-04     6.63693e+02
    1.43725e-04     6.65577e+02
    1.44140e-04     6.67466e+02
    1.44555e-04     6.69360e+02
    1.44972e-04     6.71259e+02
    1.45390e-04     6.73164e+02
    1.45809e-04     6.75074e+02
    1.46229e-04     6.76990e+02
    1.46651e-04     6.78911e+02
    1.47074e-04     6.80838e+02
    1.47498e-04     6.82770e+02
    1.47923e-04     6.84707e+02
    1.48349e-04     6.86650e+02
    1.48777e-04     6.88598e+02
    1.49206e-04     6.90552e+02
    1.49636e-04     6.92512e+02
    1.50068e-04     6.94477e+02
    1.50500e-04     6.96447e+02
    1.50934e-04     6.98424e+02
    1.51369e-04     7.00405e+02
    1.51806e-04     7.02393e+02
    1.52243e-04     7.04386e+02
    1.52682e-04     7.06384e+02
    1.53122e-04     7.08389e+02
    1.53564e-04     7.10399e+02
    1.54007e-04     7.12414e+02
    1.54451e-04     7.14436e+02
    1.54896e-04     7.16463e+02
    1.55342e-04     7.18495e+02
    1.55790e-04     7.20534e+02
    1.56239e-04     7.22578e+02
    1.56690e-04     7.24628e+02
    1.57141e-04     7.26684e+02
    1.57595e-04     7.28746e+02
    1.58049e-04     7.30814e+02
    1.58505e-04     7.32887e+02
    1.58961e-04     7.34966e+02
    1.59420e-04     7.37052e+02
    1.59879e-04     7.39143e+02
    1.60340e-04     7.41240e+02
    1.60803e-04     7.43342e+02
    1.61266e-04     7.45451e+02
    1.61731e-04     7.47566e+02
    1.62197e-04     7.49687e+02
    1.62665e-04     7.51814e+02
    1.63134e-04     7.53947e+02
    1.63604e-04     7.56085e+02
    1.64076e-04     7.58230e+02
    1.64549e-04     7.60381e+02
    1.65023e-04     7.62538e+02
    1.65499e-04     7.64701e+02
    1.65976e-04     7.66871e+02
    1.66455e-04     7.69046e+02
    1.66935e-04     7.71228e+02
    1.67416e-04     7.73415e+02
    1.67899e-04     7.75609e+02
    1.68383e-04     7.77809e+02
    1.68868e-04     7.80016e+02
    1.69355e-04     7.82228e+02
    1.69843e-04     7.84447e+02
    1.70333e-04     7.86672e+02
    1.70824e-04     7.88904e+02
    1.71316e-04     7.91141e+02
    1.71810e-04     7.93385e+02
    1.72306e-04     7.95636e+02
    1.72802e-04     7.97893e+02
    1.73300e-04     8.00156e+02
    1.73800e-04     8.02425e+02
    1.74301e-04     8.04701e+02
    1.74804e-04     8.06983e+02
    1.75308e-04     8.09272e+02
    1.75813e-04     8.11568e+02
    1.76320e-04     8.13869e+02
    1.76828e-04     8.16178e+02
    1.77338e-04     8.18492e+02
    1.77849e-04     8.20814e+02
    1.78362e-04     8.23142e+02
    1.78876e-04     8.25476e+02
    1.79392e-04     8.27817e+02
    1.79909e-04     8.30165e+02
    1.80428e-04     8.32519e+02
    1.80948e-04     8.34880e+02
    1.81470e-04     8.37248e+02
    1.81993e-04     8.39622e+02
    1.82517e-04     8.42003e+02
    1.83044e-04     8.44391e+02
    1.83571e-04     8.46785e+02
    1.84101e-04     8.49187e+02
    1.84631e-04     8.51595e+02
    1.85164e-04     8.54010e+02
    1.85697e-04     8.56431e+02
    1.86233e-04     8.58860e+02
    1.86770e-04     8.61295e+02
    1.87308e-04     8.63738e+02
    1.87848e-04     8.66187e+02
    1.88390e-04     8.68643e+02
    1.88933e-04     8.71106e+02
    1.89478e-04     8.73576e+02
    1.90024e-04     8.76053e+02
    1.90572e-04     8.78537e+02
    1.91121e-04     8.81028e+02
    1.91672e-04     8.83526e+02
    1.92225e-04     8.86031e+02
    1.92779e-04     8.88543e+02
    1.93335e-04     8.91062e+02
    1.93892e-04     8.93588e+02
    1.94451e-04     8.96122e+02
    1.95012e-04     8.98662e+02
    1.95574e-04     9.01210e+02
    1.96138e-04     9.03765e+02
    1.96703e-04     9.06327e+02
    1.97270e-04     9.08897e+02
    1.97839e-04     9.11473e+02
    1.98409e-04     9.14057e+02
    1.98981e-04     9.16649e+02
    1.99555e-04     9.19247e+02
    2.00130e-04     9.21853e+02
    2.00707e-04     9.24466e+02
    2.01286e-04     9.27087e+02
    2.01866e-04     9.29715e+02
    2.02448e-04     9.32350e+02
    2.03032e-04     9.34993e+02
    2.03617e-04     9.37644e+02
    2.04204e-04     9.40301e+02
    2.04793e-04     9.42967e+02
    2.05383e-04     9.45640e+02
    2.05975e-04     9.48320e+02
    2.06569e-04     9.51008e+02
    2.07165e-04     9.53703e+02
    2.07762e-04     9.56407e+02
    2.08361e-04     9.59117e+02
    2.08962e-04     9.61836e+02
    2.09564e-04     9.64562e+02
    2.10168e-04     9.67295e+02
    2.10774e-04     9.70037e+02
    2.11382e-04     9.72786e+02
    2.11991e-04     9.75543e+02
    2.12602e-04     9.78308e+02
    2.13215e-04     9.81080e+02
    2.13830e-04     9.83861e+02
    2.14447e-04     9.86649e+02
    2.15065e-04     9.89445e+02
    2.15685e-04     9.92249e+02
    2.16307e-04     9.95061e+02
    2.16930e-04     9.97880e+02
    2.17556e-04     1.00071e+03
    2.18183e-04     1.00354e+03
    2.18812e-04     1.00639e+03
    2.19443e-04     1.00924e+03
    2.20075e-04     1.01210e+03
    2.20710e-04     1.01497e+03
    2.21346e-04     1.01784e+03
    2.21984e-04     1.02073e+03
    2.22624e-04     1.02362e+03
    2.23266e-04     1.02652e+03
    2.23910e-04     1.02943e+03
    2.24555e-04     1.03234e+03
    2.25203e-04     1.03527e+03
    2.25852e-04     1.03820e+03
    2.26503e-04     1.04114e+03
    2.27156e-04     1.04409e+03
    2.27811e-04     1.04705e+03
    2.28468e-04     1.05002e+03
    2.29126e-04     1.05299e+03
    2.29787e-04     1.05597e+03
    2.30449e-04     1.05897e+03
    2.31114e-04     1.06197e+03
    2.31780e-04     1.06497e+03
    2.32448e-04     1.06799e+03
    2.33118e-04     1.07102e+03
    2.33790e-04     1.07405e+03
    2.34465e-04     1.07709e+03
    2.35140e-04     1.08014e+03
    2.35818e-04     1.08320e+03
    2.36498e-04     1.08627e+03
    2.37180e-04     1.08935e+03
    2.37864e-04     1.09243e+03
    2.38550e-04     1.09553e+03
    2.39237e-04     1.09863e+03
    2.39927e-04     1.10174e+03
    2.40619e-04     1.10486e+03
    2.41312e-04     1.10799e+03
    2.42008e-04     1.11113e+03
    2.42706e-04     1.11427e+03
    2.43406e-04     1.11743e+03
    2.44107e-04     1.12059e+03
    2.44811e-04     1.12377e+03
    2.45517e-04     1.12695e+03
    2.46225e-04     1.13014e+03
