# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     2.70386e+02
    1.00288e-04     2.71154e+02
    1.00577e-04     2.71924e+02
    1.00867e-04     2.72697e+02
    1.01158e-04     2.73471e+02
    1.01450e-04     2.74248e+02
    1.01742e-04     2.75027e+02
    1.02036e-04     2.75808e+02
    1.02330e-04     2.76591e+02
    1.02625e-04     2.77376e+02
    1.02921e-04     2.78164e+02
    1.03217e-04     2.78954e+02
    1.03515e-04     2.79746e+02
    1.03813e-04     2.80541e+02
    1.04113e-04     2.81337e+02
    1.04413e-04     2.82136e+02
    1.04714e-04     2.82938e+02
    1.05016e-04     2.83741e+02
    1.05319e-04     2.84547e+02
    1.05622e-04     2.85355e+02
    1.05927e-04     2.86165e+02
    1.06232e-04     2.86978e+02
    1.06538e-04     2.87793e+02
    1.06845e-04     2.88610e+02
    1.07153e-04     2.89430e+02
    1.07462e-04     2.90252e+02
    1.07772e-04     2.91076e+02
    1.08083e-04     2.91902e+02
    1.08395e-04     2.92731e+02
    1.08707e-04     2.93563e+02
    1.09020e-04     2.94396e+02
    1.09335e-04     2.95232e+02
    1.09650e-04     2.96071e+02
    1.09966e-04     2.96911e+02
    1.10283e-04     2.97755e+02
    1.10601e-04     2.98600e+02
    1.10920e-04     2.99448e+02
    1.11240e-04     3.00298e+02
    1.11560e-04     3.01151e+02
    1.11882e-04     3.02006e+02
    1.12205e-04     3.02864e+02
    1.12528e-04     3.03724e+02
    1.12852e-04     3.04586e+02
    1.13178e-04     3.05451e+02
    1.13504e-04     3.06319e+02
    1.13831e-04     3.07188e+02
    1.14159e-04     3.08061e+02
    1.14489e-04     3.08935e+02
    1.14819e-04     3.09813e+02
    1.15150e-04     3.10692e+02
    1.15482e-04     3.11575e+02
    1.15815e-04     3.12459e+02
    1.16148e-04     3.13347e+02
    1.16483e-04     3.14236e+02
    1.16819e-04     3.15129e+02
    1.17156e-04     3.16024e+02
    1.17494e-04     3.16921e+02
    1.17832e-04     3.17821e+02
    1.18172e-04     3.18723e+02
    1.18513e-04     3.19628e+02
    1.18854e-04     3.20536e+02
    1.19197e-04     3.21446e+02
    1.19541e-04     3.22359e+02
    1.19885e-04     3.23274e+02
    1.20231e-04     3.24192e+02
    1.20578e-04     3.25112e+02
    1.20925e-04     3.26036e+02
    1.21274e-04     3.26961e+02
    1.21624e-04     3.27890e+02
    1.21974e-04     3.28821e+02
    1.22326e-04     3.29754e+02
    1.22679e-04     3.30691e+02
    1.23032e-04     3.31630e+02
    1.23387e-04     3.32571e+02
    1.23743e-04     3.33515e+02
    1.24099e-04     3.34462e+02
    1.24457e-04     3.35412e+02
    1.24816e-04     3.36364e+02
    1.25176e-04     3.37319e+02
    1.25537e-04     3.38277e+02
    1.25899e-04     3.39238e+02
    1.26262e-04     3.40201e+02
    1.26626e-04     3.41167e+02
    1.26991e-04     3.42135e+02
    1.27357e-04     3.43107e+02
    1.27724e-04     3.44081e+02
    1.28092e-04     3.45058e+02
    1.28461e-04     3.46038e+02
    1.28832e-04     3.47020e+02
    1.29203e-04     3.48005e+02
    1.29576e-04     3.48993e+02
    1.29949e-04     3.49984e+02
    1.30324e-04     3.50978e+02
    1.30700e-04     3.51974e+02
    1.31076e-04     3.52974e+02
    1.31454e-04     3.53976e+02
    1.31833e-04     3.54981e+02
    1.32213e-04     3.55989e+02
    1.32595e-04     3.56999e+02
    1.32977e-04     3.58013e+02
    1.33360e-04     3.59029e+02
    1.33745e-04     3.60048e+02
    1.34130e-04     3.61071e+02
    1.34517e-04     3.62096e+02
    1.34905e-04     3.63124e+02
    1.35294e-04     3.64155e+02
    1.35684e-04     3.65188e+02
    1.36075e-04     3.66225e+02
    1.36467e-04     3.67265e+02
    1.36861e-04     3.68308e+02
    1.37255e-04     3.69353e+02
    1.37651e-04     3.70402e+02
    1.38048e-04     3.71453e+02
    1.38446e-04     3.72508e+02
    1.38845e-04     3.73565e+02
    1.39245e-04     3.74626e+02
    1.39647e-04     3.75689e+02
    1.40049e-04     3.76756e+02
    1.40453e-04     3.77825e+02
    1.40858e-04     3.78898e+02
    1.41264e-04     3.79974e+02
    1.41671e-04     3.81052e+02
    1.42080e-04     3.82134e+02
    1.42489e-04     3.83219e+02
    1.42900e-04     3.84307e+02
    1.43312e-04     3.85398e+02
    1.43725e-04     3.86492e+02
    1.44140e-04     3.87589e+02
    1.44555e-04     3.88689e+02
    1.44972e-04     3.89792e+02
    1.45390e-04     3.90899e+02
    1.45809e-04     3.92008e+02
    1.46229e-04     3.93121e+02
    1.46651e-04     3.94237e+02
    1.47074e-04     3.95356e+02
    1.47498e-04     3.96479e+02
    1.47923e-04     3.97604e+02
    1.48349e-04     3.98733e+02
    1.48777e-04     3.99864e+02
    1.49206e-04     4.00999e+02
    1.49636e-04     4.02138e+02
    1.50068e-04     4.03279e+02
    1.50500e-04     4.04424e+02
    1.50934e-04     4.05572e+02
    1.51369e-04     4.06723e+02
    1.51806e-04     4.07877e+02
    1.52243e-04     4.09035e+02
    1.52682e-04     4.10196e+02
    1.53122e-04     4.11361e+02
    1.53564e-04     4.12528e+02
    1.54007e-04     4.13699e+02
    1.54451e-04     4.14873e+02
    1.54896e-04     4.16051e+02
    1.55342e-04     4.17232e+02
    1.55790e-04     4.18416e+02
    1.56239e-04     4.19604e+02
    1.56690e-04     4.20794e+02
    1.57141e-04     4.21989e+02
    1.57595e-04     4.23186e+02
    1.58049e-04     4.24388e+02
    1.58505e-04     4.25592e+02
    1.58961e-04     4.26800e+02
    1.59420e-04     4.28011e+02
    1.59879e-04     4.29226e+02
    1.60340e-04     4.30444e+02
    1.60803e-04     4.31666e+02
    1.61266e-04     4.32891e+02
    1.61731e-04     4.34120e+02
    1.62197e-04     4.35352e+02
    1.62665e-04     4.36587e+02
    1.63134e-04     4.37826e+02
    1.63604e-04     4.39069e+02
    1.64076e-04     4.40315e+02
    1.64549e-04     4.41565e+02
    1.65023e-04     4.42818e+02
    1.65499e-04     4.44074e+02
    1.65976e-04     4.45335e+02
    1.66455e-04     4.46598e+02
    1.66935e-04     4.47866e+02
    1.67416e-04     4.49137e+02
    1.67899e-04     4.50411e+02
    1.68383e-04     4.51690e+02
    1.68868e-04     4.52971e+02
    1.69355e-04     4.54257e+02
    1.69843e-04     4.55546e+02
    1.70333e-04     4.56839e+02
    1.70824e-04     4.58135e+02
    1.71316e-04     4.59435e+02
    1.71810e-04     4.60739e+02
    1.72306e-04     4.62046e+02
    1.72802e-04     4.63358e+02
    1.73300e-04     4.64672e+02
    1.73800e-04     4.65991e+02
    1.74301e-04     4.67313e+02
    1.74804e-04     4.68639e+02
    1.75308e-04     4.69969e+02
    1.75813e-04     4.71303e+02
    1.76320e-04     4.72640e+02
    1.76828e-04     4.73981e+02
    1.77338e-04     4.75326e+02
    1.77849e-04     4.76675e+02
    1.78362e-04     4.78027e+02
    1.78876e-04     4.79384e+02
    1.79392e-04     4.80744e+02
    1.79909e-04     4.82108e+02
    1.80428e-04     4.83476e+02
    1.80948e-04     4.84848e+02
    1.81470e-04     4.86223e+02
    1.81993e-04     4.87603e+02
    1.82517e-04     4.88986e+02
    1.83044e-04     4.90374e+02
    1.83571e-04     4.91765e+02
    1.84101e-04     4.93160e+02
    1.84631e-04     4.94559e+02
    1.85164e-04     4.95963e+02
    1.85697e-04     4.97370e+02
    1.86233e-04     4.98781e+02
    1.86770e-04     5.00196e+02
    1.87308e-04     5.01615e+02
    1.87848e-04     5.03038e+02
    1.88390e-04     5.04465e+02
    1.88933e-04     5.05896e+02
    1.89478e-04     5.07332e+02
    1.90024e-04     5.08771e+02
    1.90572e-04     5.10214e+02
    1.91121e-04     5.11662e+02
    1.91672e-04     5.13113e+02
    1.92225e-04     5.14569e+02
    1.92779e-04     5.16029e+02
    1.93335e-04     5.17493e+02
    1.93892e-04     5.18961e+02
    1.94451e-04     5.20433e+02
    1.95012e-04     5.21909e+02
    1.95574e-04     5.23390e+02
    1.96138e-04     5.24874e+02
    1.96703e-04     5.26363e+02
    1.97270e-04     5.27856e+02
    1.97839e-04     5.29354e+02
    1.98409e-04     5.30855e+02
    1.98981e-04     5.32361e+02
    1.99555e-04     5.33871e+02
    2.00130e-04     5.35385e+02
    2.00707e-04     5.36904e+02
    2.01286e-04     5.38427e+02
    2.01866e-04     5.39954e+02
    2.02448e-04     5.41486e+02
    2.03032e-04     5.43021e+02
    2.03617e-04     5.44562e+02
    2.04204e-04     5.46106e+02
    2.04793e-04     5.47655e+02
    2.05383e-04     5.49208e+02
    2.05975e-04     5.50766e+02
    2.06569e-04     5.52328e+02
    2.07165e-04     5.53895e+02
    2.07762e-04     5.55466e+02
    2.08361e-04     5.57041e+02
    2.08962e-04     5.58621e+02
    2.09564e-04     5.60205e+02
    2.10168e-04     5.61794e+02
    2.10774e-04     5.63387e+02
    2.11382e-04     5.64985e+02
    2.11991e-04     5.66587e+02
    2.12602e-04     5.68194e+02
    2.13215e-04     5.69805e+02
    2.13830e-04     5.71421e+02
    2.14447e-04     5.73042e+02
    2.15065e-04     5.74667e+02
    2.15685e-04     5.76296e+02
    2.16307e-04     5.77931e+02
    2.16930e-04     5.79570e+02
    2.17556e-04     5.81213e+02
    2.18183e-04     5.82861e+02
    2.18812e-04     5.84514e+02
    2.19443e-04     5.86171e+02
    2.20075e-04     5.87834e+02
    2.20710e-04     5.89500e+02
    2.21346e-04     5.91172e+02
    2.21984e-04     5.92848e+02
    2.22624e-04     5.94529e+02
    2.23266e-04     5.96215e+02
    2.23910e-04     5.97905e+02
    2.24555e-04     5.99601e+02
    2.25203e-04     6.01301e+02
    2.25852e-04     6.03006e+02
    2.26503e-04     6.04715e+02
    2.27156e-04     6.06430e+02
    2.27811e-04     6.08149e+02
    2.28468e-04     6.09873e+02
    2.29126e-04     6.11602e+02
    2.29787e-04     6.13336e+02
    2.30449e-04     6.15075e+02
    2.31114e-04     6.16819e+02
    2.31780e-04     6.18568e+02
    2.32448e-04     6.20321e+02
    2.33118e-04     6.22080e+02
    2.33790e-04     6.23843e+02
    2.34465e-04     6.25612e+02
    2.35140e-04     6.27385e+02
    2.35818e-04     6.29164e+02
    2.36498e-04     6.30947e+02
    2.37180e-04     6.32736e+02
    2.37864e-04     6.34530e+02
    2.38550e-04     6.36328e+02
    2.39237e-04     6.38132e+02
    2.39927e-04     6.39941e+02
    2.40619e-04     6.41755e+02
    2.41312e-04     6.43574e+02
    2.42008e-04     6.45398e+02
    2.42706e-04     6.47227e+02
    2.43406e-04     6.49062e+02
    2.44107e-04     6.50901e+02
    2.44811e-04     6.52746e+02
    2.45517e-04     6.54596e+02
    2.46225e-04     6.56452e+02
    2.46935e-04     6.58312e+02
    2.47646e-04     6.60178e+02
    2.48360e-04     6.62049e+02
    2.49076e-04     6.63925e+02
    2.49794e-04     6.65807e+02
    2.50515e-04     6.67694e+02
    2.51237e-04     6.69586e+02
    2.51961e-04     6.71483e+02
    2.52688e-04     6.73386e+02
    2.53416e-04     6.75294e+02
    2.54147e-04     6.77208e+02
    2.54879e-04     6.79127e+02
    2.55614e-04     6.81052e+02
    2.56351e-04     6.82981e+02
    2.57090e-04     6.84917e+02
    2.57831e-04     6.86858e+02
    2.58575e-04     6.88804e+02
    2.59320e-04     6.90755e+02
    2.60068e-04     6.92713e+02
    2.60818e-04     6.94675e+02
    2.61569e-04     6.96644e+02
    2.62324e-04     6.98618e+02
    2.63080e-04     7.00597e+02
    2.63838e-04     7.02582e+02
    2.64599e-04     7.04572e+02
    2.65362e-04     7.06569e+02
    2.66127e-04     7.08570e+02
    2.66894e-04     7.10578e+02
    2.67663e-04     7.12591e+02
    2.68435e-04     7.14610e+02
    2.69209e-04     7.16634e+02
    2.69985e-04     7.18664e+02
    2.70764e-04     7.20700e+02
    2.71544e-04     7.22742e+02
    2.72327e-04     7.24789e+02
    2.73112e-04     7.26842e+02
    2.73899e-04     7.28901e+02
    2.74689e-04     7.30966e+02
    2.75481e-04     7.33036e+02
    2.76275e-04     7.35112e+02
    2.77072e-04     7.37195e+02
