# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.98090e+02
    1.00288e-04     4.99505e+02
    1.00577e-04     5.00923e+02
    1.00867e-04     5.02345e+02
    1.01158e-04     5.03772e+02
    1.01450e-04     5.05202e+02
    1.01742e-04     5.06637e+02
    1.02036e-04     5.08075e+02
    1.02330e-04     5.09518e+02
    1.02625e-04     5.10965e+02
    1.02921e-04     5.12416e+02
    1.03217e-04     5.13871e+02
    1.03515e-04     5.15330e+02
    1.03813e-04     5.16793e+02
    1.04113e-04     5.18260e+02
    1.04413e-04     5.19732e+02
    1.04714e-04     5.21207e+02
    1.05016e-04     5.22687e+02
    1.05319e-04     5.24171e+02
    1.05622e-04     5.25660e+02
    1.05927e-04     5.27152e+02
    1.06232e-04     5.28649e+02
    1.06538e-04     5.30150e+02
    1.06845e-04     5.31655e+02
    1.07153e-04     5.33165e+02
    1.07462e-04     5.34679e+02
    1.07772e-04     5.36197e+02
    1.08083e-04     5.37719e+02
    1.08395e-04     5.39246e+02
    1.08707e-04     5.40777e+02
    1.09020e-04     5.42312e+02
    1.09335e-04     5.43852e+02
    1.09650e-04     5.45396e+02
    1.09966e-04     5.46945e+02
    1.10283e-04     5.48497e+02
    1.10601e-04     5.50055e+02
    1.10920e-04     5.51616e+02
    1.11240e-04     5.53182e+02
    1.11560e-04     5.54753e+02
    1.11882e-04     5.56328e+02
    1.12205e-04     5.57907e+02
    1.12528e-04     5.59491e+02
    1.12852e-04     5.61080e+02
    1.13178e-04     5.62673e+02
    1.13504e-04     5.64270e+02
    1.13831e-04     5.65872e+02
    1.14159e-04     5.67479e+02
    1.14489e-04     5.69090e+02
    1.14819e-04     5.70706e+02
    1.15150e-04     5.72326e+02
    1.15482e-04     5.73951e+02
    1.15815e-04     5.75580e+02
    1.16148e-04     5.77214e+02
    1.16483e-04     5.78853e+02
    1.16819e-04     5.80496e+02
    1.17156e-04     5.82144e+02
    1.17494e-04     5.83797e+02
    1.17832e-04     5.85454e+02
    1.18172e-04     5.87116e+02
    1.18513e-04     5.88783e+02
    1.18854e-04     5.90454e+02
    1.19197e-04     5.92131e+02
    1.19541e-04     5.93811e+02
    1.19885e-04     5.95497e+02
    1.20231e-04     5.97188e+02
    1.20578e-04     5.98883e+02
    1.20925e-04     6.00583e+02
    1.21274e-04     6.02288e+02
    1.21624e-04     6.03998e+02
    1.21974e-04     6.05712e+02
    1.22326e-04     6.07432e+02
    1.22679e-04     6.09156e+02
    1.23032e-04     6.10885e+02
    1.23387e-04     6.12619e+02
    1.23743e-04     6.14358e+02
