# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     2.85996e+02
    1.00288e-04     2.86808e+02
    1.00577e-04     2.87623e+02
    1.00867e-04     2.88440e+02
    1.01158e-04     2.89259e+02
    1.01450e-04     2.90080e+02
    1.01742e-04     2.90904e+02
    1.02036e-04     2.91730e+02
    1.02330e-04     2.92559e+02
    1.02625e-04     2.93390e+02
    1.02921e-04     2.94223e+02
    1.03217e-04     2.95058e+02
    1.03515e-04     2.95896e+02
    1.03813e-04     2.96737e+02
    1.04113e-04     2.97579e+02
    1.04413e-04     2.98424e+02
    1.04714e-04     2.99272e+02
    1.05016e-04     3.00122e+02
    1.05319e-04     3.00974e+02
    1.05622e-04     3.01829e+02
    1.05927e-04     3.02686e+02
    1.06232e-04     3.03546e+02
    1.06538e-04     3.04408e+02
    1.06845e-04     3.05272e+02
    1.07153e-04     3.06139e+02
    1.07462e-04     3.07008e+02
    1.07772e-04     3.07880e+02
    1.08083e-04     3.08754e+02
    1.08395e-04     3.09631e+02
    1.08707e-04     3.10510e+02
    1.09020e-04     3.11392e+02
    1.09335e-04     3.12276e+02
    1.09650e-04     3.13163e+02
    1.09966e-04     3.14053e+02
    1.10283e-04     3.14944e+02
    1.10601e-04     3.15839e+02
    1.10920e-04     3.16736e+02
    1.11240e-04     3.17635e+02
    1.11560e-04     3.18537e+02
    1.11882e-04     3.19442e+02
    1.12205e-04     3.20349e+02
    1.12528e-04     3.21258e+02
    1.12852e-04     3.22171e+02
    1.13178e-04     3.23085e+02
    1.13504e-04     3.24003e+02
    1.13831e-04     3.24923e+02
    1.14159e-04     3.25846e+02
    1.14489e-04     3.26771e+02
    1.14819e-04     3.27699e+02
    1.15150e-04     3.28629e+02
    1.15482e-04     3.29562e+02
    1.15815e-04     3.30498e+02
    1.16148e-04     3.31437e+02
    1.16483e-04     3.32378e+02
    1.16819e-04     3.33322e+02
    1.17156e-04     3.34268e+02
    1.17494e-04     3.35217e+02
    1.17832e-04     3.36169e+02
    1.18172e-04     3.37124e+02
    1.18513e-04     3.38081e+02
    1.18854e-04     3.39041e+02
    1.19197e-04     3.40004e+02
    1.19541e-04     3.40969e+02
    1.19885e-04     3.41937e+02
    1.20231e-04     3.42908e+02
    1.20578e-04     3.43882e+02
    1.20925e-04     3.44858e+02
    1.21274e-04     3.45837e+02
    1.21624e-04     3.46819e+02
    1.21974e-04     3.47804e+02
    1.22326e-04     3.48792e+02
    1.22679e-04     3.49782e+02
    1.23032e-04     3.50775e+02
    1.23387e-04     3.51771e+02
    1.23743e-04     3.52770e+02
    1.24099e-04     3.53772e+02
    1.24457e-04     3.54776e+02
    1.24816e-04     3.55783e+02
    1.25176e-04     3.56793e+02
    1.25537e-04     3.57807e+02
    1.25899e-04     3.58822e+02
    1.26262e-04     3.59841e+02
    1.26626e-04     3.60863e+02
    1.26991e-04     3.61887e+02
    1.27357e-04     3.62915e+02
    1.27724e-04     3.63945e+02
    1.28092e-04     3.64979e+02
    1.28461e-04     3.66015e+02
    1.28832e-04     3.67054e+02
    1.29203e-04     3.68096e+02
    1.29576e-04     3.69141e+02
    1.29949e-04     3.70189e+02
    1.30324e-04     3.71240e+02
    1.30700e-04     3.72294e+02
    1.31076e-04     3.73351e+02
    1.31454e-04     3.74411e+02
    1.31833e-04     3.75474e+02
    1.32213e-04     3.76540e+02
    1.32595e-04     3.77609e+02
    1.32977e-04     3.78681e+02
    1.33360e-04     3.79757e+02
    1.33745e-04     3.80835e+02
    1.34130e-04     3.81916e+02
    1.34517e-04     3.83000e+02
    1.34905e-04     3.84087e+02
    1.35294e-04     3.85178e+02
    1.35684e-04     3.86271e+02
    1.36075e-04     3.87368e+02
    1.36467e-04     3.88468e+02
    1.36861e-04     3.89571e+02
    1.37255e-04     3.90677e+02
    1.37651e-04     3.91786e+02
    1.38048e-04     3.92898e+02
    1.38446e-04     3.94013e+02
    1.38845e-04     3.95132e+02
    1.39245e-04     3.96254e+02
    1.39647e-04     3.97379e+02
    1.40049e-04     3.98507e+02
    1.40453e-04     3.99638e+02
    1.40858e-04     4.00772e+02
    1.41264e-04     4.01910e+02
    1.41671e-04     4.03051e+02
    1.42080e-04     4.04195e+02
