# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.94925e+02
    1.00288e-04     3.96047e+02
    1.00577e-04     3.97172e+02
    1.00867e-04     3.98300e+02
    1.01158e-04     3.99431e+02
    1.01450e-04     4.00565e+02
    1.01742e-04     4.01702e+02
    1.02036e-04     4.02843e+02
    1.02330e-04     4.03987e+02
    1.02625e-04     4.05134e+02
    1.02921e-04     4.06285e+02
    1.03217e-04     4.07438e+02
    1.03515e-04     4.08595e+02
    1.03813e-04     4.09756e+02
    1.04113e-04     4.10919e+02
    1.04413e-04     4.12086e+02
    1.04714e-04     4.13256e+02
    1.05016e-04     4.14430e+02
    1.05319e-04     4.15607e+02
    1.05622e-04     4.16787e+02
    1.05927e-04     4.17970e+02
    1.06232e-04     4.19157e+02
    1.06538e-04     4.20347e+02
    1.06845e-04     4.21541e+02
    1.07153e-04     4.22738e+02
    1.07462e-04     4.23938e+02
    1.07772e-04     4.25142e+02
    1.08083e-04     4.26349e+02
    1.08395e-04     4.27560e+02
    1.08707e-04     4.28774e+02
    1.09020e-04     4.29991e+02
    1.09335e-04     4.31212e+02
    1.09650e-04     4.32437e+02
    1.09966e-04     4.33665e+02
    1.10283e-04     4.34896e+02
    1.10601e-04     4.36131e+02
    1.10920e-04     4.37369e+02
    1.11240e-04     4.38611e+02
    1.11560e-04     4.39857e+02
    1.11882e-04     4.41106e+02
    1.12205e-04     4.42358e+02
    1.12528e-04     4.43614e+02
    1.12852e-04     4.44874e+02
    1.13178e-04     4.46137e+02
    1.13504e-04     4.47404e+02
    1.13831e-04     4.48674e+02
    1.14159e-04     4.49948e+02
    1.14489e-04     4.51225e+02
    1.14819e-04     4.52507e+02
    1.15150e-04     4.53791e+02
    1.15482e-04     4.55080e+02
    1.15815e-04     4.56372e+02
    1.16148e-04     4.57668e+02
    1.16483e-04     4.58967e+02
    1.16819e-04     4.60270e+02
    1.17156e-04     4.61577e+02
    1.17494e-04     4.62888e+02
    1.17832e-04     4.64202e+02
    1.18172e-04     4.65520e+02
    1.18513e-04     4.66842e+02
    1.18854e-04     4.68167e+02
    1.19197e-04     4.69496e+02
    1.19541e-04     4.70829e+02
    1.19885e-04     4.72166e+02
    1.20231e-04     4.73507e+02
    1.20578e-04     4.74851e+02
    1.20925e-04     4.76199e+02
    1.21274e-04     4.77551e+02
    1.21624e-04     4.78907e+02
    1.21974e-04     4.80267e+02
    1.22326e-04     4.81630e+02
    1.22679e-04     4.82998e+02
    1.23032e-04     4.84369e+02
    1.23387e-04     4.85744e+02
    1.23743e-04     4.87123e+02
    1.24099e-04     4.88506e+02
    1.24457e-04     4.89893e+02
    1.24816e-04     4.91284e+02
    1.25176e-04     4.92678e+02
    1.25537e-04     4.94077e+02
    1.25899e-04     4.95480e+02
    1.26262e-04     4.96886e+02
    1.26626e-04     4.98297e+02
    1.26991e-04     4.99712e+02
    1.27357e-04     5.01130e+02
    1.27724e-04     5.02553e+02
    1.28092e-04     5.03980e+02
    1.28461e-04     5.05410e+02
    1.28832e-04     5.06845e+02
    1.29203e-04     5.08284e+02
    1.29576e-04     5.09727e+02
    1.29949e-04     5.11174e+02
    1.30324e-04     5.12625e+02
    1.30700e-04     5.14080e+02
    1.31076e-04     5.15540e+02
    1.31454e-04     5.17003e+02
    1.31833e-04     5.18471e+02
    1.32213e-04     5.19943e+02
    1.32595e-04     5.21419e+02
    1.32977e-04     5.22899e+02
    1.33360e-04     5.24383e+02
