# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     5.33170e+02
    1.00288e-04     5.34684e+02
    1.00577e-04     5.36202e+02
    1.00867e-04     5.37725e+02
    1.01158e-04     5.39252e+02
    1.01450e-04     5.40783e+02
    1.01742e-04     5.42319e+02
    1.02036e-04     5.43858e+02
    1.02330e-04     5.45403e+02
    1.02625e-04     5.46951e+02
    1.02921e-04     5.48504e+02
    1.03217e-04     5.50062e+02
    1.03515e-04     5.51624e+02
    1.03813e-04     5.53190e+02
    1.04113e-04     5.54761e+02
    1.04413e-04     5.56336e+02
    1.04714e-04     5.57915e+02
    1.05016e-04     5.59500e+02
    1.05319e-04     5.61088e+02
    1.05622e-04     5.62681e+02
    1.05927e-04     5.64279e+02
    1.06232e-04     5.65881e+02
    1.06538e-04     5.67488e+02
    1.06845e-04     5.69099e+02
    1.07153e-04     5.70715e+02
    1.07462e-04     5.72335e+02
    1.07772e-04     5.73960e+02
    1.08083e-04     5.75590e+02
    1.08395e-04     5.77224e+02
    1.08707e-04     5.78863e+02
    1.09020e-04     5.80506e+02
    1.09335e-04     5.82155e+02
    1.09650e-04     5.83808e+02
    1.09966e-04     5.85465e+02
    1.10283e-04     5.87127e+02
    1.10601e-04     5.88794e+02
    1.10920e-04     5.90466e+02
    1.11240e-04     5.92142e+02
    1.11560e-04     5.93823e+02
    1.11882e-04     5.95509e+02
    1.12205e-04     5.97200e+02
    1.12528e-04     5.98896e+02
    1.12852e-04     6.00596e+02
    1.13178e-04     6.02301e+02
    1.13504e-04     6.04011e+02
    1.13831e-04     6.05726e+02
    1.14159e-04     6.07446e+02
    1.14489e-04     6.09170e+02
    1.14819e-04     6.10900e+02
    1.15150e-04     6.12634e+02
    1.15482e-04     6.14373e+02
    1.15815e-04     6.16117e+02
    1.16148e-04     6.17866e+02
    1.16483e-04     6.19621e+02
    1.16819e-04     6.21380e+02
    1.17156e-04     6.23144e+02
    1.17494e-04     6.24913e+02
    1.17832e-04     6.26687e+02
    1.18172e-04     6.28466e+02
    1.18513e-04     6.30250e+02
    1.18854e-04     6.32039e+02
    1.19197e-04     6.33833e+02
    1.19541e-04     6.35633e+02
    1.19885e-04     6.37437e+02
    1.20231e-04     6.39247e+02
    1.20578e-04     6.41061e+02
    1.20925e-04     6.42881e+02
    1.21274e-04     6.44706e+02
    1.21624e-04     6.46536e+02
    1.21974e-04     6.48372e+02
    1.22326e-04     6.50212e+02
    1.22679e-04     6.52058e+02
    1.23032e-04     6.53909e+02
    1.23387e-04     6.55765e+02
    1.23743e-04     6.57627e+02
    1.24099e-04     6.59494e+02
    1.24457e-04     6.61366e+02
    1.24816e-04     6.63243e+02
    1.25176e-04     6.65126e+02
    1.25537e-04     6.67014e+02
    1.25899e-04     6.68907e+02
    1.26262e-04     6.70806e+02
    1.26626e-04     6.72710e+02
    1.26991e-04     6.74620e+02
    1.27357e-04     6.76534e+02
    1.27724e-04     6.78455e+02
