# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.02649e+02
    1.00288e-04     3.03509e+02
    1.00577e-04     3.04371e+02
    1.00867e-04     3.05235e+02
    1.01158e-04     3.06102e+02
    1.01450e-04     3.06971e+02
    1.01742e-04     3.07843e+02
    1.02036e-04     3.08717e+02
    1.02330e-04     3.09594e+02
    1.02625e-04     3.10473e+02
    1.02921e-04     3.11355e+02
    1.03217e-04     3.12239e+02
    1.03515e-04     3.13126e+02
    1.03813e-04     3.14015e+02
    1.04113e-04     3.14907e+02
    1.04413e-04     3.15801e+02
    1.04714e-04     3.16698e+02
    1.05016e-04     3.17598e+02
    1.05319e-04     3.18499e+02
    1.05622e-04     3.19404e+02
    1.05927e-04     3.20311e+02
    1.06232e-04     3.21221e+02
    1.06538e-04     3.22133e+02
    1.06845e-04     3.23048e+02
    1.07153e-04     3.23965e+02
    1.07462e-04     3.24885e+02
    1.07772e-04     3.25808e+02
    1.08083e-04     3.26733e+02
    1.08395e-04     3.27661e+02
    1.08707e-04     3.28591e+02
    1.09020e-04     3.29524e+02
    1.09335e-04     3.30460e+02
    1.09650e-04     3.31398e+02
    1.09966e-04     3.32339e+02
    1.10283e-04     3.33283e+02
    1.10601e-04     3.34230e+02
    1.10920e-04     3.35179e+02
    1.11240e-04     3.36131e+02
    1.11560e-04     3.37085e+02
    1.11882e-04     3.38042e+02
    1.12205e-04     3.39002e+02
    1.12528e-04     3.39965e+02
    1.12852e-04     3.40930e+02
    1.13178e-04     3.41898e+02
    1.13504e-04     3.42869e+02
    1.13831e-04     3.43843e+02
    1.14159e-04     3.44819e+02
    1.14489e-04     3.45798e+02
    1.14819e-04     3.46780e+02
    1.15150e-04     3.47765e+02
    1.15482e-04     3.48752e+02
    1.15815e-04     3.49743e+02
    1.16148e-04     3.50736e+02
    1.16483e-04     3.51732e+02
    1.16819e-04     3.52731e+02
    1.17156e-04     3.53732e+02
    1.17494e-04     3.54737e+02
    1.17832e-04     3.55744e+02
    1.18172e-04     3.56754e+02
    1.18513e-04     3.57767e+02
    1.18854e-04     3.58783e+02
    1.19197e-04     3.59802e+02
    1.19541e-04     3.60823e+02
