# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.97181e+03
    1.00288e-03     3.98249e+03
    1.00577e-03     3.99319e+03
    1.00867e-03     4.00392e+03
    1.01158e-03     4.01468e+03
    1.01450e-03     4.02547e+03
    1.01742e-03     4.03628e+03
    1.02036e-03     4.04712e+03
    1.02330e-03     4.05799e+03
    1.02625e-03     4.06888e+03
    1.02921e-03     4.07980e+03
    1.03217e-03     4.09075e+03
    1.03515e-03     4.10173e+03
    1.03813e-03     4.11273e+03
    1.04113e-03     4.12376e+03
    1.04413e-03     4.13482e+03
    1.04714e-03     4.14591e+03
    1.05016e-03     4.15703e+03
    1.05318e-03     4.16817e+03
    1.05622e-03     4.17934e+03
    1.05926e-03     4.19054e+03
    1.06232e-03     4.20177e+03
    1.06538e-03     4.21302e+03
    1.06845e-03     4.22431e+03
    1.07153e-03     4.23562e+03
    1.07462e-03     4.24696e+03
    1.07772e-03     4.25833e+03
    1.08083e-03     4.26973e+03
    1.08394e-03     4.28115e+03
    1.08707e-03     4.29261e+03
    1.09020e-03     4.30409e+03
    1.09334e-03     4.31560e+03
    1.09650e-03     4.32714e+03
    1.09966e-03     4.33871e+03
    1.10283e-03     4.35031e+03
    1.10601e-03     4.36193e+03
    1.10920e-03     4.37359e+03
    1.11239e-03     4.38527e+03
    1.11560e-03     4.39699e+03
    1.11882e-03     4.40873e+03
    1.12204e-03     4.42050e+03
    1.12528e-03     4.43230e+03
    1.12852e-03     4.44413e+03
    1.13177e-03     4.45599e+03
    1.13504e-03     4.46788e+03
    1.13831e-03     4.47980e+03
    1.14159e-03     4.49175e+03
    1.14488e-03     4.50372e+03
    1.14818e-03     4.51573e+03
    1.15149e-03     4.52777e+03
    1.15481e-03     4.53983e+03
    1.15814e-03     4.55193e+03
    1.16148e-03     4.56406e+03
    1.16483e-03     4.57621e+03
    1.16819e-03     4.58840e+03
    1.17155e-03     4.60061e+03
    1.17493e-03     4.61286e+03
    1.17832e-03     4.62514e+03
    1.18172e-03     4.63744e+03
    1.18512e-03     4.64978e+03
    1.18854e-03     4.66215e+03
    1.19197e-03     4.67454e+03
    1.19540e-03     4.68697e+03
    1.19885e-03     4.69943e+03
    1.20230e-03     4.71192e+03
    1.20577e-03     4.72443e+03
    1.20925e-03     4.73698e+03
    1.21273e-03     4.74956e+03
    1.21623e-03     4.76218e+03
    1.21973e-03     4.77482e+03
    1.22325e-03     4.78749e+03
    1.22678e-03     4.80019e+03
    1.23031e-03     4.81293e+03
    1.23386e-03     4.82569e+03
    1.23742e-03     4.83849e+03
    1.24099e-03     4.85132e+03
    1.24456e-03     4.86418e+03
    1.24815e-03     4.87707e+03
    1.25175e-03     4.88999e+03
    1.25536e-03     4.90294e+03
    1.25898e-03     4.91593e+03
    1.26261e-03     4.92894e+03
    1.26625e-03     4.94199e+03
    1.26990e-03     4.95507e+03
    1.27356e-03     4.96818e+03
    1.27723e-03     4.98132e+03
    1.28091e-03     4.99449e+03
    1.28460e-03     5.00770e+03
    1.28831e-03     5.02094e+03
    1.29202e-03     5.03421e+03
    1.29575e-03     5.04751e+03
    1.29948e-03     5.06084e+03
    1.30323e-03     5.07421e+03
    1.30699e-03     5.08761e+03
    1.31075e-03     5.10104e+03
    1.31453e-03     5.11450e+03
    1.31832e-03     5.12800e+03
    1.32212e-03     5.14152e+03
    1.32593e-03     5.15508e+03
    1.32976e-03     5.16867e+03
    1.33359e-03     5.18230e+03
    1.33743e-03     5.19596e+03
    1.34129e-03     5.20965e+03
    1.34516e-03     5.22337e+03
    1.34904e-03     5.23713e+03
    1.35292e-03     5.25091e+03
    1.35682e-03     5.26474e+03
    1.36074e-03     5.27859e+03
    1.36466e-03     5.29248e+03
    1.36859e-03     5.30640e+03
    1.37254e-03     5.32035e+03
    1.37650e-03     5.33434e+03
    1.38046e-03     5.34836e+03
    1.38444e-03     5.36241e+03
    1.38843e-03     5.37650e+03
    1.39244e-03     5.39062e+03
    1.39645e-03     5.40477e+03
    1.40048e-03     5.41896e+03
    1.40451e-03     5.43318e+03
    1.40856e-03     5.44744e+03
    1.41262e-03     5.46172e+03
    1.41670e-03     5.47605e+03
    1.42078e-03     5.49040e+03
    1.42488e-03     5.50479e+03
    1.42899e-03     5.51921e+03
    1.43310e-03     5.53367e+03
    1.43724e-03     5.54816e+03
    1.44138e-03     5.56269e+03
    1.44553e-03     5.57725e+03
    1.44970e-03     5.59184e+03
    1.45388e-03     5.60647e+03
    1.45807e-03     5.62114e+03
    1.46228e-03     5.63583e+03
    1.46649e-03     5.65056e+03
    1.47072e-03     5.66533e+03
    1.47496e-03     5.68013e+03
    1.47921e-03     5.69497e+03
    1.48348e-03     5.70984e+03
    1.48775e-03     5.72474e+03
    1.49204e-03     5.73968e+03
    1.49634e-03     5.75466e+03
    1.50066e-03     5.76966e+03
    1.50498e-03     5.78471e+03
    1.50932e-03     5.79979e+03
    1.51367e-03     5.81490e+03
    1.51804e-03     5.83005e+03
    1.52241e-03     5.84524e+03
    1.52680e-03     5.86046e+03
    1.53120e-03     5.87571e+03
    1.53562e-03     5.89100e+03
    1.54005e-03     5.90633e+03
    1.54449e-03     5.92169e+03
    1.54894e-03     5.93709e+03
    1.55340e-03     5.95252e+03
    1.55788e-03     5.96798e+03
    1.56237e-03     5.98349e+03
    1.56688e-03     5.99903e+03
    1.57139e-03     6.01460e+03
    1.57592e-03     6.03021e+03
    1.58047e-03     6.04586e+03
    1.58502e-03     6.06154e+03
    1.58959e-03     6.07726e+03
    1.59418e-03     6.09301e+03
    1.59877e-03     6.10880e+03
    1.60338e-03     6.12463e+03
    1.60800e-03     6.14049e+03
    1.61264e-03     6.15639e+03
    1.61729e-03     6.17232e+03
    1.62195e-03     6.18829e+03
    1.62663e-03     6.20430e+03
    1.63132e-03     6.22034e+03
    1.63602e-03     6.23642e+03
    1.64073e-03     6.25254e+03
    1.64546e-03     6.26869e+03
    1.65021e-03     6.28488e+03
    1.65497e-03     6.30111e+03
    1.65974e-03     6.31737e+03
    1.66452e-03     6.33367e+03
    1.66932e-03     6.35000e+03
    1.67413e-03     6.36638e+03
    1.67896e-03     6.38279e+03
    1.68380e-03     6.39923e+03
    1.68865e-03     6.41572e+03
    1.69352e-03     6.43224e+03
    1.69840e-03     6.44879e+03
    1.70330e-03     6.46539e+03
    1.70821e-03     6.48202e+03
    1.71314e-03     6.49869e+03
    1.71807e-03     6.51540e+03
    1.72303e-03     6.53214e+03
    1.72799e-03     6.54892e+03
    1.73298e-03     6.56574e+03
    1.73797e-03     6.58259e+03
    1.74298e-03     6.59948e+03
    1.74801e-03     6.61641e+03
    1.75305e-03     6.63338e+03
    1.75810e-03     6.65039e+03
    1.76317e-03     6.66743e+03
    1.76825e-03     6.68451e+03
    1.77335e-03     6.70163e+03
    1.77846e-03     6.71879e+03
    1.78359e-03     6.73598e+03
    1.78873e-03     6.75321e+03
    1.79389e-03     6.77048e+03
    1.79906e-03     6.78779e+03
    1.80425e-03     6.80513e+03
    1.80945e-03     6.82252e+03
    1.81466e-03     6.83994e+03
    1.81990e-03     6.85740e+03
    1.82514e-03     6.87490e+03
    1.83040e-03     6.89243e+03
    1.83568e-03     6.91001e+03
    1.84097e-03     6.92762e+03
    1.84628e-03     6.94527e+03
    1.85160e-03     6.96296e+03
    1.85694e-03     6.98069e+03
    1.86229e-03     6.99845e+03
    1.86766e-03     7.01626e+03
    1.87305e-03     7.03410e+03
    1.87845e-03     7.05198e+03
    1.88386e-03     7.06990e+03
    1.88929e-03     7.08786e+03
    1.89474e-03     7.10586e+03
    1.90020e-03     7.12390e+03
    1.90568e-03     7.14197e+03
    1.91117e-03     7.16009e+03
    1.91668e-03     7.17824e+03
    1.92221e-03     7.19643e+03
    1.92775e-03     7.21466e+03
    1.93331e-03     7.23293e+03
    1.93888e-03     7.25124e+03
    1.94447e-03     7.26959e+03
    1.95008e-03     7.28798e+03
    1.95570e-03     7.30640e+03
    1.96134e-03     7.32487e+03
    1.96699e-03     7.34337e+03
    1.97266e-03     7.36192e+03
    1.97835e-03     7.38050e+03
    1.98405e-03     7.39912e+03
    1.98977e-03     7.41779e+03
    1.99551e-03     7.43649e+03
    2.00126e-03     7.45523e+03
    2.00703e-03     7.47401e+03
    2.01282e-03     7.49283e+03
    2.01862e-03     7.51169e+03
    2.02444e-03     7.53059e+03
    2.03028e-03     7.54953e+03
    2.03613e-03     7.56851e+03
    2.04200e-03     7.58752e+03
    2.04789e-03     7.60658e+03
    2.05379e-03     7.62568e+03
    2.05971e-03     7.64482e+03
    2.06565e-03     7.66400e+03
    2.07160e-03     7.68321e+03
    2.07757e-03     7.70247e+03
    2.08356e-03     7.72177e+03
    2.08957e-03     7.74111e+03
    2.09560e-03     7.76048e+03
    2.10164e-03     7.77990e+03
    2.10770e-03     7.79936e+03
    2.11377e-03     7.81886e+03
    2.11987e-03     7.83840e+03
    2.12598e-03     7.85797e+03
    2.13211e-03     7.87759e+03
    2.13825e-03     7.89725e+03
    2.14442e-03     7.91695e+03
    2.15060e-03     7.93669e+03
    2.15680e-03     7.95647e+03
    2.16302e-03     7.97629e+03
    2.16925e-03     7.99615e+03
    2.17551e-03     8.01605e+03
    2.18178e-03     8.03599e+03
    2.18807e-03     8.05597e+03
    2.19438e-03     8.07599e+03
    2.20070e-03     8.09605e+03
    2.20705e-03     8.11615e+03
    2.21341e-03     8.13630e+03
    2.21979e-03     8.15648e+03
    2.22619e-03     8.17671e+03
    2.23261e-03     8.19697e+03
    2.23904e-03     8.21727e+03
    2.24550e-03     8.23762e+03
    2.25197e-03     8.25801e+03
    2.25846e-03     8.27843e+03
    2.26497e-03     8.29890e+03
    2.27150e-03     8.31941e+03
    2.27805e-03     8.33996e+03
    2.28462e-03     8.36055e+03
    2.29121e-03     8.38118e+03
    2.29781e-03     8.40185e+03
    2.30444e-03     8.42256e+03
    2.31108e-03     8.44332e+03
    2.31774e-03     8.46411e+03
    2.32442e-03     8.48495e+03
    2.33113e-03     8.50582e+03
    2.33785e-03     8.52674e+03
    2.34459e-03     8.54769e+03
    2.35134e-03     8.56869e+03
    2.35812e-03     8.58973e+03
    2.36492e-03     8.61081e+03
    2.37174e-03     8.63193e+03
    2.37858e-03     8.65309e+03
    2.38543e-03     8.67430e+03
    2.39231e-03     8.69554e+03
    2.39921e-03     8.71683e+03
    2.40612e-03     8.73815e+03
    2.41306e-03     8.75952e+03
    2.42002e-03     8.78093e+03
    2.42699e-03     8.80238e+03
    2.43399e-03     8.82387e+03
    2.44101e-03     8.84540e+03
    2.44805e-03     8.86697e+03
    2.45510e-03     8.88858e+03
