# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.78408e+03
    1.00288e-03     3.79427e+03
    1.00577e-03     3.80449e+03
    1.00867e-03     3.81473e+03
    1.01158e-03     3.82500e+03
    1.01450e-03     3.83529e+03
    1.01742e-03     3.84561e+03
    1.02036e-03     3.85596e+03
    1.02330e-03     3.86633e+03
    1.02625e-03     3.87673e+03
    1.02921e-03     3.88716e+03
    1.03217e-03     3.89761e+03
    1.03515e-03     3.90808e+03
    1.03813e-03     3.91859e+03
    1.04113e-03     3.92912e+03
    1.04413e-03     3.93968e+03
    1.04714e-03     3.95026e+03
    1.05016e-03     3.96087e+03
    1.05318e-03     3.97151e+03
    1.05622e-03     3.98217e+03
    1.05926e-03     3.99286e+03
    1.06232e-03     4.00358e+03
    1.06538e-03     4.01433e+03
    1.06845e-03     4.02510e+03
    1.07153e-03     4.03590e+03
    1.07462e-03     4.04673e+03
    1.07772e-03     4.05758e+03
    1.08083e-03     4.06846e+03
    1.08394e-03     4.07937e+03
    1.08707e-03     4.09030e+03
    1.09020e-03     4.10127e+03
    1.09334e-03     4.11226e+03
    1.09650e-03     4.12328e+03
    1.09966e-03     4.13432e+03
    1.10283e-03     4.14540e+03
    1.10601e-03     4.15650e+03
    1.10920e-03     4.16763e+03
    1.11239e-03     4.17878e+03
    1.11560e-03     4.18997e+03
    1.11882e-03     4.20118e+03
    1.12204e-03     4.21242e+03
    1.12528e-03     4.22369e+03
    1.12852e-03     4.23499e+03
    1.13177e-03     4.24631e+03
    1.13504e-03     4.25767e+03
    1.13831e-03     4.26905e+03
    1.14159e-03     4.28046e+03
    1.14488e-03     4.29189e+03
    1.14818e-03     4.30336e+03
    1.15149e-03     4.31486e+03
    1.15481e-03     4.32638e+03
    1.15814e-03     4.33793e+03
    1.16148e-03     4.34951e+03
    1.16483e-03     4.36112e+03
    1.16819e-03     4.37276e+03
    1.17155e-03     4.38443e+03
    1.17493e-03     4.39612e+03
    1.17832e-03     4.40785e+03
    1.18172e-03     4.41960e+03
    1.18512e-03     4.43139e+03
    1.18854e-03     4.44320e+03
    1.19197e-03     4.45504e+03
    1.19540e-03     4.46691e+03
    1.19885e-03     4.47881e+03
    1.20230e-03     4.49074e+03
    1.20577e-03     4.50270e+03
    1.20925e-03     4.51469e+03
    1.21273e-03     4.52670e+03
    1.21623e-03     4.53875e+03
    1.21973e-03     4.55083e+03
    1.22325e-03     4.56293e+03
    1.22678e-03     4.57507e+03
    1.23031e-03     4.58724e+03
    1.23386e-03     4.59943e+03
    1.23742e-03     4.61166e+03
    1.24099e-03     4.62391e+03
    1.24456e-03     4.63620e+03
    1.24815e-03     4.64851e+03
    1.25175e-03     4.66086e+03
    1.25536e-03     4.67324e+03
    1.25898e-03     4.68564e+03
    1.26261e-03     4.69808e+03
    1.26625e-03     4.71054e+03
    1.26990e-03     4.72304e+03
    1.27356e-03     4.73557e+03
    1.27723e-03     4.74813e+03
    1.28091e-03     4.76072e+03
    1.28460e-03     4.77333e+03
    1.28831e-03     4.78598e+03
    1.29202e-03     4.79867e+03
    1.29575e-03     4.81138e+03
    1.29948e-03     4.82412e+03
    1.30323e-03     4.83689e+03
    1.30699e-03     4.84970e+03
    1.31075e-03     4.86253e+03
    1.31453e-03     4.87540e+03
    1.31832e-03     4.88829e+03
    1.32212e-03     4.90122e+03
    1.32593e-03     4.91418e+03
    1.32976e-03     4.92717e+03
    1.33359e-03     4.94020e+03
    1.33743e-03     4.95325e+03
    1.34129e-03     4.96634e+03
    1.34516e-03     4.97945e+03
    1.34904e-03     4.99260e+03
    1.35292e-03     5.00578e+03
    1.35682e-03     5.01899e+03
    1.36074e-03     5.03224e+03
    1.36466e-03     5.04551e+03
    1.36859e-03     5.05882e+03
    1.37254e-03     5.07216e+03
    1.37650e-03     5.08553e+03
    1.38046e-03     5.09893e+03
    1.38444e-03     5.11237e+03
    1.38843e-03     5.12584e+03
    1.39244e-03     5.13934e+03
    1.39645e-03     5.15287e+03
    1.40048e-03     5.16643e+03
    1.40451e-03     5.18003e+03
    1.40856e-03     5.19366e+03
    1.41262e-03     5.20732e+03
    1.41670e-03     5.22101e+03
    1.42078e-03     5.23474e+03
    1.42488e-03     5.24850e+03
    1.42899e-03     5.26229e+03
    1.43310e-03     5.27612e+03
    1.43724e-03     5.28997e+03
    1.44138e-03     5.30386e+03
    1.44553e-03     5.31779e+03
    1.44970e-03     5.33174e+03
    1.45388e-03     5.34573e+03
    1.45807e-03     5.35976e+03
    1.46228e-03     5.37381e+03
    1.46649e-03     5.38790e+03
    1.47072e-03     5.40202e+03
    1.47496e-03     5.41618e+03
    1.47921e-03     5.43037e+03
    1.48348e-03     5.44459e+03
    1.48775e-03     5.45885e+03
    1.49204e-03     5.47314e+03
    1.49634e-03     5.48746e+03
    1.50066e-03     5.50182e+03
    1.50498e-03     5.51621e+03
    1.50932e-03     5.53063e+03
    1.51367e-03     5.54509e+03
    1.51804e-03     5.55958e+03
    1.52241e-03     5.57411e+03
    1.52680e-03     5.58867e+03
    1.53120e-03     5.60326e+03
    1.53562e-03     5.61789e+03
    1.54005e-03     5.63255e+03
    1.54449e-03     5.64725e+03
    1.54894e-03     5.66198e+03
    1.55340e-03     5.67674e+03
    1.55788e-03     5.69154e+03
    1.56237e-03     5.70638e+03
    1.56688e-03     5.72125e+03
    1.57139e-03     5.73615e+03
    1.57592e-03     5.75108e+03
    1.58047e-03     5.76606e+03
    1.58502e-03     5.78106e+03
    1.58959e-03     5.79610e+03
    1.59418e-03     5.81118e+03
    1.59877e-03     5.82629e+03
    1.60338e-03     5.84144e+03
    1.60800e-03     5.85662e+03
    1.61264e-03     5.87183e+03
    1.61729e-03     5.88708e+03
    1.62195e-03     5.90237e+03
    1.62663e-03     5.91769e+03
    1.63132e-03     5.93304e+03
    1.63602e-03     5.94843e+03
    1.64073e-03     5.96386e+03
    1.64546e-03     5.97932e+03
    1.65021e-03     5.99482e+03
    1.65497e-03     6.01035e+03
    1.65974e-03     6.02592e+03
    1.66452e-03     6.04152e+03
    1.66932e-03     6.05716e+03
    1.67413e-03     6.07283e+03
    1.67896e-03     6.08854e+03
    1.68380e-03     6.10429e+03
    1.68865e-03     6.12007e+03
    1.69352e-03     6.13589e+03
    1.69840e-03     6.15174e+03
    1.70330e-03     6.16763e+03
    1.70821e-03     6.18355e+03
    1.71314e-03     6.19951e+03
    1.71807e-03     6.21551e+03
    1.72303e-03     6.23154e+03
    1.72799e-03     6.24761e+03
    1.73298e-03     6.26371e+03
    1.73797e-03     6.27985e+03
    1.74298e-03     6.29603e+03
    1.74801e-03     6.31225e+03
    1.75305e-03     6.32849e+03
    1.75810e-03     6.34478e+03
    1.76317e-03     6.36110e+03
    1.76825e-03     6.37746e+03
    1.77335e-03     6.39386e+03
    1.77846e-03     6.41029e+03
    1.78359e-03     6.42676e+03
    1.78873e-03     6.44327e+03
    1.79389e-03     6.45981e+03
    1.79906e-03     6.47639e+03
    1.80425e-03     6.49300e+03
    1.80945e-03     6.50966e+03
    1.81466e-03     6.52635e+03
    1.81990e-03     6.54307e+03
    1.82514e-03     6.55984e+03
    1.83040e-03     6.57664e+03
    1.83568e-03     6.59347e+03
    1.84097e-03     6.61035e+03
    1.84628e-03     6.62726e+03
    1.85160e-03     6.64421e+03
    1.85694e-03     6.66120e+03
    1.86229e-03     6.67822e+03
    1.86766e-03     6.69528e+03
    1.87305e-03     6.71238e+03
    1.87845e-03     6.72952e+03
    1.88386e-03     6.74669e+03
    1.88929e-03     6.76390e+03
    1.89474e-03     6.78115e+03
    1.90020e-03     6.79843e+03
    1.90568e-03     6.81576e+03
    1.91117e-03     6.83312e+03
    1.91668e-03     6.85052e+03
    1.92221e-03     6.86796e+03
    1.92775e-03     6.88543e+03
    1.93331e-03     6.90294e+03
    1.93888e-03     6.92049e+03
    1.94447e-03     6.93808e+03
    1.95008e-03     6.95571e+03
    1.95570e-03     6.97337e+03
    1.96134e-03     6.99108e+03
    1.96699e-03     7.00882e+03
    1.97266e-03     7.02660e+03
    1.97835e-03     7.04441e+03
    1.98405e-03     7.06227e+03
    1.98977e-03     7.08016e+03
    1.99551e-03     7.09809e+03
    2.00126e-03     7.11606e+03
    2.00703e-03     7.13407e+03
    2.01282e-03     7.15212e+03
    2.01862e-03     7.17020e+03
    2.02444e-03     7.18833e+03
    2.03028e-03     7.20649e+03
