# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     4.51577e+02
    1.00578e-04     4.54096e+02
    1.01158e-04     4.56629e+02
    1.01743e-04     4.59176e+02
    1.02330e-04     4.61738e+02
    1.02921e-04     4.64314e+02
    1.03516e-04     4.66904e+02
    1.04114e-04     4.69508e+02
    1.04715e-04     4.72128e+02
    1.05320e-04     4.74761e+02
    1.05928e-04     4.77410e+02
    1.06540e-04     4.80073e+02
    1.07155e-04     4.82751e+02
    1.07774e-04     4.85444e+02
    1.08396e-04     4.88151e+02
    1.09022e-04     4.90874e+02
    1.09652e-04     4.93613e+02
    1.10285e-04     4.96366e+02
    1.10922e-04     4.99135e+02
    1.11563e-04     5.01919e+02
    1.12207e-04     5.04719e+02
    1.12855e-04     5.07534e+02
    1.13507e-04     5.10365e+02
    1.14163e-04     5.13211e+02
    1.14822e-04     5.16074e+02
    1.15485e-04     5.18953e+02
    1.16152e-04     5.21847e+02
    1.16823e-04     5.24758e+02
    1.17498e-04     5.27685e+02
    1.18176e-04     5.30628e+02
    1.18859e-04     5.33587e+02
    1.19545e-04     5.36564e+02
    1.20236e-04     5.39556e+02
    1.20930e-04     5.42565e+02
    1.21629e-04     5.45592e+02
    1.22331e-04     5.48634e+02
    1.23038e-04     5.51694e+02
    1.23748e-04     5.54771e+02
    1.24463e-04     5.57865e+02
    1.25182e-04     5.60976e+02
    1.25905e-04     5.64105e+02
    1.26632e-04     5.67251e+02
    1.27363e-04     5.70415e+02
    1.28099e-04     5.73596e+02
    1.28839e-04     5.76795e+02
    1.29583e-04     5.80011e+02
    1.30331e-04     5.83246e+02
    1.31084e-04     5.86498e+02
    1.31841e-04     5.89769e+02
    1.32602e-04     5.93058e+02
    1.33368e-04     5.96365e+02
    1.34138e-04     5.99691e+02
    1.34913e-04     6.03035e+02
    1.35692e-04     6.06398e+02
    1.36476e-04     6.09779e+02
    1.37264e-04     6.13179e+02
    1.38057e-04     6.16598e+02
    1.38854e-04     6.20037e+02
    1.39656e-04     6.23494e+02
    1.40463e-04     6.26971e+02
    1.41274e-04     6.30466e+02
    1.42090e-04     6.33982e+02
    1.42911e-04     6.37517e+02
    1.43736e-04     6.41071e+02
    1.44566e-04     6.44646e+02
    1.45401e-04     6.48240e+02
    1.46241e-04     6.51854e+02
    1.47085e-04     6.55489e+02
    1.47935e-04     6.59143e+02
    1.48789e-04     6.62818e+02
    1.49649e-04     6.66514e+02
    1.50513e-04     6.70229e+02
    1.51382e-04     6.73966e+02
    1.52257e-04     6.77723e+02
    1.53136e-04     6.81502e+02
    1.54020e-04     6.85301e+02
    1.54910e-04     6.89121e+02
    1.55805e-04     6.92963e+02
    1.56704e-04     6.96826e+02
    1.57609e-04     7.00710e+02
    1.58520e-04     7.04617e+02
    1.59435e-04     7.08544e+02
    1.60356e-04     7.12494e+02
    1.61282e-04     7.16466e+02
    1.62214e-04     7.20459e+02
    1.63151e-04     7.24475e+02
    1.64093e-04     7.28513e+02
    1.65041e-04     7.32574e+02
    1.65994e-04     7.36657e+02
    1.66952e-04     7.40763e+02
    1.67917e-04     7.44892e+02
    1.68886e-04     7.49044e+02
    1.69862e-04     7.53218e+02
    1.70843e-04     7.57416e+02
    1.71830e-04     7.61638e+02
    1.72822e-04     7.65882e+02
    1.73820e-04     7.70151e+02
    1.74824e-04     7.74443e+02
    1.75834e-04     7.78759e+02
    1.76849e-04     7.83099e+02
    1.77871e-04     7.87463e+02
    1.78898e-04     7.91851e+02
    1.79931e-04     7.96263e+02
    1.80970e-04     8.00700e+02
    1.82016e-04     8.05162e+02
    1.83067e-04     8.09649e+02
    1.84124e-04     8.14160e+02
    1.85187e-04     8.18697e+02
    1.86257e-04     8.23258e+02
    1.87333e-04     8.27845e+02
    1.88415e-04     8.32458e+02
    1.89503e-04     8.37096e+02
    1.90597e-04     8.41760e+02
    1.91698e-04     8.46449e+02
    1.92805e-04     8.51165e+02
    1.93919e-04     8.55907e+02
    1.95039e-04     8.60675e+02
    1.96165e-04     8.65470e+02
    1.97298e-04     8.70291e+02
    1.98438e-04     8.75139e+02
    1.99584e-04     8.80014e+02
    2.00736e-04     8.84916e+02
    2.01896e-04     8.89845e+02
    2.03062e-04     8.94802e+02
    2.04235e-04     8.99786e+02
    2.05414e-04     9.04797e+02
    2.06600e-04     9.09837e+02
    2.07794e-04     9.14904e+02
    2.08994e-04     9.20000e+02
    2.10201e-04     9.25124e+02
    2.11415e-04     9.30276e+02
    2.12636e-04     9.35457e+02
    2.13864e-04     9.40666e+02
    2.15099e-04     9.45904e+02
    2.16341e-04     9.51172e+02
    2.17591e-04     9.56468e+02
    2.18848e-04     9.61794e+02
    2.20112e-04     9.67150e+02
    2.21383e-04     9.72535e+02
    2.22661e-04     9.77950e+02
    2.23947e-04     9.83395e+02
    2.25241e-04     9.88870e+02
    2.26542e-04     9.94375e+02
    2.27850e-04     9.99911e+02
    2.29166e-04     1.00548e+03
    2.30489e-04     1.01108e+03
    2.31821e-04     1.01670e+03
    2.33160e-04     1.02236e+03
    2.34506e-04     1.02805e+03
    2.35861e-04     1.03378e+03
    2.37223e-04     1.03953e+03
    2.38593e-04     1.04532e+03
    2.39971e-04     1.05113e+03
    2.41357e-04     1.05698e+03
