# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     4.46615e+03
    1.00288e-03     4.47810e+03
    1.00577e-03     4.49008e+03
    1.00867e-03     4.50209e+03
    1.01158e-03     4.51414e+03
    1.01450e-03     4.52621e+03
    1.01742e-03     4.53831e+03
    1.02036e-03     4.55044e+03
    1.02330e-03     4.56260e+03
    1.02625e-03     4.57479e+03
    1.02921e-03     4.58701e+03
    1.03217e-03     4.59926e+03
    1.03515e-03     4.61154e+03
    1.03813e-03     4.62386e+03
    1.04113e-03     4.63620e+03
    1.04413e-03     4.64857e+03
    1.04714e-03     4.66098e+03
    1.05016e-03     4.67341e+03
    1.05318e-03     4.68588e+03
    1.05622e-03     4.69838e+03
    1.05926e-03     4.71090e+03
    1.06232e-03     4.72346e+03
    1.06538e-03     4.73605e+03
    1.06845e-03     4.74867e+03
    1.07153e-03     4.76132e+03
    1.07462e-03     4.77401e+03
    1.07772e-03     4.78672e+03
    1.08083e-03     4.79947e+03
    1.08394e-03     4.81225e+03
    1.08707e-03     4.82505e+03
    1.09020e-03     4.83790e+03
    1.09334e-03     4.85077e+03
    1.09650e-03     4.86367e+03
    1.09966e-03     4.87661e+03
    1.10283e-03     4.88957e+03
    1.10601e-03     4.90257e+03
    1.10920e-03     4.91560e+03
    1.11239e-03     4.92867e+03
    1.11560e-03     4.94176e+03
    1.11882e-03     4.95489e+03
    1.12204e-03     4.96805e+03
    1.12528e-03     4.98124e+03
    1.12852e-03     4.99446e+03
    1.13177e-03     5.00772e+03
    1.13504e-03     5.02100e+03
    1.13831e-03     5.03432e+03
    1.14159e-03     5.04768e+03
    1.14488e-03     5.06106e+03
    1.14818e-03     5.07448e+03
    1.15149e-03     5.08793e+03
    1.15481e-03     5.10141e+03
    1.15814e-03     5.11493e+03
    1.16148e-03     5.12848e+03
    1.16483e-03     5.14206e+03
    1.16819e-03     5.15567e+03
    1.17155e-03     5.16932e+03
    1.17493e-03     5.18300e+03
    1.17832e-03     5.19671e+03
    1.18172e-03     5.21046e+03
    1.18512e-03     5.22424e+03
    1.18854e-03     5.23805e+03
    1.19197e-03     5.25190e+03
    1.19540e-03     5.26578e+03
    1.19885e-03     5.27970e+03
    1.20230e-03     5.29364e+03
    1.20577e-03     5.30762e+03
    1.20925e-03     5.32164e+03
    1.21273e-03     5.33568e+03
    1.21623e-03     5.34977e+03
    1.21973e-03     5.36388e+03
    1.22325e-03     5.37803e+03
    1.22678e-03     5.39221e+03
    1.23031e-03     5.40643e+03
    1.23386e-03     5.42068e+03
    1.23742e-03     5.43497e+03
    1.24099e-03     5.44929e+03
    1.24456e-03     5.46364e+03
    1.24815e-03     5.47803e+03
    1.25175e-03     5.49245e+03
    1.25536e-03     5.50691e+03
    1.25898e-03     5.52140e+03
    1.26261e-03     5.53593e+03
    1.26625e-03     5.55049e+03
    1.26990e-03     5.56508e+03
    1.27356e-03     5.57971e+03
    1.27723e-03     5.59438e+03
    1.28091e-03     5.60908e+03
    1.28460e-03     5.62381e+03
    1.28831e-03     5.63858e+03
    1.29202e-03     5.65338e+03
    1.29575e-03     5.66822e+03
    1.29948e-03     5.68310e+03
    1.30323e-03     5.69801e+03
    1.30699e-03     5.71295e+03
    1.31075e-03     5.72793e+03
    1.31453e-03     5.74295e+03
    1.31832e-03     5.75800e+03
    1.32212e-03     5.77308e+03
    1.32593e-03     5.78820e+03
    1.32976e-03     5.80336e+03
    1.33359e-03     5.81855e+03
    1.33743e-03     5.83378e+03
    1.34129e-03     5.84905e+03
    1.34516e-03     5.86435e+03
    1.34904e-03     5.87968e+03
    1.35292e-03     5.89505e+03
    1.35682e-03     5.91046e+03
    1.36074e-03     5.92590e+03
    1.36466e-03     5.94138e+03
    1.36859e-03     5.95690e+03
    1.37254e-03     5.97245e+03
    1.37650e-03     5.98804e+03
    1.38046e-03     6.00366e+03
    1.38444e-03     6.01933e+03
    1.38843e-03     6.03502e+03
    1.39244e-03     6.05076e+03
    1.39645e-03     6.06653e+03
    1.40048e-03     6.08233e+03
    1.40451e-03     6.09818e+03
    1.40856e-03     6.11406e+03
    1.41262e-03     6.12998e+03
    1.41670e-03     6.14593e+03
    1.42078e-03     6.16192e+03
    1.42488e-03     6.17795e+03
    1.42899e-03     6.19401e+03
    1.43310e-03     6.21012e+03
    1.43724e-03     6.22626e+03
    1.44138e-03     6.24243e+03
    1.44553e-03     6.25865e+03
    1.44970e-03     6.27490e+03
    1.45388e-03     6.29118e+03
    1.45807e-03     6.30751e+03
    1.46228e-03     6.32387e+03
