# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.77393e+03
    1.00288e-03     3.78409e+03
    1.00577e-03     3.79428e+03
    1.00867e-03     3.80450e+03
    1.01158e-03     3.81474e+03
    1.01450e-03     3.82501e+03
    1.01742e-03     3.83530e+03
    1.02036e-03     3.84562e+03
    1.02330e-03     3.85596e+03
    1.02625e-03     3.86633e+03
    1.02921e-03     3.87673e+03
    1.03217e-03     3.88716e+03
    1.03515e-03     3.89761e+03
    1.03813e-03     3.90808e+03
    1.04113e-03     3.91859e+03
    1.04413e-03     3.92912e+03
    1.04714e-03     3.93967e+03
    1.05016e-03     3.95026e+03
    1.05318e-03     3.96087e+03
    1.05622e-03     3.97151e+03
    1.05926e-03     3.98217e+03
    1.06232e-03     3.99286e+03
    1.06538e-03     4.00358e+03
    1.06845e-03     4.01432e+03
    1.07153e-03     4.02509e+03
    1.07462e-03     4.03589e+03
    1.07772e-03     4.04672e+03
    1.08083e-03     4.05757e+03
    1.08394e-03     4.06845e+03
    1.08707e-03     4.07936e+03
    1.09020e-03     4.09029e+03
    1.09334e-03     4.10126e+03
    1.09650e-03     4.11225e+03
    1.09966e-03     4.12326e+03
    1.10283e-03     4.13431e+03
    1.10601e-03     4.14538e+03
    1.10920e-03     4.15648e+03
    1.11239e-03     4.16761e+03
    1.11560e-03     4.17877e+03
    1.11882e-03     4.18995e+03
    1.12204e-03     4.20116e+03
    1.12528e-03     4.21240e+03
    1.12852e-03     4.22367e+03
    1.13177e-03     4.23496e+03
    1.13504e-03     4.24629e+03
    1.13831e-03     4.25764e+03
    1.14159e-03     4.26902e+03
    1.14488e-03     4.28043e+03
    1.14818e-03     4.29187e+03
    1.15149e-03     4.30333e+03
    1.15481e-03     4.31483e+03
    1.15814e-03     4.32635e+03
    1.16148e-03     4.33790e+03
    1.16483e-03     4.34948e+03
    1.16819e-03     4.36109e+03
    1.17155e-03     4.37273e+03
    1.17493e-03     4.38439e+03
    1.17832e-03     4.39609e+03
    1.18172e-03     4.40781e+03
    1.18512e-03     4.41957e+03
    1.18854e-03     4.43135e+03
    1.19197e-03     4.44316e+03
    1.19540e-03     4.45500e+03
    1.19885e-03     4.46687e+03
    1.20230e-03     4.47877e+03
    1.20577e-03     4.49070e+03
    1.20925e-03     4.50265e+03
    1.21273e-03     4.51464e+03
    1.21623e-03     4.52666e+03
    1.21973e-03     4.53870e+03
    1.22325e-03     4.55078e+03
    1.22678e-03     4.56288e+03
    1.23031e-03     4.57502e+03
    1.23386e-03     4.58718e+03
    1.23742e-03     4.59938e+03
    1.24099e-03     4.61160e+03
    1.24456e-03     4.62386e+03
    1.24815e-03     4.63614e+03
    1.25175e-03     4.64845e+03
    1.25536e-03     4.66080e+03
    1.25898e-03     4.67317e+03
    1.26261e-03     4.68558e+03
    1.26625e-03     4.69801e+03
    1.26990e-03     4.71048e+03
    1.27356e-03     4.72297e+03
    1.27723e-03     4.73550e+03
    1.28091e-03     4.74806e+03
    1.28460e-03     4.76065e+03
    1.28831e-03     4.77326e+03
    1.29202e-03     4.78591e+03
    1.29575e-03     4.79859e+03
    1.29948e-03     4.81130e+03
    1.30323e-03     4.82404e+03
    1.30699e-03     4.83681e+03
    1.31075e-03     4.84962e+03
    1.31453e-03     4.86245e+03
    1.31832e-03     4.87532e+03
    1.32212e-03     4.88821e+03
    1.32593e-03     4.90114e+03
    1.32976e-03     4.91410e+03
    1.33359e-03     4.92709e+03
    1.33743e-03     4.94011e+03
    1.34129e-03     4.95316e+03
    1.34516e-03     4.96624e+03
    1.34904e-03     4.97936e+03
    1.35292e-03     4.99251e+03
    1.35682e-03     5.00568e+03
    1.36074e-03     5.01890e+03
    1.36466e-03     5.03214e+03
    1.36859e-03     5.04541e+03
    1.37254e-03     5.05872e+03
    1.37650e-03     5.07205e+03
    1.38046e-03     5.08542e+03
    1.38444e-03     5.09883e+03
    1.38843e-03     5.11226e+03
    1.39244e-03     5.12573e+03
    1.39645e-03     5.13922e+03
    1.40048e-03     5.15275e+03
    1.40451e-03     5.16632e+03
    1.40856e-03     5.17991e+03
    1.41262e-03     5.19354e+03
    1.41670e-03     5.20720e+03
    1.42078e-03     5.22089e+03
    1.42488e-03     5.23462e+03
    1.42899e-03     5.24837e+03
    1.43310e-03     5.26216e+03
    1.43724e-03     5.27599e+03
    1.44138e-03     5.28984e+03
    1.44553e-03     5.30373e+03
    1.44970e-03     5.31765e+03
    1.45388e-03     5.33161e+03
    1.45807e-03     5.34560e+03
    1.46228e-03     5.35962e+03
    1.46649e-03     5.37367e+03
    1.47072e-03     5.38776e+03
    1.47496e-03     5.40188e+03
    1.47921e-03     5.41603e+03
    1.48348e-03     5.43022e+03
    1.48775e-03     5.44444e+03
    1.49204e-03     5.45869e+03
    1.49634e-03     5.47298e+03
    1.50066e-03     5.48730e+03
    1.50498e-03     5.50166e+03
    1.50932e-03     5.51605e+03
    1.51367e-03     5.53047e+03
    1.51804e-03     5.54493e+03
    1.52241e-03     5.55942e+03
    1.52680e-03     5.57394e+03
    1.53120e-03     5.58850e+03
    1.53562e-03     5.60309e+03
    1.54005e-03     5.61772e+03
    1.54449e-03     5.63238e+03
    1.54894e-03     5.64707e+03
    1.55340e-03     5.66180e+03
    1.55788e-03     5.67656e+03
    1.56237e-03     5.69136e+03
    1.56688e-03     5.70619e+03
    1.57139e-03     5.72106e+03
    1.57592e-03     5.73596e+03
    1.58047e-03     5.75089e+03
    1.58502e-03     5.76586e+03
    1.58959e-03     5.78087e+03
    1.59418e-03     5.79591e+03
    1.59877e-03     5.81098e+03
    1.60338e-03     5.82609e+03
    1.60800e-03     5.84123e+03
    1.61264e-03     5.85641e+03
    1.61729e-03     5.87162e+03
    1.62195e-03     5.88687e+03
    1.62663e-03     5.90215e+03
    1.63132e-03     5.91747e+03
    1.63602e-03     5.93282e+03
    1.64073e-03     5.94821e+03
    1.64546e-03     5.96364e+03
    1.65021e-03     5.97909e+03
    1.65497e-03     5.99459e+03
    1.65974e-03     6.01012e+03
    1.66452e-03     6.02568e+03
    1.66932e-03     6.04128e+03
    1.67413e-03     6.05692e+03
    1.67896e-03     6.07259e+03
    1.68380e-03     6.08830e+03
    1.68865e-03     6.10404e+03
    1.69352e-03     6.11982e+03
    1.69840e-03     6.13563e+03
    1.70330e-03     6.15148e+03
    1.70821e-03     6.16737e+03
    1.71314e-03     6.18329e+03
    1.71807e-03     6.19925e+03
    1.72303e-03     6.21524e+03
    1.72799e-03     6.23127e+03
    1.73298e-03     6.24734e+03
    1.73797e-03     6.26344e+03
    1.74298e-03     6.27958e+03
    1.74801e-03     6.29575e+03
    1.75305e-03     6.31196e+03
    1.75810e-03     6.32821e+03
    1.76317e-03     6.34449e+03
    1.76825e-03     6.36081e+03
    1.77335e-03     6.37717e+03
    1.77846e-03     6.39356e+03
    1.78359e-03     6.40999e+03
    1.78873e-03     6.42646e+03
    1.79389e-03     6.44296e+03
    1.79906e-03     6.45950e+03
    1.80425e-03     6.47608e+03
    1.80945e-03     6.49269e+03
    1.81466e-03     6.50934e+03
    1.81990e-03     6.52602e+03
    1.82514e-03     6.54275e+03
    1.83040e-03     6.55951e+03
    1.83568e-03     6.57631e+03
    1.84097e-03     6.59314e+03
    1.84628e-03     6.61001e+03
    1.85160e-03     6.62692e+03
    1.85694e-03     6.64387e+03
    1.86229e-03     6.66085e+03
    1.86766e-03     6.67787e+03
    1.87305e-03     6.69493e+03
    1.87845e-03     6.71202e+03
    1.88386e-03     6.72916e+03
    1.88929e-03     6.74633e+03
    1.89474e-03     6.76353e+03
    1.90020e-03     6.78078e+03
    1.90568e-03     6.79806e+03
    1.91117e-03     6.81538e+03
    1.91668e-03     6.83274e+03
    1.92221e-03     6.85014e+03
    1.92775e-03     6.86757e+03
    1.93331e-03     6.88504e+03
    1.93888e-03     6.90255e+03
    1.94447e-03     6.92010e+03
    1.95008e-03     6.93768e+03
    1.95570e-03     6.95530e+03
    1.96134e-03     6.97297e+03
    1.96699e-03     6.99066e+03
    1.97266e-03     7.00840e+03
    1.97835e-03     7.02618e+03
    1.98405e-03     7.04399e+03
    1.98977e-03     7.06184e+03
    1.99551e-03     7.07973e+03
    2.00126e-03     7.09766e+03
    2.00703e-03     7.11563e+03
    2.01282e-03     7.13363e+03
    2.01862e-03     7.15167e+03
    2.02444e-03     7.16976e+03
    2.03028e-03     7.18788e+03
    2.03613e-03     7.20604e+03
    2.04200e-03     7.22423e+03
    2.04789e-03     7.24247e+03
    2.05379e-03     7.26074e+03
    2.05971e-03     7.27906e+03
    2.06565e-03     7.29741e+03
    2.07160e-03     7.31580e+03
    2.07757e-03     7.33423e+03
    2.08356e-03     7.35270e+03
    2.08957e-03     7.37121e+03
    2.09560e-03     7.38975e+03
    2.10164e-03     7.40834e+03
    2.10770e-03     7.42696e+03
