# The (real space) HaloFit power spectrum from CLASS.
#      k[h/Mpc]            P(k)
    1.00000e-04     3.29130e+02
    1.00578e-04     3.30966e+02
    1.01158e-04     3.32813e+02
    1.01743e-04     3.34670e+02
    1.02330e-04     3.36537e+02
    1.02921e-04     3.38414e+02
    1.03516e-04     3.40302e+02
    1.04114e-04     3.42201e+02
    1.04715e-04     3.44110e+02
    1.05320e-04     3.46030e+02
    1.05928e-04     3.47960e+02
    1.06540e-04     3.49901e+02
    1.07155e-04     3.51853e+02
    1.07774e-04     3.53816e+02
    1.08396e-04     3.55790e+02
    1.09022e-04     3.57775e+02
    1.09652e-04     3.59771e+02
    1.10285e-04     3.61778e+02
    1.10922e-04     3.63796e+02
    1.11563e-04     3.65826e+02
    1.12207e-04     3.67866e+02
    1.12855e-04     3.69918e+02
    1.13507e-04     3.71982e+02
    1.14163e-04     3.74057e+02
    1.14822e-04     3.76144e+02
    1.15485e-04     3.78242e+02
    1.16152e-04     3.80352e+02
    1.16823e-04     3.82474e+02
    1.17498e-04     3.84607e+02
    1.18176e-04     3.86753e+02
    1.18859e-04     3.88910e+02
    1.19545e-04     3.91079e+02
    1.20236e-04     3.93261e+02
    1.20930e-04     3.95455e+02
    1.21629e-04     3.97660e+02
    1.22331e-04     3.99879e+02
    1.23038e-04     4.02109e+02
    1.23748e-04     4.04352e+02
    1.24463e-04     4.06607e+02
    1.25182e-04     4.08875e+02
    1.25905e-04     4.11156e+02
    1.26632e-04     4.13449e+02
    1.27363e-04     4.15755e+02
    1.28099e-04     4.18074e+02
    1.28839e-04     4.20406e+02
    1.29583e-04     4.22751e+02
    1.30331e-04     4.25109e+02
    1.31084e-04     4.27480e+02
    1.31841e-04     4.29864e+02
    1.32602e-04     4.32262e+02
    1.33368e-04     4.34673e+02
    1.34138e-04     4.37097e+02
    1.34913e-04     4.39535e+02
    1.35692e-04     4.41986e+02
    1.36476e-04     4.44451e+02
    1.37264e-04     4.46930e+02
    1.38057e-04     4.49422e+02
    1.38854e-04     4.51929e+02
    1.39656e-04     4.54449e+02
    1.40463e-04     4.56984e+02
    1.41274e-04     4.59532e+02
    1.42090e-04     4.62095e+02
    1.42911e-04     4.64672e+02
    1.43736e-04     4.67263e+02
    1.44566e-04     4.69869e+02
    1.45401e-04     4.72489e+02
    1.46241e-04     4.75124e+02
    1.47085e-04     4.77773e+02
    1.47935e-04     4.80438e+02
    1.48789e-04     4.83117e+02
    1.49649e-04     4.85811e+02
    1.50513e-04     4.88520e+02
    1.51382e-04     4.91244e+02
    1.52257e-04     4.93983e+02
    1.53136e-04     4.96737e+02
    1.54020e-04     4.99507e+02
    1.54910e-04     5.02292e+02
    1.55805e-04     5.05093e+02
    1.56704e-04     5.07909e+02
    1.57609e-04     5.10741e+02
    1.58520e-04     5.13589e+02
    1.59435e-04     5.16453e+02
    1.60356e-04     5.19332e+02
    1.61282e-04     5.22228e+02
    1.62214e-04     5.25139e+02
    1.63151e-04     5.28067e+02
    1.64093e-04     5.31011e+02
    1.65041e-04     5.33972e+02
    1.65994e-04     5.36949e+02
    1.66952e-04     5.39942e+02
    1.67917e-04     5.42952e+02
    1.68886e-04     5.45979e+02
    1.69862e-04     5.49023e+02
    1.70843e-04     5.52083e+02
    1.71830e-04     5.55161e+02
    1.72822e-04     5.58256e+02
    1.73820e-04     5.61368e+02
    1.74824e-04     5.64497e+02
    1.75834e-04     5.67644e+02
    1.76849e-04     5.70808e+02
    1.77871e-04     5.73990e+02
    1.78898e-04     5.77189e+02
    1.79931e-04     5.80407e+02
    1.80970e-04     5.83642e+02
    1.82016e-04     5.86895e+02
    1.83067e-04     5.90166e+02
    1.84124e-04     5.93455e+02
    1.85187e-04     5.96763e+02
    1.86257e-04     6.00089e+02
    1.87333e-04     6.03434e+02
    1.88415e-04     6.06797e+02
    1.89503e-04     6.10179e+02
    1.90597e-04     6.13579e+02
    1.91698e-04     6.16999e+02
    1.92805e-04     6.20437e+02
    1.93919e-04     6.23895e+02
    1.95039e-04     6.27372e+02
    1.96165e-04     6.30868e+02
    1.97298e-04     6.34383e+02
    1.98438e-04     6.37918e+02
    1.99584e-04     6.41473e+02
    2.00736e-04     6.45047e+02
    2.01896e-04     6.48642e+02
    2.03062e-04     6.52256e+02
    2.04235e-04     6.55890e+02
    2.05414e-04     6.59545e+02
    2.06600e-04     6.63219e+02
    2.07794e-04     6.66914e+02
    2.08994e-04     6.70630e+02
    2.10201e-04     6.74366e+02
    2.11415e-04     6.78123e+02
    2.12636e-04     6.81901e+02
    2.13864e-04     6.85700e+02
    2.15099e-04     6.89520e+02
    2.16341e-04     6.93361e+02
    2.17591e-04     6.97224e+02
    2.18848e-04     7.01108e+02
    2.20112e-04     7.05013e+02
    2.21383e-04     7.08940e+02
    2.22661e-04     7.12889e+02
    2.23947e-04     7.16860e+02
    2.25241e-04     7.20853e+02
    2.26542e-04     7.24868e+02
    2.27850e-04     7.28905e+02
    2.29166e-04     7.32965e+02
    2.30489e-04     7.37047e+02
    2.31821e-04     7.41151e+02
    2.33160e-04     7.45279e+02
    2.34506e-04     7.49429e+02
    2.35861e-04     7.53603e+02
    2.37223e-04     7.57799e+02
    2.38593e-04     7.62019e+02
    2.39971e-04     7.66262e+02
    2.41357e-04     7.70529e+02
    2.42751e-04     7.74819e+02
    2.44153e-04     7.79133e+02
    2.45563e-04     7.83471e+02
    2.46981e-04     7.87834e+02
    2.48407e-04     7.92220e+02
    2.49842e-04     7.96630e+02
    2.51285e-04     8.01065e+02
    2.52736e-04     8.05525e+02
    2.54196e-04     8.10009e+02
    2.55664e-04     8.14518e+02
    2.57141e-04     8.19052e+02
    2.58626e-04     8.23611e+02
    2.60120e-04     8.28195e+02
    2.61622e-04     8.32805e+02
    2.63133e-04     8.37440e+02
    2.64653e-04     8.42101e+02
    2.66181e-04     8.46788e+02
    2.67718e-04     8.51500e+02
    2.69265e-04     8.56239e+02
    2.70820e-04     8.61004e+02
    2.72384e-04     8.65795e+02
    2.73957e-04     8.70613e+02
    2.75539e-04     8.75457e+02
    2.77131e-04     8.80328e+02
    2.78731e-04     8.85226e+02
    2.80341e-04     8.90152e+02
    2.81960e-04     8.95104e+02
    2.83589e-04     9.00084e+02
    2.85226e-04     9.05091e+02
    2.86874e-04     9.10126e+02
    2.88531e-04     9.15189e+02
    2.90197e-04     9.20280e+02
    2.91873e-04     9.25398e+02
    2.93559e-04     9.30546e+02
    2.95254e-04     9.35721e+02
    2.96959e-04     9.40925e+02
    2.98674e-04     9.46158e+02
    3.00399e-04     9.51420e+02
    3.02134e-04     9.56711e+02
    3.03879e-04     9.62031e+02
    3.05634e-04     9.67380e+02
    3.07400e-04     9.72759e+02
    3.09175e-04     9.78168e+02
    3.10961e-04     9.83606e+02
    3.12756e-04     9.89075e+02
    3.14563e-04     9.94574e+02
    3.16380e-04     1.00010e+03
    3.18207e-04     1.00566e+03
    3.20045e-04     1.01125e+03
    3.21893e-04     1.01687e+03
    3.23752e-04     1.02252e+03
    3.25622e-04     1.02821e+03
    3.27503e-04     1.03392e+03
    3.29394e-04     1.03967e+03
    3.31296e-04     1.04545e+03
    3.33210e-04     1.05125e+03
    3.35134e-04     1.05710e+03
    3.37070e-04     1.06297e+03
    3.39017e-04     1.06888e+03
    3.40975e-04     1.07481e+03
    3.42944e-04     1.08078e+03
    3.44925e-04     1.08679e+03
    3.46917e-04     1.09283e+03
    3.48920e-04     1.09890e+03
    3.50935e-04     1.10500e+03
    3.52962e-04     1.11114e+03
    3.55001e-04     1.11731e+03
    3.57051e-04     1.12351e+03
    3.59113e-04     1.12975e+03
    3.61187e-04     1.13602e+03
    3.63273e-04     1.14233e+03
    3.65371e-04     1.14867e+03
    3.67482e-04     1.15505e+03
    3.69604e-04     1.16146e+03
    3.71739e-04     1.16791e+03
    3.73886e-04     1.17439e+03
    3.76045e-04     1.18091e+03
    3.78217e-04     1.18747e+03
    3.80401e-04     1.19406e+03
    3.82598e-04     1.20068e+03
    3.84808e-04     1.20735e+03
    3.87030e-04     1.21405e+03
    3.89266e-04     1.22078e+03
    3.91514e-04     1.22755e+03
    3.93775e-04     1.23436e+03
    3.96049e-04     1.24121e+03
    3.98337e-04     1.24810e+03
    4.00637e-04     1.25502e+03
    4.02951e-04     1.26198e+03
    4.05278e-04     1.26898e+03
    4.07619e-04     1.27602e+03
    4.09973e-04     1.28309e+03
    4.12341e-04     1.29021e+03
    4.14722e-04     1.29736e+03
    4.17118e-04     1.30455e+03
    4.19527e-04     1.31178e+03
    4.21950e-04     1.31905e+03
    4.24387e-04     1.32637e+03
    4.26838e-04     1.33372e+03
    4.29303e-04     1.34111e+03
    4.31782e-04     1.34854e+03
    4.34276e-04     1.35601e+03
    4.36784e-04     1.36352e+03
    4.39307e-04     1.37108e+03
    4.41844e-04     1.37867e+03
    4.44396e-04     1.38631e+03
    4.46962e-04     1.39399e+03
    4.49544e-04     1.40171e+03
    4.52140e-04     1.40947e+03
    4.54751e-04     1.41728e+03
    4.57378e-04     1.42512e+03
    4.60019e-04     1.43302e+03
    4.62676e-04     1.44095e+03
    4.65348e-04     1.44892e+03
    4.68036e-04     1.45694e+03
    4.70739e-04     1.46501e+03
    4.73458e-04     1.47312e+03
    4.76192e-04     1.48127e+03
    4.78943e-04     1.48946e+03
    4.81709e-04     1.49770e+03
    4.84491e-04     1.50599e+03
    4.87289e-04     1.51432e+03
    4.90103e-04     1.52270e+03
    4.92934e-04     1.53112e+03
    4.95781e-04     1.53958e+03
    4.98644e-04     1.54810e+03
    5.01524e-04     1.55666e+03
    5.04421e-04     1.56526e+03
    5.07334e-04     1.57391e+03
    5.10264e-04     1.58261e+03
    5.13211e-04     1.59136e+03
    5.16175e-04     1.60015e+03
    5.19156e-04     1.60899e+03
    5.22155e-04     1.61788e+03
    5.25170e-04     1.62682e+03
    5.28203e-04     1.63581e+03
    5.31254e-04     1.64484e+03
    5.34322e-04     1.65393e+03
    5.37408e-04     1.66306e+03
    5.40512e-04     1.67224e+03
    5.43634e-04     1.68147e+03
    5.46773e-04     1.69076e+03
    5.49931e-04     1.70009e+03
    5.53107e-04     1.70947e+03
    5.56302e-04     1.71890e+03
    5.59515e-04     1.72839e+03
    5.62746e-04     1.73792e+03
    5.65996e-04     1.74751e+03
    5.69265e-04     1.75715e+03
    5.72553e-04     1.76684e+03
    5.75860e-04     1.77658e+03
    5.79186e-04     1.78638e+03
    5.82531e-04     1.79623e+03
    5.85895e-04     1.80613e+03
    5.89279e-04     1.81608e+03
    5.92682e-04     1.82609e+03
    5.96105e-04     1.83615e+03
    5.99548e-04     1.84627e+03
    6.03011e-04     1.85644e+03
    6.06494e-04     1.86666e+03
    6.09996e-04     1.87694e+03
    6.13519e-04     1.88728e+03
    6.17063e-04     1.89767e+03
    6.20627e-04     1.90811e+03
    6.24211e-04     1.91862e+03
    6.27816e-04     1.92918e+03
    6.31442e-04     1.93979e+03
    6.35089e-04     1.95046e+03
    6.38757e-04     1.96119e+03
    6.42446e-04     1.97198e+03
    6.46156e-04     1.98283e+03
    6.49888e-04     1.99373e+03
    6.53642e-04     2.00469e+03
    6.57417e-04     2.01571e+03
    6.61214e-04     2.02679e+03
    6.65032e-04     2.03793e+03
    6.68873e-04     2.04912e+03
    6.72736e-04     2.06038e+03
    6.76622e-04     2.07170e+03
    6.80530e-04     2.08307e+03
    6.84460e-04     2.09451e+03
    6.88413e-04     2.10601e+03
    6.92389e-04     2.11757e+03
    6.96388e-04     2.12919e+03
    7.00410e-04     2.14088e+03
    7.04455e-04     2.15262e+03
    7.08524e-04     2.16443e+03
    7.12616e-04     2.17630e+03
    7.16731e-04     2.18824e+03
    7.20871e-04     2.20024e+03
    7.25034e-04     2.21230e+03
    7.29222e-04     2.22442e+03
    7.33433e-04     2.23661e+03
    7.37669e-04     2.24887e+03
    7.41930e-04     2.26119e+03
    7.46215e-04     2.27357e+03
    7.50524e-04     2.28602e+03
    7.54859e-04     2.29854e+03
    7.59219e-04     2.31112e+03
    7.63603e-04     2.32377e+03
    7.68014e-04     2.33648e+03
    7.72449e-04     2.34926e+03
    7.76910e-04     2.36211e+03
    7.81398e-04     2.37503e+03
