# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     3.69780e+03
    1.00288e-03     3.70777e+03
    1.00577e-03     3.71777e+03
    1.00867e-03     3.72780e+03
    1.01158e-03     3.73785e+03
    1.01450e-03     3.74793e+03
    1.01742e-03     3.75803e+03
    1.02036e-03     3.76816e+03
    1.02330e-03     3.77832e+03
    1.02625e-03     3.78850e+03
    1.02921e-03     3.79870e+03
    1.03217e-03     3.80894e+03
    1.03515e-03     3.81919e+03
    1.03813e-03     3.82948e+03
    1.04113e-03     3.83979e+03
    1.04413e-03     3.85013e+03
    1.04714e-03     3.86049e+03
    1.05016e-03     3.87088e+03
    1.05318e-03     3.88129e+03
    1.05622e-03     3.89173e+03
    1.05926e-03     3.90220e+03
    1.06232e-03     3.91270e+03
    1.06538e-03     3.92322e+03
    1.06845e-03     3.93377e+03
    1.07153e-03     3.94434e+03
    1.07462e-03     3.95494e+03
    1.07772e-03     3.96557e+03
    1.08083e-03     3.97622e+03
    1.08394e-03     3.98690e+03
    1.08707e-03     3.99761e+03
    1.09020e-03     4.00835e+03
    1.09334e-03     4.01911e+03
    1.09650e-03     4.02990e+03
    1.09966e-03     4.04071e+03
    1.10283e-03     4.05156e+03
    1.10601e-03     4.06243e+03
    1.10920e-03     4.07333e+03
    1.11239e-03     4.08425e+03
    1.11560e-03     4.09521e+03
    1.11882e-03     4.10619e+03
    1.12204e-03     4.11719e+03
    1.12528e-03     4.12823e+03
    1.12852e-03     4.13929e+03
    1.13177e-03     4.15038e+03
    1.13504e-03     4.16150e+03
    1.13831e-03     4.17265e+03
    1.14159e-03     4.18382e+03
    1.14488e-03     4.19502e+03
    1.14818e-03     4.20625e+03
    1.15149e-03     4.21751e+03
    1.15481e-03     4.22880e+03
    1.15814e-03     4.24011e+03
    1.16148e-03     4.25145e+03
    1.16483e-03     4.26282e+03
    1.16819e-03     4.27422e+03
    1.17155e-03     4.28565e+03
    1.17493e-03     4.29710e+03
    1.17832e-03     4.30859e+03
    1.18172e-03     4.32010e+03
    1.18512e-03     4.33164e+03
    1.18854e-03     4.34321e+03
    1.19197e-03     4.35481e+03
    1.19540e-03     4.36643e+03
    1.19885e-03     4.37809e+03
    1.20230e-03     4.38977e+03
    1.20577e-03     4.40149e+03
    1.20925e-03     4.41323e+03
    1.21273e-03     4.42500e+03
    1.21623e-03     4.43680e+03
    1.21973e-03     4.44863e+03
    1.22325e-03     4.46049e+03
    1.22678e-03     4.47238e+03
    1.23031e-03     4.48429e+03
    1.23386e-03     4.49624e+03
    1.23742e-03     4.50822e+03
    1.24099e-03     4.52022e+03
    1.24456e-03     4.53226e+03
    1.24815e-03     4.54432e+03
    1.25175e-03     4.55642e+03
    1.25536e-03     4.56854e+03
    1.25898e-03     4.58069e+03
    1.26261e-03     4.59288e+03
    1.26625e-03     4.60509e+03
    1.26990e-03     4.61733e+03
    1.27356e-03     4.62960e+03
    1.27723e-03     4.64191e+03
    1.28091e-03     4.65424e+03
    1.28460e-03     4.66660e+03
    1.28831e-03     4.67900e+03
    1.29202e-03     4.69142e+03
    1.29575e-03     4.70387e+03
    1.29948e-03     4.71636e+03
    1.30323e-03     4.72887e+03
    1.30699e-03     4.74142e+03
    1.31075e-03     4.75399e+03
    1.31453e-03     4.76660e+03
    1.31832e-03     4.77923e+03
    1.32212e-03     4.79190e+03
    1.32593e-03     4.80460e+03
    1.32976e-03     4.81733e+03
    1.33359e-03     4.83009e+03
    1.33743e-03     4.84288e+03
    1.34129e-03     4.85570e+03
    1.34516e-03     4.86855e+03
    1.34904e-03     4.88144e+03
    1.35292e-03     4.89435e+03
    1.35682e-03     4.90730e+03
    1.36074e-03     4.92027e+03
    1.36466e-03     4.93328e+03
    1.36859e-03     4.94632e+03
    1.37254e-03     4.95939e+03
    1.37650e-03     4.97250e+03
    1.38046e-03     4.98563e+03
    1.38444e-03     4.99880e+03
    1.38843e-03     5.01199e+03
    1.39244e-03     5.02522e+03
    1.39645e-03     5.03848e+03
    1.40048e-03     5.05178e+03
    1.40451e-03     5.06510e+03
    1.40856e-03     5.07846e+03
    1.41262e-03     5.09185e+03
    1.41670e-03     5.10527e+03
    1.42078e-03     5.11872e+03
    1.42488e-03     5.13220e+03
    1.42899e-03     5.14572e+03
    1.43310e-03     5.15927e+03
    1.43724e-03     5.17285e+03
    1.44138e-03     5.18647e+03
    1.44553e-03     5.20011e+03
    1.44970e-03     5.21379e+03
    1.45388e-03     5.22750e+03
    1.45807e-03     5.24125e+03
    1.46228e-03     5.25502e+03
    1.46649e-03     5.26883e+03
    1.47072e-03     5.28267e+03
    1.47496e-03     5.29655e+03
    1.47921e-03     5.31046e+03
    1.48348e-03     5.32440e+03
    1.48775e-03     5.33837e+03
    1.49204e-03     5.35238e+03
    1.49634e-03     5.36642e+03
    1.50066e-03     5.38049e+03
    1.50498e-03     5.39460e+03
    1.50932e-03     5.40874e+03
    1.51367e-03     5.42291e+03
    1.51804e-03     5.43712e+03
    1.52241e-03     5.45136e+03
    1.52680e-03     5.46563e+03
    1.53120e-03     5.47994e+03
    1.53562e-03     5.49428e+03
    1.54005e-03     5.50865e+03
    1.54449e-03     5.52306e+03
    1.54894e-03     5.53750e+03
    1.55340e-03     5.55197e+03
    1.55788e-03     5.56648e+03
    1.56237e-03     5.58103e+03
    1.56688e-03     5.59560e+03
    1.57139e-03     5.61021e+03
    1.57592e-03     5.62486e+03
    1.58047e-03     5.63954e+03
    1.58502e-03     5.65425e+03
    1.58959e-03     5.66900e+03
    1.59418e-03     5.68378e+03
    1.59877e-03     5.69859e+03
    1.60338e-03     5.71344e+03
    1.60800e-03     5.72833e+03
    1.61264e-03     5.74325e+03
    1.61729e-03     5.75820e+03
    1.62195e-03     5.77319e+03
    1.62663e-03     5.78821e+03
    1.63132e-03     5.80327e+03
    1.63602e-03     5.81836e+03
    1.64073e-03     5.83348e+03
    1.64546e-03     5.84865e+03
    1.65021e-03     5.86384e+03
    1.65497e-03     5.87907e+03
    1.65974e-03     5.89434e+03
    1.66452e-03     5.90964e+03
    1.66932e-03     5.92498e+03
    1.67413e-03     5.94035e+03
    1.67896e-03     5.95575e+03
    1.68380e-03     5.97119e+03
    1.68865e-03     5.98667e+03
    1.69352e-03     6.00218e+03
    1.69840e-03     6.01773e+03
    1.70330e-03     6.03331e+03
    1.70821e-03     6.04893e+03
    1.71314e-03     6.06458e+03
    1.71807e-03     6.08027e+03
    1.72303e-03     6.09600e+03
    1.72799e-03     6.11176e+03
    1.73298e-03     6.12755e+03
    1.73797e-03     6.14338e+03
    1.74298e-03     6.15925e+03
    1.74801e-03     6.17515e+03
    1.75305e-03     6.19109e+03
    1.75810e-03     6.20707e+03
    1.76317e-03     6.22308e+03
    1.76825e-03     6.23912e+03
    1.77335e-03     6.25521e+03
    1.77846e-03     6.27132e+03
    1.78359e-03     6.28748e+03
    1.78873e-03     6.30367e+03
    1.79389e-03     6.31990e+03
    1.79906e-03     6.33616e+03
    1.80425e-03     6.35246e+03
    1.80945e-03     6.36880e+03
    1.81466e-03     6.38517e+03
    1.81990e-03     6.40158e+03
    1.82514e-03     6.41802e+03
    1.83040e-03     6.43451e+03
    1.83568e-03     6.45103e+03
    1.84097e-03     6.46758e+03
    1.84628e-03     6.48417e+03
    1.85160e-03     6.50080e+03
    1.85694e-03     6.51747e+03
    1.86229e-03     6.53417e+03
    1.86766e-03     6.55091e+03
    1.87305e-03     6.56769e+03
    1.87845e-03     6.58450e+03
    1.88386e-03     6.60135e+03
    1.88929e-03     6.61824e+03
    1.89474e-03     6.63516e+03
    1.90020e-03     6.65212e+03
    1.90568e-03     6.66912e+03
    1.91117e-03     6.68616e+03
    1.91668e-03     6.70323e+03
    1.92221e-03     6.72034e+03
    1.92775e-03     6.73749e+03
    1.93331e-03     6.75467e+03
    1.93888e-03     6.77190e+03
    1.94447e-03     6.78916e+03
    1.95008e-03     6.80645e+03
    1.95570e-03     6.82379e+03
    1.96134e-03     6.84116e+03
    1.96699e-03     6.85857e+03
    1.97266e-03     6.87602e+03
    1.97835e-03     6.89351e+03
    1.98405e-03     6.91103e+03
    1.98977e-03     6.92859e+03
    1.99551e-03     6.94619e+03
    2.00126e-03     6.96383e+03
    2.00703e-03     6.98150e+03
    2.01282e-03     6.99922e+03
    2.01862e-03     7.01697e+03
    2.02444e-03     7.03476e+03
    2.03028e-03     7.05258e+03
    2.03613e-03     7.07045e+03
    2.04200e-03     7.08835e+03
    2.04789e-03     7.10629e+03
    2.05379e-03     7.12427e+03
    2.05971e-03     7.14229e+03
    2.06565e-03     7.16035e+03
    2.07160e-03     7.17845e+03
    2.07757e-03     7.19658e+03
    2.08356e-03     7.21475e+03
    2.08957e-03     7.23296e+03
    2.09560e-03     7.25121e+03
    2.10164e-03     7.26950e+03
    2.10770e-03     7.28783e+03
    2.11377e-03     7.30619e+03
    2.11987e-03     7.32459e+03
    2.12598e-03     7.34304e+03
    2.13211e-03     7.36152e+03
    2.13825e-03     7.38004e+03
    2.14442e-03     7.39859e+03
    2.15060e-03     7.41719e+03
    2.15680e-03     7.43583e+03
    2.16302e-03     7.45450e+03
    2.16925e-03     7.47322e+03
    2.17551e-03     7.49197e+03
    2.18178e-03     7.51076e+03
    2.18807e-03     7.52959e+03
    2.19438e-03     7.54846e+03
    2.20070e-03     7.56737e+03
    2.20705e-03     7.58632e+03
    2.21341e-03     7.60531e+03
    2.21979e-03     7.62433e+03
    2.22619e-03     7.64340e+03
    2.23261e-03     7.66250e+03
    2.23904e-03     7.68164e+03
    2.24550e-03     7.70083e+03
    2.25197e-03     7.72005e+03
    2.25846e-03     7.73931e+03
    2.26497e-03     7.75861e+03
    2.27150e-03     7.77795e+03
    2.27805e-03     7.79733e+03
    2.28462e-03     7.81675e+03
    2.29121e-03     7.83621e+03
    2.29781e-03     7.85570e+03
    2.30444e-03     7.87524e+03
    2.31108e-03     7.89482e+03
    2.31774e-03     7.91443e+03
    2.32442e-03     7.93409e+03
    2.33113e-03     7.95378e+03
    2.33785e-03     7.97352e+03
    2.34459e-03     7.99329e+03
    2.35134e-03     8.01311e+03
    2.35812e-03     8.03296e+03
    2.36492e-03     8.05285e+03
    2.37174e-03     8.07278e+03
    2.37858e-03     8.09276e+03
    2.38543e-03     8.11277e+03
    2.39231e-03     8.13282e+03
    2.39921e-03     8.15291e+03
    2.40612e-03     8.17304e+03
    2.41306e-03     8.19321e+03
    2.42002e-03     8.21342e+03
    2.42699e-03     8.23367e+03
    2.43399e-03     8.25396e+03
    2.44101e-03     8.27430e+03
    2.44805e-03     8.29467e+03
    2.45510e-03     8.31508e+03
    2.46218e-03     8.33553e+03
    2.46928e-03     8.35601e+03
    2.47640e-03     8.37654e+03
    2.48354e-03     8.39711e+03
    2.49070e-03     8.41772e+03
    2.49788e-03     8.43837e+03
    2.50508e-03     8.45906e+03
    2.51230e-03     8.47979e+03
    2.51954e-03     8.50056e+03
    2.52681e-03     8.52137e+03
    2.53409e-03     8.54222e+03
    2.54140e-03     8.56311e+03
    2.54872e-03     8.58404e+03
    2.55607e-03     8.60501e+03
    2.56344e-03     8.62602e+03
    2.57083e-03     8.64707e+03
    2.57824e-03     8.66816e+03
    2.58567e-03     8.68929e+03
    2.59313e-03     8.71046e+03
    2.60060e-03     8.73167e+03
    2.60810e-03     8.75292e+03
    2.61562e-03     8.77421e+03
    2.62316e-03     8.79554e+03
    2.63072e-03     8.81691e+03
    2.63831e-03     8.83833e+03
    2.64591e-03     8.85978e+03
    2.65354e-03     8.88127e+03
    2.66119e-03     8.90280e+03
    2.66886e-03     8.92437e+03
    2.67656e-03     8.94598e+03
    2.68427e-03     8.96764e+03
    2.69201e-03     8.98933e+03
    2.69977e-03     9.01106e+03
    2.70755e-03     9.03284e+03
    2.71536e-03     9.05465e+03
    2.72319e-03     9.07650e+03
    2.73104e-03     9.09840e+03
    2.73891e-03     9.12033e+03
    2.74681e-03     9.14230e+03
    2.75473e-03     9.16432e+03
    2.76267e-03     9.18637e+03
    2.77063e-03     9.20847e+03
    2.77862e-03     9.23060e+03
    2.78663e-03     9.25278e+03
    2.79466e-03     9.27500e+03
    2.80272e-03     9.29725e+03
    2.81080e-03     9.31955e+03
    2.81890e-03     9.34188e+03
    2.82703e-03     9.36426e+03
    2.83518e-03     9.38668e+03
    2.84335e-03     9.40913e+03
    2.85155e-03     9.43163e+03
    2.85977e-03     9.45417e+03
    2.86802e-03     9.47675e+03
    2.87629e-03     9.49936e+03
    2.88458e-03     9.52202e+03
    2.89289e-03     9.54472e+03
    2.90123e-03     9.56746e+03
    2.90960e-03     9.59024e+03
    2.91798e-03     9.61306e+03
    2.92640e-03     9.63592e+03
    2.93483e-03     9.65881e+03
    2.94329e-03     9.68175e+03
    2.95178e-03     9.70473e+03
    2.96029e-03     9.72775e+03
    2.96882e-03     9.75081e+03
    2.97738e-03     9.77391e+03
    2.98597e-03     9.79705e+03
    2.99457e-03     9.82023e+03
    3.00321e-03     9.84345e+03
    3.01187e-03     9.86671e+03
    3.02055e-03     9.89001e+03
    3.02926e-03     9.91335e+03
    3.03799e-03     9.93673e+03
    3.04675e-03     9.96014e+03
    3.05553e-03     9.98360e+03
    3.06434e-03     1.00071e+04
    3.07317e-03     1.00306e+04
    3.08203e-03     1.00542e+04
    3.09092e-03     1.00778e+04
    3.09983e-03     1.01015e+04
