# The (real space) linear power spectrum from CAMB.
#      k[h/Mpc]            P(k)
    1.00000e-03     4.16315e+03
    1.00288e-03     4.17435e+03
    1.00577e-03     4.18558e+03
    1.00867e-03     4.19684e+03
    1.01158e-03     4.20812e+03
    1.01450e-03     4.21944e+03
    1.01742e-03     4.23078e+03
    1.02036e-03     4.24215e+03
    1.02330e-03     4.25356e+03
    1.02625e-03     4.26499e+03
    1.02921e-03     4.27644e+03
    1.03217e-03     4.28793e+03
    1.03515e-03     4.29945e+03
    1.03813e-03     4.31099e+03
    1.04113e-03     4.32257e+03
    1.04413e-03     4.33417e+03
    1.04714e-03     4.34581e+03
    1.05016e-03     4.35747e+03
    1.05318e-03     4.36916e+03
    1.05622e-03     4.38088e+03
    1.05926e-03     4.39263e+03
    1.06232e-03     4.40441e+03
    1.06538e-03     4.41622e+03
    1.06845e-03     4.42806e+03
    1.07153e-03     4.43993e+03
    1.07462e-03     4.45183e+03
    1.07772e-03     4.46376e+03
    1.08083e-03     4.47572e+03
    1.08394e-03     4.48771e+03
    1.08707e-03     4.49973e+03
    1.09020e-03     4.51177e+03
    1.09334e-03     4.52385e+03
    1.09650e-03     4.53596e+03
    1.09966e-03     4.54810e+03
    1.10283e-03     4.56027e+03
    1.10601e-03     4.57247e+03
    1.10920e-03     4.58470e+03
    1.11239e-03     4.59696e+03
    1.11560e-03     4.60926e+03
    1.11882e-03     4.62158e+03
    1.12204e-03     4.63393e+03
    1.12528e-03     4.64632e+03
    1.12852e-03     4.65873e+03
    1.13177e-03     4.67118e+03
    1.13504e-03     4.68365e+03
    1.13831e-03     4.69616e+03
    1.14159e-03     4.70870e+03
    1.14488e-03     4.72127e+03
    1.14818e-03     4.73387e+03
    1.15149e-03     4.74650e+03
    1.15481e-03     4.75916e+03
    1.15814e-03     4.77186e+03
    1.16148e-03     4.78458e+03
    1.16483e-03     4.79734e+03
    1.16819e-03     4.81013e+03
    1.17155e-03     4.82295e+03
    1.17493e-03     4.83580e+03
    1.17832e-03     4.84869e+03
    1.18172e-03     4.86160e+03
    1.18512e-03     4.87455e+03
    1.18854e-03     4.88753e+03
    1.19197e-03     4.90054e+03
    1.19540e-03     4.91358e+03
    1.19885e-03     4.92666e+03
    1.20230e-03     4.93976e+03
    1.20577e-03     4.95290e+03
    1.20925e-03     4.96608e+03
    1.21273e-03     4.97928e+03
    1.21623e-03     4.99252e+03
    1.21973e-03     5.00579e+03
    1.22325e-03     5.01909e+03
    1.22678e-03     5.03242e+03
    1.23031e-03     5.04579e+03
    1.23386e-03     5.05919e+03
    1.23742e-03     5.07262e+03
    1.24099e-03     5.08608e+03
    1.24456e-03     5.09958e+03
    1.24815e-03     5.11311e+03
    1.25175e-03     5.12668e+03
    1.25536e-03     5.14027e+03
    1.25898e-03     5.15390e+03
    1.26261e-03     5.16756e+03
    1.26625e-03     5.18126e+03
    1.26990e-03     5.19499e+03
    1.27356e-03     5.20875e+03
    1.27723e-03     5.22255e+03
    1.28091e-03     5.23638e+03
    1.28460e-03     5.25024e+03
    1.28831e-03     5.26414e+03
    1.29202e-03     5.27807e+03
    1.29575e-03     5.29203e+03
    1.29948e-03     5.30603e+03
    1.30323e-03     5.32006e+03
    1.30699e-03     5.33413e+03
    1.31075e-03     5.34823e+03
    1.31453e-03     5.36236e+03
    1.31832e-03     5.37653e+03
    1.32212e-03     5.39073e+03
    1.32593e-03     5.40497e+03
    1.32976e-03     5.41924e+03
    1.33359e-03     5.43354e+03
    1.33743e-03     5.44788e+03
    1.34129e-03     5.46225e+03
    1.34516e-03     5.47666e+03
    1.34904e-03     5.49110e+03
    1.35292e-03     5.50558e+03
    1.35682e-03     5.52009e+03
    1.36074e-03     5.53464e+03
    1.36466e-03     5.54922e+03
    1.36859e-03     5.56384e+03
    1.37254e-03     5.57849e+03
    1.37650e-03     5.59317e+03
    1.38046e-03     5.60789e+03
    1.38444e-03     5.62265e+03
    1.38843e-03     5.63744e+03
    1.39244e-03     5.65227e+03
    1.39645e-03     5.66713e+03
    1.40048e-03     5.68203e+03
    1.40451e-03     5.69696e+03
    1.40856e-03     5.71193e+03
    1.41262e-03     5.72693e+03
    1.41670e-03     5.74197e+03
    1.42078e-03     5.75705e+03
    1.42488e-03     5.77216e+03
    1.42899e-03     5.78730e+03
    1.43310e-03     5.80249e+03
    1.43724e-03     5.81771e+03
    1.44138e-03     5.83296e+03
    1.44553e-03     5.84825e+03
    1.44970e-03     5.86358e+03
    1.45388e-03     5.87894e+03
    1.45807e-03     5.89434e+03
    1.46228e-03     5.90977e+03
    1.46649e-03     5.92525e+03
    1.47072e-03     5.94075e+03
    1.47496e-03     5.95630e+03
    1.47921e-03     5.97188e+03
    1.48348e-03     5.98750e+03
    1.48775e-03     6.00315e+03
    1.49204e-03     6.01884e+03
    1.49634e-03     6.03457e+03
    1.50066e-03     6.05033e+03
    1.50498e-03     6.06613e+03
    1.50932e-03     6.08197e+03
    1.51367e-03     6.09785e+03
    1.51804e-03     6.11376e+03
    1.52241e-03     6.12971e+03
    1.52680e-03     6.14569e+03
    1.53120e-03     6.16172e+03
    1.53562e-03     6.17778e+03
    1.54005e-03     6.19388e+03
    1.54449e-03     6.21001e+03
    1.54894e-03     6.22619e+03
    1.55340e-03     6.24240e+03
    1.55788e-03     6.25864e+03
    1.56237e-03     6.27493e+03
    1.56688e-03     6.29125e+03
    1.57139e-03     6.30761e+03
    1.57592e-03     6.32401e+03
    1.58047e-03     6.34045e+03
    1.58502e-03     6.35692e+03
    1.58959e-03     6.37344e+03
    1.59418e-03     6.38999e+03
    1.59877e-03     6.40657e+03
    1.60338e-03     6.42320e+03
    1.60800e-03     6.43986e+03
    1.61264e-03     6.45657e+03
    1.61729e-03     6.47331e+03
    1.62195e-03     6.49009e+03
    1.62663e-03     6.50690e+03
    1.63132e-03     6.52376e+03
    1.63602e-03     6.54065e+03
    1.64073e-03     6.55759e+03
    1.64546e-03     6.57456e+03
    1.65021e-03     6.59157e+03
    1.65497e-03     6.60862e+03
    1.65974e-03     6.62570e+03
    1.66452e-03     6.64283e+03
    1.66932e-03     6.65999e+03
    1.67413e-03     6.67720e+03
    1.67896e-03     6.69444e+03
    1.68380e-03     6.71172e+03
    1.68865e-03     6.72904e+03
    1.69352e-03     6.74640e+03
    1.69840e-03     6.76380e+03
    1.70330e-03     6.78124e+03
    1.70821e-03     6.79871e+03
    1.71314e-03     6.81623e+03
    1.71807e-03     6.83379e+03
    1.72303e-03     6.85138e+03
    1.72799e-03     6.86902e+03
    1.73298e-03     6.88669e+03
    1.73797e-03     6.90440e+03
